Name_lang,ID,Parent,Ui_order
Statistiche,1,-1,16
PvP,21,1,10
Prove di forza,81,-1,13
Personaggi,92,-1,1
PvP,95,-1,5
Missioni,96,-1,2
Esplorazione,97,-1,3
Morti,122,1,3
Uccisioni,128,1,2
Personaggio,130,1,1
Sociale,131,1,7
Competenze,132,1,5
Missioni,133,1,4
Viaggi,134,1,6
Creature,135,128,1
Uccisioni onorevoli,136,128,2
Colpi di grazia,137,128,3
Ricchezza,140,130,1
Consumabili,145,130,2
Arene classificate,152,21,1
Campi di battaglia,153,21,2
Mondo,154,21,3
Eventi mondiali,155,-1,9
Grande Inverno,156,155,9
Veglia delle Ombre,158,155,7
Festa di Nobiluova,159,155,3
Celebrazione della Luna,160,155,1
Mezza Estate,161,155,5
Festa della Birra,162,155,6
Settimana dei Bambini,163,155,4
Arena,165,95,17
Spedizioni e incursioni,168,-1,6
Professioni,169,-1,7
Cucina,170,169,12
Pesca,171,169,13
Professioni,172,15234,6
Professioni,173,132,2
Secondarie,178,132,1
Amore nell'Aria,187,155,2
Reputazione,201,-1,8
Regni Orientali,14777,97,1
Kalimdor,14778,97,2
Terre Esterne,14779,97,3
Nordania,14780,97,4
Valle d'Alterac,14801,95,5
Bacino d'Arathi,14802,95,3
Occhio del Ciclone,14803,95,4
Forra dei Cantaguerra,14804,95,2
The Burning Crusade,14805,168,2
Spedizioni: Lich King,14806,168,3
Spedizioni e incursioni,14807,1,9
Classico,14808,168,1
Classico,14821,14807,1
The Burning Crusade,14822,14807,2
Wrath of the Lich King,14823,14807,3
Regni Orientali,14861,96,1
Terre Esterne,14862,96,3
Nordania,14863,96,4
Classico,14864,201,1
The Burning Crusade,14865,201,2
Wrath of the Lich King,14866,201,3
Lungoinverno,14901,95,8
Incursioni: Lich King,14922,168,4
Torneo d'Argento,14941,15301,1
Ringraziamento,14981,155,8
Isola della Conquista,15003,95,7
Spedizioni: Cataclysm,15067,168,5
Incursioni: Cataclysm,15068,168,6
Cataclysm,15069,97,5
Cataclysm,15070,96,5
Archeologia,15071,169,14
Cataclysm,15072,201,4
Battaglia per Gilneas,15073,95,9
Picchi Gemelli,15074,95,10
Tol Barad,15075,15301,2
Gilda,15076,-1,15
Missioni,15077,15076,2
PvP,15078,15076,3
Spedizioni e incursioni,15079,15076,4
Professioni,15080,15076,5
Kalimdor,15081,96,2
Classico,15082,15079,1
Spedizioni: Cataclysm,15083,15079,5
The Burning Crusade,15084,15079,2
Spedizioni: Lich King,15085,15079,3
Incursioni: Lich King,15086,15079,4
Incursioni: Cataclysm,15087,15079,6
Generale,15088,15076,1
Reputazione,15089,15076,6
Campi di battaglia,15090,15078,1
Arena,15091,15078,2
CB classificato,15092,95,16
Prove di forza (Gilda),15093,15076,7
Cataclysm,15096,14807,4
Fiera di Lunacupa,15101,155,10
Spedizioni: Pandaria,15106,168,7
Incursioni: Pandaria,15107,168,8
Pandaria,15110,96,6
Pandaria,15113,97,6
Pandaria,15114,201,5
Scontri tra mascotte,15117,-1,10
Collezione,15118,15117,1
Scontri,15119,15117,2
Allenamento,15120,15117,3
Spedizioni: Pandaria,15153,15079,7
Incursioni: Pandaria,15154,15079,8
Miniere di Cupargento,15162,95,11
Tempio di Kotmogu,15163,95,12
Mists of Pandaria,15164,14807,5
Incursioni passate,15176,1,13
Scavi di Ventotetro,15218,95,14
Scontri tra mascotte,15219,1,11
Draenor,15220,96,7
Arena d'Addestramento,15222,15301,4
Arena d'Addestramento,15227,1,12
Spedizioni: Draenor,15228,168,9
Incursioni: Draenor,15231,168,10
Draenor,15232,201,6
Warlords of Draenor,15233,14807,6
Imprese passate,15234,-1,14
Draenor,15235,97,7
Spedizioni: Draenor,15243,15079,9
Incursioni: Draenor,15244,15079,10
Collezioni,15246,-1,11
Giocattoli,15247,15246,1
Cavalcature,15248,15246,2
Legion,15252,96,8
Spedizioni: Legion,15254,168,11
Incursioni: Legion,15255,168,12
Legion,15257,97,8
Legion,15258,201,7
Aspetti,15259,15246,3
Spedizioni: Legion,15262,15079,11
Incursioni: Legion,15263,15079,12
Legion,15264,14807,7
Onore,15266,95,1
Promozioni,15268,81,8
Cavalcature,15269,81,1
PvP,15270,81,5
Incursioni,15271,81,4
Spedizioni,15272,81,3
Reputazione,15273,81,6
Eventi,15274,81,7
Spedizioni,15277,15234,4
Incursioni,15278,15234,5
PvP,15279,15234,3
Valute,15280,15234,7
Mondo,15283,95,18
Battle for Azeroth,15284,96,9
Spedizioni: BfA,15285,168,13
Incursioni: BfA,15286,168,14
Spiaggia Ribollente,15292,95,13
Battle for Azeroth,15298,97,9
Spedizioni: BfA,15299,15079,13
Incursioni: BfA,15300,15079,14
Contenuti specifici,15301,-1,12
Scenari di Pandaria,15302,15301,3
Guarnigione di Draenor,15303,15301,5
Enclave di Classe di Legion,15304,15301,6
Battle for Azeroth,15305,201,8
Scorrerie sulle Isole,15307,15301,7
Sforzo Bellico,15308,15301,8
Battle for Azeroth,15409,14807,8
Contenuti specifici,15411,15234,9
Ashran,15414,95,6
Eventi mondiali,15416,15234,8
Cuore di Azeroth,15417,15301,9
Shadowlands,15422,96,10
Visioni di N'zoth,15426,15301,10
Spedizioni: Shadowlands,15428,168,15
Spedizioni: Shadowlands,15429,15079,15
Shadowlands,15430,14807,9
Shadowlands,15436,97,10
Incursioni: Shadowlands,15438,168,16
Shadowlands,15439,201,9
Torgast,15440,15301,11
Santuari delle Congreghe,15441,15301,12
Incursioni: Shadowlands,15442,15079,16
Personaggio,15446,15234,1
Missioni,15447,15234,2
Viaggi nel Tempo,15454,155,11
Dragonflight,15455,96,11
Volo Dinamico,15462,15301,13
Isole dei Draghi,15465,97,11
Dragonflight,15466,201,10
Spedizione di Dragonflight,15467,168,17
Incursione di Dragonflight,15468,168,18
Dragonflight,15469,14807,10
Spedizione di Dragonflight,15470,15079,17
Incursione di Dragonflight,15471,15079,18
Oggetti cosmetici dei Drachi delle Isole dei Draghi,15478,15246,4
Alchimia,15489,169,1
Forgiatura,15490,169,2
Incantamento,15491,169,3
Ingegneria,15492,169,4
Runografia,15493,169,5
Oreficeria,15494,169,6
Conciatura,15495,169,7
Sartoria,15496,169,8
Estrazione,15497,169,10
Scuoiatura,15498,169,11
Erbalismo,15499,169,9
War Within,15506,96,12
The War Within,15520,14807,11
War Within,15521,97,12
Scorribande,15522,-1,4
The War Within,15523,15522,1
Spedizione di The War Within,15524,168,19
Gola Cavafonda,15525,95,15
Incursione di The War Within,15526,168,20
Spedizione di The War Within,15528,15079,19
Incursione di The War Within,15529,15079,20
War Within,15530,201,11
Scorribande,15531,81,2
Festeggiamenti per l'anniversario,15532,155,12
Scorribande,15533,1,8
The War Within,15534,15533,1
Remix: Pandaria,15536,15234,10
