ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,Potenziamento al livello 100,Potenziamento gratuito al livello 100,"World of Warcraft: Legion include un potenziamento istantaneo al livello 100. Puoi decidere di potenziare un personaggio già esistente, provare una nuova classe su cui usare il potenziamento o chiudere la finestra e usare il potenziamento più avanti.",1,2,1033987,90,1,700,100,6,260,0
5,Potenziamento Battle for Azeroth,Potenziamento gratuito al livello 110,World of Warcraft: Battle for Azeroth include un potenziamento istantaneo al livello 110. Scegli una delle opzioni qui sotto o chiudi la finestra per usare il potenziamento più avanti.,1,3,3573824,80,1,700,48,7,265,0
6,Potenziamento al livello 90,Potenziamento gratuito al livello 90,Questo potenziamento era incluso nell'acquisto di Warlords of Draenor.,1,1,614740,100,0,625,90,5,260,0
107,Prova Dragonflight gratuitamente,Prova Dragonflight gratuitamente,Prova Dragonflight per un tempo limitato!|n|nCrea un Evocatore Dracthyr o esplora le Isole dei Draghi con qualsiasi personaggio di livello 60.,0,0,4723908,1100,0,0,0,7,265,0
118,Potenziamento Shadowlands,Potenziamento gratuito al livello 120,,1,4,3752121,50,1,0,50,7,265,0
120,Potenziamento al livello 60,Potenziamento gratuito al livello 60,,1,6,4279397,60,1,0,60,8,265,5595
123,Trasferimento del personaggio,Trasferimento del personaggio,Trasferisci il tuo personaggio su un altro reame o account,2,1,1530081,40,0,0,0,0,5362,5590
125,Cambio di fazione,Cambio di fazione,Cambia la fazione di un personaggio (da Alleanza a Orda o viceversa),2,2,1126583,35,0,0,0,0,5362,5587
139,Cambio di razza,Cambio di razza,Cambia la razza di un personaggio (all'interno della stessa fazione),2,3,1126585,30,0,0,0,0,5362,5589
140,Cambio di nome,Cambio di nome,Cambia il nome di un personaggio,2,4,1126584,25,0,0,0,0,5362,5588
143,Potenziamento al livello 70,Potenziamento gratuito al livello 70,,1,8,4734167,70,0,0,70,9,5468,5594
179,Potenziamento istantaneo migliorato al livello 80,Potenziamento istantaneo migliorato al livello 80,,1,11,4279397,120,0,0,80,10,5586,5757
