ID,Answer_lang,Sort_Index,GMSurveyQuestionID
101,N/D,0,36
102,Sì,1,36
103,No,2,36
104,N/D,0,35
105,0,1,35
106,1,2,35
107,2,3,35
108,3,4,35
109,4,5,35
110,5,6,35
111,6,7,35
112,7,8,35
113,8,9,35
114,9,10,35
115,Pessimo,1,37
116,Scarso,2,37
117,Corretto,3,37
118,Soddisfacente,4,37
119,Ottimo,5,37
120,10,11,35
121,N/D,0,37
152,Soddisfacente,4,38
153,Ottimo,5,38
154,N/D,0,38
155,Pessimo,1,38
156,Scarso,2,38
157,Corretto,3,38
158,Soddisfacente,4,39
159,Ottimo,5,39
160,N/D,0,39
161,Pessimo,1,39
162,Scarso,2,39
163,Corretto,3,39
164,Soddisfacente,4,40
165,Ottimo,5,40
166,N/D,0,40
167,Pessimo,1,40
168,Scarso,2,40
169,Corretto,3,40
170,Soddisfacente,4,41
171,Ottimo,5,41
172,N/D,0,41
173,Pessimo,1,41
174,Scarso,2,41
175,Corretto,3,41
184,Per nulla soddisfatto,0,42
185,,1,42
186,,2,42
187,,3,42
188,Estremamente soddisfatto,4,42
189,Molto improbabile,0,43
190,,1,43
191,,2,43
192,,3,43
193,Estremamente probabile,4,43
194,N/D,5,43
195,Molto improbabile,0,44
196,,1,44
197,,2,44
198,,3,44
199,Estremamente probabile,4,44
200,Per nulla soddisfatto,0,45
201,,1,45
202,,2,45
203,,3,45
204,Estremamente soddisfatto,4,45
205,Non concordo per niente,0,46
206,,1,46
207,,2,46
208,,3,46
209,Concordo appieno,4,46
210,N/D,5,46
211,Non concordo per niente,0,47
212,,1,47
213,,2,47
214,,3,47
215,Concordo appieno,4,47
216,N/D,5,47
217,Non concordo per niente,0,48
218,,1,48
219,,2,48
220,,3,48
221,Concordo appieno,4,48
222,N/D,5,48
223,Non concordo per niente,0,49
224,,1,49
225,,2,49
226,,3,49
227,Concordo appieno,4,49
228,N/D,5,49
229,Sì,0,50
230,No,1,50
231,Per nulla soddisfatto,0,51
232,,1,51
233,,2,51
234,,3,51
235,Estremamente soddisfatto,4,51
236,N/D,5,51
249,N/D,5,42
251,N/D,5,44
252,N/D,5,45
320,,1,53
321,,2,53
322,,3,53
323,Concordo appieno,4,53
324,N/D,5,53
325,Non concordo per niente,0,53
352,N/D,5,52
359,1,4,52
366,2,3,52
373,3,2,52
380,4 o più,1,52
394,Non ancora risolto,0,52
