ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,"Niya è una Silvar che aveva l'incarico di sorvegliare e prendersi cura dei Semebrado nel suo bosco. L'hai incontrata durante una tragedia: il suo bosco era stato lasciato ad appassire per poterne recuperare l'Animum. Viaggiando con te, Niya ha appreso la triste realtà della sopravvivenza al tempo della siccità. Una cacciatrice esperta che sa leggere le tracce, le sue capacità saranno di aiuto per risolvere il problema della siccità e altre minacce per Selvarden.",1,95232,1030,5312,0,6,171896
2,"Calmo e pacato, Plasmasogni è abile a scrutare nei sogni degli spiriti della natura assopiti all'interno dei Semebrado della foresta, mentre attendono la propria rinascita. Plasmasogni ti ha aiutato a creare un legame con un Semebrado in particolare, mettendosi in contatto con lo spirito dormiente al suo interno. I poteri curativi di Plasmasogni offrono un aiuto mentre Selvarden è assediata da nemici esterni.",2,94430,1029,5313,1,7,171898
3,"Il Generale Draven ha servito Revendreth per interi eoni come comandante della Legione di Pietra. Lo si trova sempre nella prima linea di qualunque campo di battaglia, combatte con onore fino alla fine e non abbandona mai un soldato. Quando Denathrius ha scelto il Carceriere, Draven ha scelto la ribellione di Renathal. Alla fine, Revendreth viene sempre per prima.",3,92399,1031,5314,2,11,171889
4,"Tanto eccentrico quanto brillante, Marileth ha creato alcune delle pozioni più efficaci di tutta Maldraxxus. Quando la Casata delle Piaghe è stata sabotata e distrutta, Marileth è impazzito. Le soluzioni creative di Marileth si dimostrano vitali allo sforzo bellico... Nonostante gli effetti collaterali di tanto in tanto.",4,94122,1035,5315,0,3,171890
5,"Il corpo di Emeni è stato assemblato nella Corte della Sutura di Maldraxxus. Quand'era viva, era una potente nobile che uccise centinaia dei suoi fratelli e sorelle per rivendicare il trono. Rispetta la tua forza e il tuo coraggio, mentre collaborate insieme per sterminare i nemici comuni. Già una leggenda di per sé, vincolando la sua anima al Calcafauce la sua notorietà è salita alle stelle.",5,93825,1036,5316,1,4,171892
7,"Korayn, una cacciatrice della Caccia Selvaggia, è un capo dalla grande forza di volontà e una feroce combattente. Incaricata di proteggere la foresta dai pericoli più insidiosi, non avrà pace finché la sua preda non sarà uccisa e finché Selvarden non sarà al sicuro. Quando l'Antro del Letargo venne attaccato, furono la capacità di comando e la determinazione di Korayn a garantire la vittoria.",6,95248,1037,5317,2,8,171899
9,"Pelagos è un Aspirante del Bastione che si addestra diligentemente per ascendere anche a dispetto delle avversità. Insieme a Kleia, il suo altro Vincolo dell'Anima, Pelagos diventa presto tuo amico mentre cerchi di ottenere un'udienza con l'Arconte e affrontare la minaccia degli Indegni. Nonostante il suo cammino sia afflitto da dubbi e ricordi del suo passato mortale, Pelagos resta sempre solare e ottimista.",7,94137,1039,5318,0,0,171883
10,"Heirmir, un'apprendista del Primus in persona, è una delle anime mortali più antiche di Maldraxxus. Dopo eoni di addestramento e pratica, è diventata la massima esperta nella forgiatura di armi e armature fatte di ossa e acciaio. Gli arsenali di sua creazione servono a tenere te e la Casata dei Prescelti equipaggiati a dovere per affrontare i nemici che vi circondano.",10,96102,1038,5319,2,5,171894
11,"Kleia, un'Ascesa Kyrian, ti ha incontrato mentre era ancora un'Aspirante. Ha dimostrato al suo Vincolo dell'Anima Pelagos e al resto dei Kyrian che vuole fare passi in avanti e superare ogni prova che affronteranno. È una guida premurosa nei tuoi confronti e per Pelagos, e farà tutto il possibile per proteggere i suoi amici e il Bastione.",13,94873,1040,5320,1,1,171885
12,"Mikanikos, un Factotum del Bastione, mostrava un grande potenziale sin dall'inizio, e ha scalato in fretta i ranghi fino a diventare Forgialita Supremo. È stato il principale inventore delle opere più iconiche del Bastione. Dopo aver riconosciuto il potenziale del Calcafauce, è diventato un formidabile alleato per aiutarti a risolvere il problema della siccità d'Animum e altre minacce.",18,96348,1041,5322,2,2,171886
14,"Autoproclamatasi la miglior duellante che abbia mai impugnato una lama, Nadjia detesta restare ferma ed è sempre in cerca della prossima sfida. Ovunque ci siano guai, è possibile trovare Nadjia nel loro epicentro. È sempre pronta a volgere le sue abilità alla difesa di Revendreth, sia per obbedirti che per divertirsi.",8,93210,1042,5327,0,9,171887
15,"La pazzia non è una scusa per essere maleducati! Esiliato dai circoli aristocratici tradizionali, Teotar ha formato la sua corte personale di emarginati con cui scambiare pettegolezzi. Che si tratti di tessere potenti magie attraverso la sua teiera preferita o animare Dragatori perché gli tengano l'ombrello, Teotar padroneggia l'incredibile potere di Revendreth con i suoi modi eccentrici.",9,93223,1043,5328,1,10,171888
