ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,Miniera Antrocupo,139,38,1,0
486,Miniere Inferiori,139,39,2,0
487,Bastioni di Roccianera,140,33,14,0
488,Caverne di Roccianera,140,34,15,0
489,Sotterranei di Roccianera,140,35,16,0
490,Cantina del Padrone,141,44,23,0
491,Cantina Inferiore,141,45,24,0
492,Orgrimmar,142,85,0,0
493,Spelonca delle Ombre,142,86,1,0
496,Grotta Perversa,144,67,21,0
497,Caverna Spora Funesta,144,68,22,0
498,Forte di Tiragarde,145,3,10,0
499,Grande Sala,145,4,11,0
500,Eremo Superiore,146,60,4,0
501,Eremo Inferiore,146,61,5,0
502,Corte Interna,147,310,1,0
503,Sala da Pranzo,147,311,2,0
504,Antro Vuoto,147,312,3,0
505,Osservatorio Inferiore,147,313,4,0
506,Osservatorio Superiore,147,314,5,0
507,Sala di Ser Godfrey,147,315,6,0
508,Passaggio sulla Muraglia,147,316,7,0
509,Miniere della Morte,148,291,1,0
510,Baia della Corazzata,148,292,2,0
511,Stagno di Ask'ar,149,221,1,0
512,Santuario del Tempio della Luna,149,222,2,0
513,Pozza Dimenticata,149,223,3,0
514,Sala dei Custodi,150,230,1,0
515,Piattaforma di Khaz'goroth,150,231,2,0
516,Sala degli Ingranaggi,151,226,1,0
517,Dormitorio,151,227,2,0
518,Piattaforma di Lancio,151,228,3,0
519,Corte dei Meccanisti,151,229,4,0
520,Cimitero,152,302,0,0
521,Biblioteca,152,303,1,0
522,Armeria,152,304,2,0
523,Cattedrale,152,305,3,0
524,Tazz'Alaor,153,250,1,0
525,Tunnel dei Filatela,153,251,2,0
526,Ordamar,153,252,3,0
527,Sala di Manonera,153,253,4,0
528,Tana di Halycon,153,254,5,0
529,Stanza della Guerra,153,255,6,0
530,Blocco di Detenzione,154,242,1,0
531,Forgiascura,154,243,2,0
532,Reliquiario,155,306,1,0
533,Stanza dell'Evocazione,155,307,2,0
534,Studio Superiore,155,308,3,0
535,Studio del Rettore,155,309,4,0
536,Piazza dei Crociati,156,317,1,0
537,Piazza della Sfida,156,318,2,0
538,Caverne di Maraudon,157,280,1,0
539,Tomba di Zaetar,157,281,2,0
540,Tram degli Abissi,158,499,1,0
541,Club dei Combattenti di Bizmo,158,500,2,0
542,Sale di Gordok,159,235,1,0
543,Giardini della Capitale,159,236,2,0
544,Corte degli Alti Nobili,159,237,3,0
545,Prigione di Immol'thar,159,238,4,0
546,Quartiere di Legnotorto,159,239,5,0
547,Santuario di Eldretharr,159,240,6,0
548,Guarnigione delle Fauci di Drago,160,287,1,0
549,Sale dei Conflitti,160,288,2,0
550,Laboratori Cremisi,160,289,3,0
551,Antro di Nefarian,160,290,4,0
552,Alveare Sotterraneo,161,319,1,0
553,Porte del Tempio,161,320,2,0
554,Volta di C'thun,161,321,3,0
555,Alloggi della Servitù,162,350,1,0
556,Scuderie Superiori,162,351,2,0
557,Sala del Banchetto,162,352,3,0
558,Camere degli Ospiti,162,353,4,0
559,Balconata del Teatro,162,354,5,0
560,Terrazza del Padrone,162,355,6,0
