Name_lang,ID,StoreFrontID,OrderIndex,Icon,Field_11_0_7_57361_005
Mascotte,1,1,1,656556,1
Cavalcature,2,1,10,132261,3
Armi da fuoco,3,1,40,1934251,2
Armi,4,1,30,1958262,2
Mozzo,5,1,50,4279080,2
Chic,6,1,60,5519312,2
Testa,7,1,90,1941312,2
Robusto,8,1,70,5559633,2
Tempestoso,9,1,80,1941310,2
Insegna,10,1,100,5690395,2
Schiena,13,1,110,2428524,2
Giocattoli,14,1,15,237429,4
Altro,15,1,20,1542848,4
[PH] Test Category 1,16,2,10,6013778,1
[PH] Test Category 2,17,2,20,6074803,2
Armature,18,3,0,1602705,2
Cavalcature,19,3,10,132261,3
Armi,20,3,30,1958262,2
Mascotte,21,3,1,656556,1
Decorazione,22,3,20,132930,4
