ID,Name_lang,Description_lang,IconFileDataID,Category
1,Aggressione Selvaggia,"Un nemico imprevedibile, la cui aggressività deve essere tenuta sotto controllo.",136080,2
2,Assalto Massiccio,Un'abilità che infligge ingenti danni.,132355,2
3,Danni Multipli,Un'abilità che infligge danni a bersagli multipli.,135826,2
4,Penalità Magica,Un effetto potente e pericoloso che dovrebbe essere dissolto.,136207,2
6,Zone Pericolose,Un'abilità che influenza un'area bersaglio e che deve essere evitata.,451165,2
7,Servitori Numerosi,Un nemico con molti alleati. Suscettibile ai danni ad area.,237511,2
8,Incantesimo Potente,Un incantesimo potente che dovrebbe essere interrotto.,136197,2
9,Servitori Letali,Un nemico che possiede degli alleati estremamente potenti da neutralizzare.,1035504,2
10,Battaglia a Tempo,Un nemico che deve essere eliminato molto rapidamente.,237538,2
11,Orco,Lok'tar ogar!,897144,1
12,Ogre,Cosa tu guarda?,236695,1
13,Non Morto,Ceeeervelllliiiii...,236458,1
14,Arakkoa,Una razza antica e pericolosa.,236435,1
15,Bestia,Roarrrrr.,298659,1
16,Demone,La fine è prossima.,254651,1
17,Spezzatore,Giganti colossali e distruttivi di Draenor.,236412,1
18,Furia,Entità elementali di Draenor.,254652,1
19,Aberrazione,Creature del Vuoto.,298680,1
20,Primordiale,Creature primordiali di Draenor.,254105,1
21,Montagna,Una regione montana.,236848,0
22,Deserto,Una regione avversa e arida.,236846,0
23,Neve,Una regione artica.,236833,0
24,Sotterraneo,Una regione sotterranea.,409595,0
25,Giungla,Una regione con una folta vegetazione.,236850,0
26,Foresta,Una regione boscosa.,236830,0
27,Centro Abitato,Una piccola regione urbana.,462338,0
28,Palude,"Una regione umida, piena di insetti.",236819,0
29,Pianura,Una regione collinare verde e aperta.,236712,0
58,Tavolo di Hearthstone,Avvicina la sedia al focolare!,4620678,0
60,Alchimia,Questa missione è correlata alla professione Alchimia.,4620669,0
61,Forgiatura,Questa missione è correlata alla professione Forgiatura.,4620670,0
62,Incantamento,Questa missione è correlata alla professione Incantamento.,4620672,0
63,Ingegneria,Questa missione è correlata alla professione Ingegneria.,136243,0
64,Oreficeria,Questa missione è correlata alla professione Oreficeria.,4620677,0
65,Conciatura,Questa missione è correlata alla professione Conciatura.,133611,0
66,Sartoria,Questa missione è correlata alla professione Sartoria.,4620681,0
67,Runografia,Questa missione è correlata alla professione Runografia.,4620676,0
73,Sottomarino,"I Sottomarini si muovono silenziosamente sott'acqua, avvicinandosi furtivamente alle ignare navi nemiche.

|cffb2f0ffContrastato da: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Fregata|r",1141396,2
74,Portaerei,"Le Portaerei sono equipaggiate con uno squadrone di piloti di bombardieri.

|cffb2f0ffContrastato da: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Sottomarino|r",1141394,2
75,Fregata,"Le Fregate sono navi veloci e pesantemente corazzate, capaci di rintracciare i Sottomarini.

|cffb2f0ffContrastato da: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Galeone|r",1141395,2
