ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,Novità nel pre-lancio di Shadowlands!,Progressione riprogettata,Prova una narrazione ottimizzata per raggiungere il nuovo livello massimo 50!,Personalizzazione del Personaggio,Recati da un Barbiere per scoprire tutte le nuove personalizzazioni.,Morte Incombente,Esplora le modifiche alle abilità di classe e preparati per l'oscurità imminente.,60113,60115,0,5364,0,0,87298,119
20,Novità in Shadowlands!,Congreghe,Giura fedeltà a una delle quattro Congreghe uniche e ottieni nuovi poteri.,Personalizzazione del Personaggio,Recati da un Barbiere per scoprire tutte le nuove personalizzazioni.,Shadowlands,Esplora i regni dell'aldilà e scopri i misteri della morte.,60545,61874,0,5365,0,0,87299,120
40,Novità di Catene del Dominio!,La chiamata di Korthia,Respingi le forze del Carceriere nella ritrovata Città dei Segreti.,Aggiornamenti di Torgast,Raggiungi nuove vette con il sistema di progressione rinnovato.,Battaglia per Selvarden,Difendi la foresta eterna dall'incursione della Regina Banshee!,63576,63576,0,5403,0,0,92337,154
41,,Tazavesh,Sventa un rischioso colpo degli Alienatori nel Bazar Celato!,Inizio della Stagione 2,Spedizioni e ricompense PvP aggiornate. Nuovo modificatore per le Mitiche+: Tormento.,Sanctum del Dominio,Combatti finalmente contro Sylvanas Ventolesto mentre assalti la fortezza del Carceriere!,0,0,1,5404,0,0,92337,123
42,Novità nella Patch 9.1.5!,Viaggi nel Tempo: Legion,Mettiti alla prova nelle spedizioni Mitiche+ di Legion e nella Torre della Magia.,Progressione di livello migliorata!,Aumento di livello e guadagno di reputazione migliorati ed equipaggiamento per personaggi secondari!,Aggiornamenti alle Congreghe,Cambia gratuitamente la tua Congrega al massimo di Fama.,0,0,0,5416,0,0,92337,176
43,Novità alla Fine dell'Eternità!,Codice dei Primi,Impara la lingua degli Automa e sblocca potenti ricompense.,Sfida del Carceriere,Combatti contro 8 piani contenenti le creature più letali da ogni ala di Torgast.,Zereth Mortis,Affronta le forze del Carceriere nella terra immacolata dei Primi.,64942,64942,0,5442,0,0,92337,204
44,Novità nella Stagione 3!,Stagione 3,Spedizioni e ricompense PvP aggiornate. Nuovo modificatore per le Mitiche+: Codifica.,Set di classe,Armature dall'aspetto unico e bonus ti aiuteranno nella tua battaglia per salvare le Terretetre.,Sepolcro dei Primi,Esplora il santuario proibito e sventa il piano del Carceriere per dominare la realtà.,0,0,0,5443,0,0,92337,149
45,Novità nella Patch 9.2.5!,Missioni di Lordaeron,Riusciranno i Reietti a riconquistare le rovine di Lordaeron e forgiare un nuovo futuro?,Crogiolo dell'Enigma,Combatti in una nuova arena PvP tra le antiche meraviglie di Zereth Mortis.,Istanze multi-fazione,"Per la prima volta, è possibile creare un gruppo per una spedizione, un'incursione o il PvP classificato con membri di entrambe le fazioni!",0,0,0,5430,0,0,92337,247
46,Novità nella Stagione 4!,Stagione 4 di Shadowlands,Ottieni nuove ricompense nelle spedizioni Mitiche+ e nel PvP.,Nuove spedizioni Mitiche+,Sperimenta le spedizioni classiche più iconiche con i modificatori Mitici!,Incursioni Predestinate,Torna nelle incursioni di Shadowlands per affrontare una nuova sfida e ottenere nuove ricompense.,0,0,0,5431,0,0,92337,248
47,Novità nella pre-patch di Dragonflight!,Aggiornamenti all'Interfaccia utente,L'interfaccia è stata rinnovata. Personalizzala con la nuova modalità modifica.,Dragonflight è in arrivo prossimamente!,29 novembre,Nuovo Sistema Talenti,Esplora la nuova classe e l'albero delle specializzazioni per creare la tua configurazione talenti!,0,0,0,5482,0,0,87298,250
