ID,Name_lang,Description_lang,Rarity,SpellID,ResearchBranchID,NumSockets,TextureFileID,RequiredWeight
9,Tazza in Peltro,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,86857,1,1,461832,35
13,Prova: Raro Progetto Nanico 1,,1,84796,0,5,0,50
40,Urna Funeraria in Ceramica,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,86864,1,1,461832,35
42,Coltello da Caccia Usurato,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,86865,1,0,461832,30
44,Dadi da Gioco d'Osso,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,86866,1,0,461832,32
70,Grifone di Pietra,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,88180,1,1,461832,35
72,Girocollo in Argento,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,88181,1,1,461832,34
77,Bambola Vudù degli Zandalari,"I primi Troll noti appartenevano alla tribù Zandalari: da loro discendono tutte le altre tribù. Gli Zandalari erano considerati una casta di sacerdoti dagli altri Troll e uno dei loro compiti era quello di preservare le tradizioni della loro razza. Delle numerose tribù che si sono separate dagli Zandalari, le due più famose sono i Gurubashi e gli Amani.",0,88262,8,0,461842,27
87,Feticcio di Hir'eek,"I primi Troll noti appartenevano alla tribù Zandalari: da loro discendono tutte le altre tribù. Gli Zandalari erano considerati una casta di sacerdoti dagli altri Troll e uno dei loro compiti era quello di preservare le tradizioni della loro razza. Delle numerose tribù che si sono separate dagli Zandalari, le due più famose sono i Gurubashi e gli Amani.",0,88907,8,0,461842,30
89,Zampa di Lucertola Portafortuna,"I primi Troll noti appartenevano alla tribù Zandalari: da loro discendono tutte le altre tribù. Gli Zandalari erano considerati una casta di sacerdoti dagli altri Troll e uno dei loro compiti era quello di preservare le tradizioni della loro razza. Delle numerose tribù che si sono separate dagli Zandalari, le due più famose sono i Gurubashi e gli Amani.",0,88908,8,0,461842,32
91,Fischietto in Legno,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,88909,1,0,461832,28
93,Fibbia con Insegna di Forgiamara,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,88910,1,0,426727,34
95,Trilobita Nero,I fossili sono resti preservati di animali o piante di un lontano passato. I tessuti viventi vengono sostituiti da minerali che permettono di mantenere la forma dell'organismo originale.,0,88929,3,0,426727,31
97,Felce Perfettamente Conservata,I fossili sono resti preservati di animali o piante di un lontano passato. I tessuti viventi vengono sostituiti da minerali che permettono di mantenere la forma dell'organismo originale.,0,88930,3,0,426727,25
99,Portagioie degli Alti Nobili,"I Kaldorei sono una delle razze più antiche di Azeroth. Quando i Quel'dorei, noti anche come Alti Nobili e rappresentanti della casta superiore degli Elfi, usarono le loro pericolose magie per permettere l'ingresso della Legione Infuocata nel mondo, fu un momento oscuro per i Kaldorei e un evento terribile che causò innumerevoli morti.",0,89009,4,0,426727,30
101,Pettine d'Avorio Intarsiato,"I Kaldorei sono una delle razze più antiche di Azeroth. Quando i Quel'dorei, noti anche come Alti Nobili e rappresentanti della casta superiore degli Elfi, usarono le loro pericolose magie per permettere l'ingresso della Legione Infuocata nel mondo, fu un momento oscuro per i Kaldorei e un evento terribile che causò innumerevoli morti.",0,89012,4,0,426727,30
103,Camicia da Notte Scandalosa di Seta,"I Kaldorei sono una delle razze più antiche di Azeroth. Quando i Quel'dorei, noti anche come Alti Nobili e rappresentanti della casta superiore degli Elfi, usarono le loro pericolose magie per permettere l'ingresso della Legione Infuocata nel mondo, fu un momento oscuro per i Kaldorei e un evento terribile che causò innumerevoli morti.",0,89014,4,0,426727,30
106,Cucciolo di Raptor Fossilizzato,C'è qualcosa di strano in queste piccole ossa di raptor: le orbite oculari vuote non sembrano poi così vuote. Sembra quasi di scorgere un barlume di vita dentro di esse...,1,89693,3,0,458961,85
108,Fibbia per Mantello a Forma di Corna,"I Kaldorei sono una delle razze più antiche di Azeroth. Quando i Quel'dorei, noti anche come Alti Nobili e rappresentanti della casta superiore degli Elfi, usarono le loro pericolose magie per permettere l'ingresso della Legione Infuocata nel mondo, fu un momento oscuro per i Kaldorei e un evento terribile che causò innumerevoli morti.",0,89696,4,1,426727,35
112,Aspide di Giada con Occhi di Rubino,"I primi Troll noti appartenevano alla tribù Zandalari: da loro discendono tutte le altre tribù. Gli Zandalari erano considerati una casta di sacerdoti dagli altri Troll e uno dei loro compiti era quello di preservare le tradizioni della loro razza. Delle numerose tribù che si sono separate dagli Zandalari, le due più famose sono i Gurubashi e gli Amani.",0,89701,8,1,426727,35
114,Orecchini in Oro e Piume,"I primi Troll noti appartenevano alla tribù Zandalari: da loro discendono tutte le altre tribù. Gli Zandalari erano considerati una casta di sacerdoti dagli altri Troll e uno dei loro compiti era quello di preservare le tradizioni della loro razza. Delle numerose tribù che si sono separate dagli Zandalari, le due più famose sono i Gurubashi e gli Amani.",0,89711,8,1,426727,34
118,Calice Ingioiellato di Pugnofuso,"I Nani di Forgiardente erano originariamente composti da tre clan: i Barbabronzea, i Granmartello e i Ferroscuro. In seguito alla guerra civile, i Barbabronzea presero il controllo della città di Forgiardente, mentre i Granmartello si ritirarono nelle Entroterre e nelle Alture del Crepuscolo. I Nani Ferroscuro presero dimora tra le Montagne Crestarossa e le Steppe Ardenti, alle falde del Massiccio Roccianera.",0,89717,1,1,426727,34
120,Idolo Inquietante dei Bruciaspina,"I primi Troll noti appartenevano alla tribù Zandalari: da loro discendono tutte le altre tribù. Gli Zandalari erano considerati una casta di sacerdoti dagli altri Troll e uno dei loro compiti era quello di preservare le tradizioni della loro razza. Delle numerose tribù che si sono separate dagli Zandalari, le due più famose sono i Gurubashi e gli Amani.",0,89890,8,1,426727,35
122,Bijou di Cinabro,"I primi Troll noti appartenevano alla tribù Zandalari: da loro discendono tutte le altre tribù. Gli Zandalari erano considerati una casta di sacerdoti dagli altri Troll e uno dei loro compiti era quello di preservare le tradizioni della loro razza. Delle numerose tribù che si sono separate dagli Zandalari, le due più famose sono i Gurubashi e gli Amani.",0,89891,8,1,426727,35
124,Moneta di Eldre'Thalas,"I Kaldorei sono una delle razze più antiche di Azeroth. Quando i Quel'dorei, noti anche come Alti Nobili e rappresentanti della casta superiore degli Elfi, usarono le loro pericolose magie per permettere l'ingresso della Legione Infuocata nel mondo, fu un momento oscuro per i Kaldorei e un evento terribile che causò innumerevoli morti.",0,89893,4,1,426727,35
126,Falcione Infranto,"I Kaldorei sono una delle razze più antiche di Azeroth. Quando i Quel'dorei, noti anche come Alti Nobili e rappresentanti della casta superiore degli Elfi, usarono le loro pericolose magie per permettere l'ingresso della Legione Infuocata nel mondo, fu un momento oscuro per i Kaldorei e un evento terribile che causò innumerevoli morti.",0,89894,4,1,426727,35
128,Conchiglia a Spirale di Ammonite,I fossili sono resti preservati di animali o piante di un lontano passato. I tessuti viventi vengono sostituiti da minerali che permettono di mantenere la forma dell'organismo originale.,0,89895,3,0,426727,35
130,Anello Drago Verde,"I Kaldorei sono una delle razze più antiche di Azeroth. Quando i Quel'dorei, noti anche come Alti Nobili e rappresentanti della casta superiore degli Elfi, usarono le loro pericolose magie per permettere l'ingresso della Legione Infuocata nel mondo, fu un momento oscuro per i Kaldorei e un evento terribile che causò innumerevoli morti.",0,89896,4,1,426727,35
