ID,TutorialText_lang,SpellID,ActionBarOverrideSpellID,SpellLabel,UiTextureKitID,UiPriority
1,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,170108,0,5289,0
2,Abilità di zona dei Kyrian sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,313335,0,5290,100
3,Abilità di zona dei Kyrian sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,326532,0,5290,200
4,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,170097,0,5289,0
5,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,170109,0,5289,0
6,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,166499,0,5291,0
7,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,166498,0,5291,0
8,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,161693,0,5292,0
9,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,161694,0,5293,0
10,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,168474,0,5294,0
11,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,166502,0,5295,0
12,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,162131,0,5296,0
13,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,168478,0,5297,0
14,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,171333,0,5298,0
15,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,171334,0,5298,0
16,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,166500,0,5295,0
17,Abilità di zona della Guarnigione sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,161691,162130,0,5299,0
18,,211390,0,193,5300,0
19,,251463,0,321,0,0
20,,264739,0,391,0,0
21,,314955,0,851,5300,0
22,Abilità di zona dei Venthyr sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,315593,0,5303,100
23,Abilità di zona dei Venthyr sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,329350,0,5303,200
24,Abilità di zona dei Venthyr sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,329887,0,5303,100
26,Abilità di zona dei Silfi della Notte sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,331114,0,5310,100
27,Abilità di zona dei Silfi della Notte sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,331119,0,5310,100
28,Abilità di zona dei Silfi della Notte sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,331120,0,5310,200
29,Abilità di zona dei Necrosignori sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,334387,0,5311,100
30,Abilità di zona dei Necrosignori sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,334388,0,5311,200
31,Abilità di zona dei Venthyr sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,340716,0,5303,200
32,Abilità di zona dei Kyrian sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,340757,0,5290,200
33,Abilità dei Kyrian sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,340835,0,5290,100
34,Abilità distintiva dei Kyrian sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,341085,0,5290,200
35,Abilità dei Necrosignori sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,341090,0,5311,100
36,Abilità distintiva dei Necrosignori sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,341091,0,5311,200
37,Abilità dei Venthyr sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,341093,0,5303,100
38,Abilità distintiva dei Venthyr sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,341092,0,5303,200
39,Abilità di Selvarden sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,341086,0,5310,100
40,Abilità distintiva di Selvarden sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,326526,341089,0,5310,200
41,Abilità dei costrutti sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,347013,0,1156,5311,100
44,Abilità sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,356550,0,1312,5311,100
45,Abilità di Torgast sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,357857,0,1332,5405,90
46,,264739,358145,0,5310,0
47,,264739,358022,0,5290,0
48,,264739,358150,0,5311,0
49,,264739,358157,0,5303,0
50,Abilità di zona dei Necrosignori sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,313347,362180,0,5311,100
51,Evocazione di Pocopoc sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,360078,362639,0,5421,100
52,[PH] Reuse ME,0,0,0,5303,100
53,,0,0,0,5428,90
54,Abilità degli Shikaar sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,376280,0,1533,5469,100
55,Abilità degli Shikaar sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,384522,0,1758,5469,100
57,Lancia la palla in una porta.,385265,0,1779,5428,1
58,Aiuto di Celormu disponibile!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,385535,0,2291,5471,100
59,Ricarica Vigore|n|nPuoi mettere questa abilità nella tua barra delle azioni.,409295,409302,0,5471,100
60,Ripristina posizione|n|nPuoi mettere questa abilità nella tua barra delle azioni.,409349,409350,0,5471,101
61,Spara al barile con lo Sputaproiettili di Flynn.,248082,0,2797,5299,100
62,Assistenza Spedizione|n |nPuoi mettere questa abilità nella tua barra delle azioni.,426756,426758,0,5428,100
65,[PH] This is the ability you use for companion extra actions. |n |nYou can drag this to your action bar.,433878,0,0,5299,0
66,[PH] This is the ability you use for scenario extra actions. |n |nYou can drag this to your action bar.,434240,0,0,5299,0
67,Abilità delle Corse nel Tempo sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,436521,0,3174,5556,103
68,Abilità delle Corse nel Tempo sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,436524,0,3175,5556,104
69,Abilità delle Corse nel Tempo sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,439053,0,3233,5556,101
70,Abilità delle Corse nel Tempo sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,439052,0,3234,5556,100
71,Abilità del Patto sbloccata!|n|nPuoi mettere questa abilità nella tua barra delle azioni.,441963,0,3337,5556,103
72,Assistenza alla Cavalcatura|n |nPuoi mettere questa abilità nella tua barra delle azioni.,452327,452324,0,5428,99
73,,452458,452461,0,5421,99
74,,453793,453801,0,5421,0
75,,454364,454368,0,5421,0
76,,454610,454611,0,5421,0
77,,454618,454620,0,5421,0
