ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,Branco di Imp,102,42846,1396680,47,0
10,Sciame di Imp Selvaggi,102,40902,1396698,48,1
11,Accoliti della Mietitura Oscura,103,41214,1396691,49,0
16,Invocatori della Mietitura Oscura,103,41213,1452660,50,1
17,Apprendisti del Tirisgarde,72,41574,1396696,20,0
18,Invocatori del Kirin Tor,72,41575,1396699,21,1
19,Elementali dell'Acqua,73,42839,1396675,18,0
20,Golem Arcani,73,41573,1401852,19,1
21,Iniziati dello Yak,67,42840,1396688,22,0
22,Adepti dello Yak,67,40092,1396705,23,1
23,Iniziati della Tigre,66,40012,1396706,25,0
24,Adepti della Tigre,66,40138,1396707,26,1
25,Elementali Minori,97,42847,1396645,40,0
26,Elementali Superiori,97,41422,1396658,41,1
27,Circolo di Invocatori della Terra,98,40260,1396708,42,0
28,Geomanti del Circolo della Terra,98,41421,1401884,43,1
29,Ascesi,139,41525,1396660,44,0
30,Squadra di Arcieri,86,42842,1401885,14,0
31,Tiratori Invisibili,86,41557,1401886,15,1
32,Banda di Braccatori,85,41559,1401887,16,0
33,Ricognitori,85,41560,1401888,17,1
34,Treant del Bosco dei Sogni,81,42843,1396694,10,0
35,Figlie di Cenarius,81,41580,1396686,11,1
36,Druidi dell'Unghia,82,41581,1396668,12,0
37,Custodi del Boschetto,82,41582,1396684,13,1
38,Squadra di Scudieri,87,42841,1396701,28,0
39,Falange Portascudi,87,41588,1396702,29,1
40,Cavalieri della Mano d'Argento,88,41589,1396703,30,0
41,Templare della Mano d'Argento,88,41590,1396704,31,1
42,Aspiranti Valarjar,99,42845,1401869,51,0
43,Forgiatuono Valarjar,99,41592,1401871,52,1
44,Brigata di Signore dello Scudo,100,41593,1401854,53,0
45,Signore dello Scudo Valkyra,100,41594,1401874,54,1
46,Guerrieri Linguamorta,79,42844,1401873,6,0
47,Mirmidone Naga,79,41635,1401889,7,1
48,Adepti Illidari,80,41636,1401865,8,0
49,Adepti Illidari Trasformati,80,41637,1401883,9,1
50,Branco di Ghoul,75,42837,1401858,2,0
51,Sciame di Geist,75,42838,1401859,3,1
52,Cavalieri d'Ebano,76,41676,1401866,4,0
53,Devastatori d'Ebano,76,41677,1401855,5,1
54,Gruppo di Banditi,93,42848,1401891,36,0
55,Ladri Defias,93,41707,1401892,37,1
56,Duellanti Senza Corona,94,41705,1401893,38,0
57,Ciurma di Pirati,94,41704,1401894,39,1
58,Celestiale,105,40060,1401861,59,0
59,Gruppo di Accoliti,91,42849,1086381,32,0
60,Eletti di Lucefatua,91,41906,1066217,33,1
61,Banda di Zeloti,92,41907,1066169,34,0
62,Zeloti Oscuri,92,41908,1066121,35,1
63,Antico della Guerra,96,42818,1452563,58,0
64,Abominio,77,43780,1401851,0,0
65,Bruto Malaspira,144,47107,1551349,0,0
66,Guerrieri Totem Truce,145,47112,1551342,80,0
67,Guardiani del Kirin Tor,147,48413,1604890,68,0
68,Cavalieri d'Ebano Razziagelo,148,48417,1605028,64,0
69,Forza d'Assalto,149,49177,1605040,75,0
70,Custodi del Bosco dei Sogni,150,48415,1589538,66,0
71,Shivarra,151,48416,1589536,65,0
72,Protettori del Circolo della Terra,152,48408,1589546,73,0
73,Maestri della Serenità,153,48412,1605031,69,0
74,Vilguardie Brute,154,48407,1589549,74,0
75,Sacerdoti Incappucciati,155,48410,1589544,71,0
76,Crociati della Mano d'Argento,156,48411,1605020,70,0
77,Assassini di Corvolesto,157,48409,1605036,72,0
78,Cacciatori Nobili Oscuri,158,48414,1551348,67,0
80,Forza d'Assalto,149,49178,1605021,75,1
81,Calcacreste Krokul,160,50765,1712229,77,0
82,Krokul Espulso dal Vuoto,161,51511,1712228,78,0
83,Difensore Forgialuce,162,51512,1694048,76,0
