ID,Name_lang,CreatureDisplayID,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,Forma Felina,115603,1,248,132116,1,1000,0.4,0,0,0,0,0,0,0,0,0
2,Forma di Albero della Vita,115608,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Forma Celere,115605,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Forma Acquatica,115604,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Forma d'Orso,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
6,Ambiente,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ghoul,25527,6,9689,0,0,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,Forma d'Orso Feroce,115602,1,248,132143,3,2500,0.4,0,0,0,0,0,0,0,0,0
9,Stile della Gru,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Scheletro di Tharon'ja,9784,6,1034,0,0,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Lunacupa - Prova di Forza,0,0,1226,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB Player,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,Danza dell'Ombra,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
14,Creatura - Orso,2281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Creatura - Felino,892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lupo Spettrale,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Postura da Battaglia,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Postura da Difesa,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
19,Postura da Berserker,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Stile della Serpe,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
21,Zombi,26942,6,5150,0,0,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,Metamorfosi Demoniaca,0,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Stile dello Yak,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
24,Stile della Tigre,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Non Morto,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Frenesia,17170,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Forma Volante Rapida,115606,1,32776,0,0,0,0,246,0,0,0,0,0,0,0,0
28,Forma d'Ombra,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Forma Volante,115606,1,32776,0,0,0,0,245,0,0,0,0,0,0,0,0
30,Furtività,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Forma di Lunagufo,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
32,Spirito di Redenzione,16031,0,82704,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Postura da Gladiatore,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
34,Metamorfosi,64560,3,472,1035040,0,0,0.4,0,0,0,0,0,0,0,0,0
35,Forma di Lunagufo,115607,0,2249,0,4,0,0,0,0,0,0,0,0,0,0,0
36,Forma di Treant,864,7,2265,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Forma di Spirito del Gufo,38633,1,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
38,Forma di Spirito del Gufo,38633,0,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
39,Forma di Fuoco Fatuo,10045,6,32776,0,0,0,0,295,0,0,0,0,0,0,0,0
40,Forma di Fuoco Fatuo,10045,6,32776,0,0,0,0,204,0,0,0,0,0,0,0,0
41,Animorfosi,93949,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Fantasticherie della Forgia,66094,0,65792,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Forma Umanoide,0,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Xuen, la Tigre Bianca",114683,1,14552,0,1,1,0.4,0,426730,439411,426833,0,0,0,0,0
45,"Yu'lon, la Serpe di Giada",114682,2,14552,0,1,2000,0.4,0,426902,426900,426926,0,0,0,0,0
46,"Chi-Ji, la Gru Rossa",114684,1,14808,0,1,2000,0.4,0,436852,436897,0,437092,429633,426268,0,0
47,Draco delle Isole dei Draghi,0,0,217,0,4,0,0,0,372608,372610,361584,403092,0,0,0,0
48,Lupo Spettrale,55287,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Niuzao, lo Yak Nero",114685,1,14552,0,1,2000,0.4,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
