Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
Sedute,1,29176,1,0
Letti,2,29113,1,3
Porte,3,29125,2,0
Muri e Colonne,4,29203,2,1
Tavoli e Scrivanie,5,29191,1,1
Magazzino,6,29185,1,2
Mobilia Varia,7,30799,1,4
Finestre,8,29206,2,2
Strutture Grandi,9,29155,2,3
Strutture Varie,10,30799,2,4
Decori,11,29164,3,0
Decorazioni da Parete,12,29197,3,1
Cibo e Bevande,13,29131,3,2
Pavimento,14,29128,3,3
Finiture Varie,15,30799,3,4
Luci Grandi,16,29152,4,0
Luci da Parete,17,29200,4,1
Luci da Soffitto,18,29140,4,2
Luci Piccole,19,29182,4,3
Illuminazione d'Ambiente,20,29110,4,4
Illuminazioni Varie,21,30799,4,5
Utilità,22,29194,5,0
Fogliame Grande,25,29149,6,0
Fogliame Piccolo,26,29179,6,1
Cespugli,27,29116,6,2
Copertura del Terreno,28,29137,6,3
Natura Varia,29,30799,6,4
Varie - Tutto,34,30799,8,0
Stanze - Tutto,35,0,9,0
Funzionali Varie,51,30799,5,1
