ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,Scuderia Allargata,Permette di mettere in bella mostra 5 cavalcature aggiuntive nella Scuderia.,0,0,0,132224,100,0
3,Commerciante di Cavalcature,Un commerciante di cavalcature rare apre un negozio nella Scuderia della tua Guarnigione.,0,1,0,413588,5,0
7,Portale di Richiamo,Permette di abortire la missione attuale e richiamare immediatamente un tuo seguace.,0,5,0,511651,0,0
8,Reclutatore,"Recluta per 10 materiali da costruzione un seguace casuale con un valore specifico di caratteristica, abilità o ruolo.",0,6,0,134149,0,0
9,Chef di Roccianera,Sblocca le missioni giornaliere di Cucina.,0,6,0,236571,0,0
11,Carrelli Minerari,Minatori aggiuntivi riempiranno i carrelli con minerali o altri strani oggetti.,0,7,3,961629,0,0
12,Frutteto,Pianta un Frutteto che produce frutta rara nella tua Guarnigione.,9,7,0,133977,0,0
13,Coltello da Scuoiatore Perfetto,Aumenta le pelli raccolte ogni ora del 10%.,0,7,0,924154,0,0
22,Frantumatore di Roccia,"Fornisce materiale aggiuntivo sbriciolando le rocce di scarto della Miniera, utilizzabile per pavimentare le strade o produrre il calcestruzzo.",0,7,3,135236,0,0
23,Teletrasporto di Massa,Azzera i tempi di trasferimento per la prima missione di ogni giorno che richiede 5 seguaci.,0,5,0,413583,0,0
24,Trasporto in Città,Fornisce portali d'accesso che permettono il teletrasporto in altre città oltre Orgrimmar e Roccavento.,0,5,0,135744,0,0
25,Raccoglitore Automatico,Automatizza la raccolta di erbe nel tuo Giardino d'Erbalismo.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,Roccianera,Genera più reagenti di Minerale di Roccianera nelle spedizioni.,0,3,0,0,0,0
28,Puroferro,Genera più reagenti di Puroferro nelle spedizioni.,0,3,0,0,0,0
31,Spedizione di Pesce,"Una consegna di pesce fresco al giorno, direttamente al tuo Capanno da Pesca!",0,6,3,970842,0,0
32,Pesca di Esche,Aumenta di molto la probabilità di trovare esche quando si pesca nelle acque della Guarnigione.,0,6,3,970852,0,0
33,Cavernicolo,Fornisce una probabilità di catturare un Pesciolino del Gelo Profondo nelle acque della Guarnigione. Questi possono essere usati per evocare un Cavernicolo del Gelo Profondo.,0,6,3,970814,0,0
34,Laboratorio dello Studente,Il Laboratorio Alchemico accetta degli studenti e ogni giorno gli alunni preparano delle pozioni.,0,6,3,413574,0,0
35,Trasmutazione,"Il Laboratorio Alchemico si specializza nello studio della mutabilità degli oggetti, aumentando il numero di Cristalli Metamorfici che possono essere prodotti ogni giorno.",0,6,3,967514,0,0
36,Elisir,"Il Laboratorio Alchemico si specializza nello studio delle reazioni alchemiche, aumentando il numero di Catalizzatori Alchemici che possono essere prodotti ogni giorno.",0,6,3,967512,0,0
37,Chiamata alle Armi Superiore,"Potenzia le truppe dell'abilità Chiamata alle Armi, aumentando il danno inflitto.",0,6,3,975738,0,0
38,Primo Soccorso,Arruola un infermiere che fornisce ogni giorno pozioni di cura e bende.,0,6,3,135966,0,0
39,Prigione,Cattura occasionalmente dei ladri che possono scontare la pena pagando una multa o fornendo informazioni.,0,6,3,136058,0,0
40,Guardie Minerarie,"Le guardie della Guarnigione pattugliano anche la Miniera, proteggendola dai Goren ostili.",0,6,3,132110,0,0
41,Acquisto all'Ingrosso,Riduce il costo di acquisto degli edifici e di cambio delle specializzazioni.,0,6,3,132761,0.5,0
