ID,Text_lang
2,"Fragili e stupidi se da soli, i Ghoul servono la Spada d'Ebano come carne da cannone per sopraffare i nemici con la forza dei numeri."
3,"Fragili ma flessibili, i Geist sono capaci di scalare le pareti e arrampicarsi su superfici irregolari per colpire le loro ignare vittime."
4,"Rianimati dal Re dei Lich in persona, i Cavalieri d'Ebano sono stati creati per un solo obiettivo: uccidere o essere uccisi."
5,"Veterani esperti, i Devastatori d'Ebano sono sopravvissuti a molte guerre, hanno ucciso molti nemici e sono l'esempio della ferocia dei soldati della Spada d'Ebano."
6,"Dopo l'esposizione all'energia vile, i Corrotti Linguamorta hanno imparato a nascondersi e sopravvivere con ogni mezzo necessario, e combattono fra le ombre o in campo aperto."
7,"Un tempo leali a Dama Vashj e Kael'thas, i Naga della tribù Malaspira hanno addestrato i loro Mirmidoni rendendoli guerrieri tenaci e senza paura."
8,I Cacciatori di Demoni Illidari sacrificano i loro tratti da Elfo per sfruttare il potere dei demoni e affrontare con più efficacia la Legione Infuocata.
9,"Gli Illidari più evoluti hanno accolto completamente la forma e il potere dei demoni, trasformandosi in creature alate oscure in grado di disintegrare i propri nemici."
10,"Quando la foresta è sotto attacco, gli alberi stessi prendono vita per difendere la propria dimora."
11,"Gentili e vivaci in tempi di pace, le Driadi, figlie di Cenarius per metà Elfe e per metà cerbiatti, daranno la caccia senza tregua a coloro che minacciano la natura."
12,"Maestri mutaforma, i Druidi dell'Unghia invocano il potere dell'orso, trasformandosi in bestie e utilizzando la loro forza e resistenza per devastare i loro nemici."
13,"Mezzi Elfi e mezzi cervi, con una sola mano dotata di artigli intrecciata come dei rami d'albero, i Custodi del Boschetto discendono da Cenarius stesso e brandiscono l'immenso potere della natura."
14,"Abili con l'arco e spesso utilizzati per supportare la fanteria dalla distanza, gli arcieri sono efficaci quando concentrano il loro fuoco su un singolo bersaglio, o anche su un gruppo di nemici."
15,Gli esperti tiratori del Sentiero Invisibile hanno sviluppato la loro abilità così a fondo da essere in grado di colpire un nemico anche con visibilità scarsa o nulla.
16,Non importa quanto siano indistinte le tracce. I braccatori del Sentiero Invisibile riescono a inseguire le loro prede e a liberarsene efficacemente.
17,"Sebbene tutti i cacciatori siano abili in campo aperto, i Ricognitori abbracciano il loro stile di vita completamente: vivono nei boschi per loro scelta e non hanno eguali nello sfruttare il terreno contro i loro nemici."
18,"Benché molti Maghi considerino gli Elementali imprevedibili, è da secoli che i Maghi del Gelo hanno adottato gli Elementali dell'Acqua come loro famigli."
