ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,Urto Possente,"Throngus batte il suo piede sul terreno, facendo crollare le pareti di Grim Batol. Throngus non lancia Urto Possente quando ha lo scudo equipaggiato.",132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,Crollo,"Dopo che Urto Possente di Throngus ha indebolito le pareti di Grim Batol, pezzi di pietra cominciano a cadere su un bersaglio casuale in un'area di $74986A1 m di raggio. I personaggi che restano in quell'area subiscono $74986s1 danni fisici ogni secondo.",132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,Varietà Armata,"Throngus ha diverse temibili armi a sua disposizione. Periodicamente nel corso dell'incontro, Throngus sceglie casualmente tra un enorme scudo, un paio di spade o una letale mazza. L'arma prescelta gli fornisce nuove abilità per breve tempo.",132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,Abilità dello Scudo,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,Falange Personale,Throngus punta il suo scudo contro un bersaglio casuale ogni 10 s. I danni inflitti a Throngus da un personaggio di fronte al suo scudo sono ridotti del $74909s1%.,132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,Freccia Infuocata,"Quando Throngus ha uno scudo equipaggiato, gli arcieri scoccano frecce infuocate dalle finestre sovrastanti contro personaggi casuali. Ogni freccia infuocata infligge $74944s1 danni da fuoco.",132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,Scudo Fiammante,"Un cono di fuoco di 60 gradi si sprigiona dallo scudo di Throngus, infliggendo $90830s1 danni da fuoco ogni secondo ai bersagli nemici travolti dalle fiamme.",132,7,819,0,0,2,0,0,0,134982,2,8,14
823,Abilità delle Spade,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,Doppia Lama,"Throngus brandisce una spada fiammeggiante in ogni mano, con la possibilità di attaccare simultaneamente con entrambe. In questo stato, i suoi danni in mischia sono ridotti del $74981s3%.",132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,Falciata,"Occasionalmente, Throngus attacca due volte aggiuntive quando agita la sua spada.",132,10,823,0,826,2,0,0,0,132152,0,0,-1
826,Ruggito Disorientante,"Throngus emette un tremendo ruggito, riducendo la velocità d'attacco e di lancio dei personaggi del $74976s1%. I personaggi possono dissolvere l'effetto lanciando un incantesimo o usando un'abilità.$[!2,4

In modalità Eroica, Ruggito Disorientante riduce la velocità d'attacco e di lancio dei personaggi del 150%, e ogni volta che un personaggio lancia un incantesimo o usa un'abilità, la riduzione scende del $74976s1%.$]",132,11,823,0,827,2,0,0,0,132352,0,0,-1
827,Fiamme Brucianti,"Le lame ardenti bruciano il bersaglio degli attacchi in mischia di Throngus, infliggendo $90764s1 danni da fuoco ogni $90764t1 s per $90764d. Si accumula, ma un singolo effetto di dissoluzione rimuove tutti gli accumuli.",132,12,823,0,0,2,0,0,0,135822,2,140,14
828,Abilità della Mazza,,132,13,0,829,0,0,0,0,0,0,1,0,-1
829,Intralciato,"L'incredibile peso della mazza di Throngus riduce la sua velocità di movimento del $75007s2%, ma aumenta i suoi danni in mischia del $75007s1%.",132,14,828,0,830,2,0,0,0,133490,0,1,-1
830,Impalamento Atroce,"Throngus assale un bersaglio casuale, impalandolo con la sua arma e infliggendo $75056s3 danni fisici ogni $75056t3 s per $75056d.",132,15,828,0,831,2,0,0,0,133490,0,0,-1
831,Pozza di Lava,"Mentre Throngus si sposta con la sua mazza infuocata, lascia pozze di fuoco sul terreno. Le pozze infliggono $90754s1 danni da fuoco ogni secondo ai personaggi che vi entrano in contatto.",132,16,828,0,0,2,0,0,0,135822,2,8,14
2010,Fase 1: Pugni delle Fiamme e del Gelo,,89,1,0,2011,2014,0,0,0,0,0,1,0,-1
2011,Pugni delle Fiamme,"Glubtok incendia i suoi pugni, così ogni suo attacco in mischia infligge $87874s1 danni da fuoco.

Inoltre, quando Glubtok colpisce in mischia, infligge occasionalmente $87896s1 danni da fuoco e scaglia in aria i bersagli entro $87896A1 m.",89,2,2010,0,2012,2,0,0,0,135817,0,0,-1
2012,Pugni del Gelo,"Glubtok ricopre i suoi pugni di gelo, così i suoi attacchi in mischia infliggono $87899s1 danni da gelo.

Inoltre, quando Glubtok sferra un attacco in mischia, infligge occasionalmente $87901s1 danni da gelo, riduce la velocità di movimento del $87901s2%, riduce la frequenza degli attacchi in mischia e a distanza del $87901s3% e aumenta il tempo di lancio del $87901s3% ai nemici entro $87901A1 m per $87901d.",89,3,2010,0,2013,2,0,0,0,135785,0,0,-1
2013,Traslazione,"Quando Pugni delle Fiamme o Pugni del Gelo terminano, Glubtok si teletrasporta in una posizione vicina a un bersaglio casuale.$[!2,4

In modalità Eroica, quando Glubtok lancia Traslazione, azzera la minaccia di tutti i personaggi.$]",89,4,2010,0,0,2,0,0,0,135736,0,0,-1
2014,Fase 2: Potere Arcano,"Quando raggiunge il 50% di salute restante, Glubtok si teletrasporta al centro della stanza e levita. Glubtok comincia quindi a lanciare Bocciolo di Fuoco e Bocciolo del Gelo casualmente per tutta la stanza.",89,5,0,2015,0,0,0,0,0,0,1,0,-1
2015,Bocciolo di Fuoco,"Glubtok lancia un Bocciolo di Fuoco in una posizione casuale nella stanza che atterra dopo 2 s. Quando il Bocciolo di Fuoco atterra, scaglia in aria e infligge $88173s1 danni da fuoco ai personaggi entro $88173A1 m.$[!2,4

In modalità Eroica, quando il Bocciolo atterra, un Bocciolo di Fuoco emerge dalle fiamme e comincia ad attaccare.$]",89,6,2014,2018,2016,2,0,0,0,135817,0,0,-1
2016,Bocciolo del Gelo,"Glubtok lancia un Bocciolo del Gelo in una posizione casuale nella stanza che atterra dopo 2 s. Quando il Bocciolo del Gelo atterra, infligge $88177s1 danni da gelo, riduce la velocità di movimento del $88177s2%, riduce la frequenza degli attacchi in mischia e a distanza del $88177s3% e aumenta il tempo di lancio del $88177s3% dei personaggi entro $88177A1 m per $88177d.$[!2,4

In modalità Eroica, quando il Bocciolo atterra, un Bocciolo del Gelo emerge dal ghiaccio e comincia ad attaccare.$]",89,8,2014,2019,2017,2,0,0,0,135785,0,0,-1
