ID,Name_lang,Description_lang,CompletionPlayerConditionID,Flags,QuestID,PlayerConditionID,Field_10_2_7_54171_005
1,Avamposto in una terra selvaggia,,0,8,0,0,0
18,L'assedio della Fortezza dei Lamacurva,,0,8,0,0,0
19,Difesa di Wor'gol,,0,8,0,0,0
20,La vendetta di Ga'nar,,0,8,0,0,0
21,Rovina del Tuono,,0,8,0,0,0
22,Battaglia del Passo del Tuono,,0,8,0,0,0
23,Costruire il tuo Avamposto,,0,8,0,0,0
24,Battaglia per Shattrath,,0,8,0,0,0
25,Il giuramento degli Arakkoa,,0,8,0,0,0
26,Nelle ombre di Auchindoun,,0,8,0,0,0
27,Contrastare i Cantaguerra,,0,8,0,0,0
28,Contrastare i Cantaguerra,,0,8,0,0,0
29,Trono degli Elementi,,0,8,0,0,0
30,Trono degli Elementi,,0,8,0,0,0
31,All'ombra di Auchindoun,,0,8,0,0,0
32,Battaglia per Shattrath,,0,8,0,0,0
33,Costruire il tuo Avamposto,,0,8,0,0,0
34,Le ombre si addensano,,0,8,0,0,0
35,Guarnigione dell'Ammiraglio Taylor,,0,8,0,0,0
36,Guarnigione dell'Ammiraglio Taylor,,0,8,0,0,0
37,Segreti dei Sacerdoti dell'Artiglio,,0,8,0,0,0
38,Gli dei di Arakk,,0,8,0,0,0
39,Avamposto in una terra selvaggia,,0,8,0,0,0
40,Il risveglio delle ombre,,0,8,0,0,0
41,Il Concilio degli Esarchi,,0,8,0,0,0
42,Botani in fiore,,0,8,0,0,0
43,Il lato oscuro della luna,,0,8,0,0,0
44,Luce di Karabor,,0,8,0,0,0
45,Una luce nelle tenebre,,0,8,0,0,0
46,L'eredità degli Apexis,,0,8,0,0,0
47,Leggenda di Terokk,,0,8,0,0,0
48,Fondare Calascure,,0,8,0,0,0
49,Rafforzare Approdo del Sud,,0,8,0,0,0
50,Stabilimenti Brillabotti,,0,8,0,0,0
51,Quando il corvo inghiotte il giorno,,0,8,0,0,0
52,Ci serve un avamposto,,0,8,0,0,0
53,Aiutare la tua Guarnigione,,0,8,0,0,0
54,Aiutare la tua Guarnigione,,0,8,0,0,0
55,Nella terra dei giganti,,0,8,0,0,0
56,Nella terra dei giganti,,0,8,0,0,0
57,Costruisci un avamposto,,0,8,0,0,0
58,Sulle tracce dell'ombra,,0,8,0,0,0
59,Sulle tracce dell'ombra,,0,8,0,0,0
60,Il Portale Oscuro,,0,8,0,0,0
61,I Guerci Insanguinati,,0,8,0,0,0
62,I Manomozza,,0,8,0,0,0
63,I Torvaluna,,0,8,0,0,0
64,I Roccianera,,0,8,0,0,0
