ID,DisplayName_lang,Description_lang,Field_9_0_1_33978_001,MatQualityWeight,Field_10_0_0_44649_004
1,Specifica celerità,Ricette di Shadowlands per armature e accessori rari e leggendari.,0,0,0
3,TEST ONLY,,1,0,0
5,Specifica maestria,Ricette di Shadowlands per armature e accessori rari e leggendari.,0,0,0
6,Specifica indice di critico,Ricette di Shadowlands per armature e accessori rari e leggendari.,0,0,0
7,Specifica versatilità,Ricette di Shadowlands per armature e accessori rari e leggendari.,0,0,0
8,Incremento Livello Oggetti,,0,0,0
11,Cintura Allentata,,0,0,0
15,Specificazione Set,,0,0,0
17,Usa,,1,0,0
18,Incremento Livello Oggetti,Molte ricette per l'equipaggiamento antecedenti rispetto all'espansione attuale.,0,0,0
25,Varie,,0,0,0
29,Impostazione Livello Oggetto,Maggior parte delle ricette di Shadowlands.,0,0,0
30,Incremento Livello Oggetti,Molte ricette per l'equipaggiamento antecedenti rispetto all'espansione attuale.,0,0,0
31,Incremento Livello Oggetti,Molte ricette per l'equipaggiamento antecedenti rispetto all'espansione attuale.,0,0,0
32,Incremento Livello Oggetti,Molte ricette per l'equipaggiamento antecedenti rispetto all'espansione attuale.,0,0,0
33,Incremento Livello Oggetti,Molte ricette per l'equipaggiamento antecedenti rispetto all'espansione attuale.,0,0,0
35,Castone di Elezio,,0,0,0
36,Testo da mostrare qui.,,1,0,0
37,Microcondensatore Necrostatico,,0,0,0
38,Cinturone Rinforzato,,0,0,0
39,Sacchetto dell'Artigiano,,0,0,0
40,Acceleratori Idrodinamici,,0,0,0
41,Piuma Lussuosa,,0,0,0
42,Zampa di Coniglio Ombroso,,0,0,0
44,Borsello dell'Alchimista,,0,0,0
45,Impostazione Livello Oggetto,Maggior parte delle ricette per le armature e gli accessori di Shadowlands.,0,0,0
46,Incremento Livello Oggetti,Ricette di Shadowlands per armature e accessori rari (blu).,0,0,0
50,Impostazione Livello Oggetto,Ricette di Shadowlands per armature e accessori degni di diventare leggendari.,0,0,0
51,Incremento Livello Oggetti,Ricette di Shadowlands per armature e accessori rari (blu).,0,0,0
52,Incremento Livello Oggetti,Ricette di Shadowlands per armature e accessori rari (blu).,0,0,0
53,Incremento Livello Oggetti,Ricette di Shadowlands per armature e accessori rari (blu).,0,0,0
54,Incremento Livello Oggetti,Ricette di Shadowlands per armature e accessori rari (blu).,0,0,0
55,Impostazione Livello Oggetto,Ricette di Shadowlands per armature e accessori degni di diventare leggendari.,0,0,0
56,Aggiunta Nucleo dei Progenitori,Ricette di Shadowlands per armature e accessori rari (blu).,0,0,0
57,Test Ore,,1,20,1
59,Minerale di Draconium,,0,10,1
60,Minerale di Khaz'gorite,,0,14,1
61,Minerale di Serevite,,0,3,1
62,Lega Fusa Primordiale,,0,48,1
63,Lega di Fuocogelo,,0,48,1
64,Lega d'Ossidiana Ardente,,0,78,1
65,Lega Impetuosa,,0,33,1
66,Test Optional Reagent with Quality 01,Most Dragon Isles Test with Recipes. (DNT),0,0,0
67,Test Optional Reagent with Quality 02,Most Dragon Isles Test with Recipes. (DNT),0,0,0
68,Test Finishing Reagent,Test finishing reagent slot (DNT),0,0,2
69,Test Finishing Reagent with Quality 01,Test finishing reagent slot (DNT),0,0,2
71,Altofiore,,0,3,1
72,Fiala Draconica,,0,11,1
73,Sassifraga,,0,6,1
74,Papavero Bolla,,0,6,1
75,Scorzatorta,,0,6,1
76,Pozione Elementale del Potere,,0,22,1
77,Omnium Draconis,,0,12,1
78,Convergente Primordiale,,0,39,1
79,Fiala della Versatilità Tiepida,,0,32,1
80,Fiala di Caos Elementale,,0,35,1
81,Pozione del Focus Congelato,,0,21,1
83,Impostazione Livello Oggetto,Ricette di Grado 1 di Shadowlands per armature e accessori degni di diventare leggendari.,0,0,0
84,10.0 Optional Reagent - Season 1 - End Game Upgrade,Ricette delle Isole dei Draghi per equipaggiamento epico creato con una Scintilla d'Ingegno.,0,0,0
85,Placche Rinforzate,Used with Dragon Isles crafted gear for Cantrip. (DNT),0,0,0
