CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
Bottino,ContainerFrame1Item1,1,2,1,107628,0,0,0
Scambio,ContainerFrame1Item1,2,2,1,107628,0,0,0
Bottino,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
Scambia|n|n(|cFF00FFFFTAB|r per passare da uno slot all'altro),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
Scambia|n|n(|cFF00FFFFTAB|r per passare da uno slot all'altro),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
Bottino,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
Bottino,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
Scambia|n|n(|cFF00FFFFTAB|r per passare da uno slot all'altro),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
Bottino,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
Scambia|n|n(|cFF00FFFFTAB|r per passare da uno slot all'altro),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
Premi [Tab] per cambiare slot,MultiBarBottomLeft,17,3,3,0,0,0,0
Potenziamento!,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
Potenziamento!,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
Potenziamento!,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
Potenziamento!,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
Attendi che abbastanza partecipanti vengano evocati perché il torneo abbia inizio!,UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
