Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
"Aiuto, aiuto! Mi stanno reprimendo!",,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Sequenza di auto-distruzione attivata.,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
CHE IL FUOCO VI PURIFICHI!!!,,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,Forza. Di qua.,15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
"Basta così, Orco! Scendi e arrenditi se non vuoi morire!","Basta così, Orco! Scendi e arrenditi se non vuoi morire!",33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,"Levatevi di mezzo, sciocchi!",33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
Inevitabile spreco di una vita.,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Faccio quello che devo.,,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Avete esaurito il tempo.,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Forse è la vostra imperfezione, la stessa che vi conferisce il libero arbitrio, che vi permette di perseverare contro ogni probabilità calcolata su scala cosmica. Riuscite a trionfare dove le stesse creazioni perfette dei Titani hanno fallito.",,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,Capitano! Un relitto a tribordo! Sembra che ci siano dei sopravvissuti!,39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
Ora concentratevi! Tra meno di un'ora staremo uccidendo Orchi.,,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
In linea!,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
Quell'isola all'orizzonte è la nostra destinazione.,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
"È lì che faremo il nostro dovere, per il Re, per Roccavento e per la sua gente...",,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
Malogrido ha mandato i suoi elementi migliori per conquistare quest'isola. Ci assicureremo che non ne ritorni nessuno...,,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
Roccavento non cadrà mai!,,42097,0,0,53,71,0,0,21190,0,0,0,0,0,0,0
,"Andate, miei Naga! Date il benvenuto su Azeroth al Cacciatore delle Maree!",42407,0,0,1,118,0,0,0,18874,0,0,0,0,0,0
Tu e i tuoi vermi scagliosi non siete nulla per me...,,42434,0,0,0,118,0,0,19457,0,0,0,0,0,0,0
,Pazzo! Questo è il tuo ultimo giorno!,42435,0,0,15,118,0,0,0,18875,0,0,0,0,0,0
"Sei andato troppo oltre, serpente. Soffrirai atrocemente per la tua presunzione!",,42518,0,0,0,118,0,0,19463,0,0,0,0,0,0,0
,"A me, seguaci! Colpite ora!",42545,0,0,15,118,0,0,0,18876,0,0,0,0,0,0
,Ora! Liberate il kraken!,44211,0,0,15,118,0,0,0,18877,0,0,0,0,0,0
Aaaaaahhh...,,44212,0,0,0,118,0,0,19464,0,0,0,0,0,0,0
,Seguitemi! Il regno del potente Neptulon è finalmente nostro!,44213,0,0,15,118,0,0,0,18878,0,0,0,0,0,0
"Che succede, vecchio amico?",,44214,0,0,1,118,0,0,21217,0,0,0,0,0,0,0
Abbiamo subito una tragica sconfitta.,,44215,0,0,396,118,0,0,19526,0,0,0,0,0,0,0
Le speranze per il futuro del nostro mondo si sono affievolite.,,44216,0,0,396,118,0,0,19527,0,0,0,0,0,0,0
Dobbiamo riferire a Thrall quello che è successo oggi.,,44217,0,0,396,118,0,0,19528,0,0,0,0,0,0,0
Deciderà lui i prossimi passi...,,44218,0,0,396,118,0,0,19529,0,0,0,0,0,0,0
Erunak! Noooo!,,44219,0,0,1,118,0,0,21218,0,0,0,0,0,0,0
Graaahaaah.,,44220,0,0,396,118,0,0,19530,0,0,0,0,0,0,0
,"Eri un vero uomo del popolo, Liam. Diverso da tutti gli altri reali che ho conosciuto. Gliela faremo pagare cara.",44223,0,0,0,71,0,0,0,19686,66,0,0,0,0,0
"Be', Sciamano, e adesso?",,44225,0,0,1,118,0,0,21319,0,0,0,0,0,0,0
Erunak! Dietro di te!,,44226,0,0,1,118,0,0,21320,0,0,0,0,0,0,0
"Che la Luce benedica gli spiriti dei nostri antenati, che hanno permesso a mio figlio di riposare in questo luogo consacrato.",,50471,0,0,1,71,0,0,19713,0,0,0,0,0,0,0
"Il suo posto è qui, circondato dagli eroi e dai patrioti di Gilneas.",,50472,0,0,1,71,0,0,19714,0,0,0,0,0,0,0
"Ritorneremo, Liam. Te lo giuro.",,50473,0,0,66,71,0,0,19715,0,0,0,0,0,0,0
"Gilneas ricorderà per sempre il tuo coraggio, Liam.",,50477,0,0,66,71,0,0,19497,0,0,0,0,0,0,0
"Ti chiedo scusa per l'inganno, ma era necessario.",,56129,0,0,0,70,0,0,28571,0,0,0,0,0,0,0
In migliaia di anni non avevamo mai visto qualcuno della tua razza.,,56130,0,13211,0,70,0,0,28572,0,0,0,0,0,0,0
Prima dovevo assolutamente capire cosa c'è nel tuo cuore.,,56131,0,0,0,70,0,0,28573,0,0,0,0,0,0,0
Vieni e cavalca con me. C'è una cosa che voglio mostrarti.,,56154,0,0,0,70,0,0,28574,0,0,0,0,0,0,0
Raderemo al suolo questo posto! Eh eh eh!,,57715,0,0,0,70,0,0,30625,0,5,0,0,0,0,0
[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.],,57899,0,0,0,70,0,0,0,0,0,0,0,0,0,0
"Scappa, sguiscio! Gli sguisci come te me li sguggo a colazione!",,58170,0,0,0,70,0,0,0,0,0,0,0,0,0,0
"Sono Anduin Wrynn, Principe di Roccavento. Non morirò qui. Non in questo modo!",,58171,0,0,0,70,0,0,27577,0,0,0,0,0,0,0
Per Pandaria!,,59411,0,15760,4,70,0,0,31905,0,0,0,0,0,0,0
,Funziona! La ferita si sta chiudendo!,60365,0,0,1,69,0,0,0,27417,0,0,0,0,0,0
,"Abbiamo rischiato tutto, ma ce l'abbiamo fatta. Shen-Zin Su starà bene.",60627,0,0,1,69,0,0,0,27418,0,0,0,0,0,0
"La nostra storia ha inizio molto tempo fa, ai tempi del mostruoso Imperatore Tian.",,61462,0,0,0,68,0,0,0,0,1,0,0,0,0,0
