ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Combattimento,3475,0
4,Generica,3475,0
5,Riciclaggio,3567,0
6,Logistica,3580,0
7,Fauna,3572,0
8,Commercio,3575,0
9,Costruzione,3578,0
10,Produzione,3568,0
11,Reclutamento,3583,0
12,Addestramento,3574,0
13,Pattugliamento,3582,0
14,Ricerca,3574,0
15,Difesa,3577,0
16,Esplorazione,3476,0
17,Assedio,3570,0
18,Alchimia,3571,0
19,Forgiatura,3474,0
20,Incantamento,3566,0
21,Ingegneria,3581,0
22,Runografia,3579,0
23,Oreficeria,3576,0
24,Conciatura,3584,0
25,Sartoria,3573,0
35,Recupero Bottino,3575,0
36,Scontri tra Mascotte,3572,0
37,Combattimento Navale,4613,174
38,Petrolio (Non Usato),4614,175
39,Addestramento Navale,4617,178
40,Tesoro Marino,4618,179
41,Assedio Navale (A),4615,176
42,Assedio Navale (O),4616,177
46,Ricognizione,3582,0
47,Bonus Navale,4897,220
48,Leggendaria Navale,4931,221
49,Assedio Navale Orda di Ferro (A),5016,224
50,Assedio Navale Orda di Ferro (O),5017,223
51,Supporto di Zona - Alleanza,5597,244
52,Invasione,3577,224
53,Artefatto - Missione del Monaco,4929,221
54,Generica (7.0),3475,0
55,Tutorial 7.0,4929,221
57,Supporto di Zona - Orda,5598,245
58,Artefatto - Missione dello Sciamano,4929,221
59,Artefatto - Missione del Druido,4929,221
60,Artefatto - Missione del Mago,4929,221
61,Artefatto - Missione del Cacciatore,4929,221
63,Artefatto - Missione del Paladino,4929,221
64,Artefatto - Missione dello Stregone,4929,221
65,Artefatto - Missione del Cacciatore di Demoni,4929,221
66,Artefatto - Missione del Ladro,4929,221
67,Artefatto - Missione del Sacerdote,4929,221
68,Artefatto - Missione del Cavaliere della Morte,4929,221
69,Artefatto - Missione del Guerriero,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,Missioni Generiche 7.2,6132,0
80,,7747,0
81,,7749,0
82,,7748,0
83,,8046,0
184,,7746,0
185,,8778,0
186,,7746,0
187,,9262,0
188,,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,Incontro 9.0 - Tazavesh,6128,0
194,Incontro 9.0 - Assalto alla Fauce,6128,0
195,9.0 Encounter - Treasure,6128,0
196,Incontro 9.2 - Zereth Mortis,6128,0
