ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,Fucina di Guerra,Fortilizio dei Nani,Questo edificio consente di immagazzinare e riparare gli armamenti della Guarnigione.,Raddoppia le probabilità di ottenere un Potenziamento Bonus raro o epico come ricompensa di missione e ne migliora la qualità. Permette la raccolta di pezzi di armatura dai clan degli Orchi di Draenor da utilizzare per la trasmogrificazione.,2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,Fucina di Guerra,Fortilizio dei Nani,Questo edificio consente di immagazzinare e riparare gli armamenti della Guarnigione.,Permette di assegnare incarichi di lavoro per la realizzazione di armi e armature dei seguaci in cambio di Risorse per la Guarnigione. Sblocca anche nuovi oggetti per la trasmogrificazione.,2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,Fucina di Guerra,Fortilizio dei Nani,Questo edificio consente di immagazzinare e riparare gli armamenti della Guarnigione.,Fornisce gratuitamente uno dei tre Sigilli del Destino Inevitabile per i tiri bonus in un'incursione una volta alla settimana.,2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,Stalla,Stalla,"La Stalla ospita le creature catturate, da cui si ricavano cuoio, carne e stoffa per la Guarnigione.","Permette di catturare mammuceronti, elekk, lupi e talbuk per cuoi e pellicce, utilizzati nelle ricette di conciatura e sartoria.",2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,Stalla,Stalla,"La Stalla ospita le creature catturate, da cui si ricavano cuoio, carne e stoffa per la Guarnigione.","Permette di catturare cinghiali e bestie dei fiumi per carni rare, utilizzate per creare i cibi più potenti.",2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,Caserma,Caserma,La Caserma ospita i seguaci e le forze militari della Guarnigione.,Sblocca le missioni di ricognizione. Queste missioni forniscono maggiore esperienza ai seguaci.,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,Caserma,Caserma,La Caserma ospita i seguaci e le forze militari della Guarnigione.,Permette a un seguace con la caratteristica Guardia del Corpo di accompagnarti come scorta nel mondo di Draenor.,2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,Caserma,Caserma,La Caserma ospita i seguaci e le forze militari della Guarnigione.,Aumenta il limite di seguaci di 5 e permette l'accesso a guardie e insegne di una specifica razza.,2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,Giardino d'Erbalismo,Giardino d'Erbalismo,Un rigoglioso giardino per piantare e raccogliere le erbe di Draenor.,"Permette di piantare una volta al giorno i Semi Draenoriani affinché diventino erbe. Inoltre, diversi tipi di cespugli d'erbe sono disponibili all'interno del Giardino d'Erbalismo.",2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,Taverna di Rocciafredda,Locanda di Calaluna,Avventura! Azione! Un eroe e i suoi seguaci hanno bisogno di tutto questo... e di un posto dove riposarsi.,"Ogni giorno la locanda ospiterà un visitatore, pronto a offrire una generosa ricompensa per una missione in una spedizione.",2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
35,Taverna di Rocciafredda,Locanda di Calaluna,Avventura! Azione! Un eroe e i suoi seguaci hanno bisogno di tutto questo... e di un posto dove riposarsi.,Recluta seguaci casuali ogni settimana. Potrai selezionare le caratteristiche e le abilità che stai cercando.,2,5,230417,224806,0,2,3600,824,300,138,31,134414,1236,1235,0,3,0,0,300,1
36,Taverna di Rocciafredda,Locanda di Calaluna,Avventura! Azione! Un eroe e i suoi seguaci hanno bisogno di tutto questo... e di un posto dove riposarsi.,Sblocca le missioni più remunerative della Guarnigione.,2,5,230418,224807,0,3,3600,824,600,139,32,134414,1238,1237,0,5,0,0,500,1
37,Rifugio degli Spiriti,Torre della Magia,Questo edificio permette di raggiungere istantaneamente alcuni luoghi strategici di Draenor!,"Permette di raccogliere Pietre Energizzate degli Ogre su Draenor, utilizzate per alimentare un Portale degli Ogre su Draenor. Inoltre, attiva occasionalmente Rune del Potere durante il combattimento.",2,13,230419,224808,0,1,3600,824,150,148,28,975740,1240,1239,0,7,0,0,150,1
38,Rifugio degli Spiriti,Torre della Magia,Questo edificio permette di raggiungere istantaneamente alcuni luoghi strategici di Draenor!,"Sblocca l'accesso a un secondo Portale degli Ogre, per un totale di due.",2,13,230420,224809,0,2,3600,824,900,149,29,975740,1242,1241,0,14,0,0,300,1
39,Rifugio degli Spiriti,Torre della Magia,Questo edificio permette di raggiungere istantaneamente alcuni luoghi strategici di Draenor!,"Sblocca l'accesso a un terzo Portale degli Ogre, per un totale di tre.",2,13,230421,224810,0,3,3600,824,1200,150,30,975740,1244,1243,0,21,0,0,500,1
40,Segheria,Segheria,La Segheria permette l'accesso a diversi tipi di tronchi su Draenor.,Permette di segnalare alberi piccoli su Draenor per la raccolta. I tronchi raccolti possono essere sfruttati per assegnare incarichi di lavoro e generare Forniture della Guarnigione.,2,4,230422,224811,0,1,3600,0,0,8,9,975739,1246,1245,0,7,0,0,300,1
41,Segheria,Segheria,La Segheria permette l'accesso a diversi tipi di tronchi su Draenor.,Permette di segnalare alberi medi per generare più Forniture della Guarnigione.,2,4,230423,224812,0,2,3600,0,0,161,62,975739,1248,1247,0,14,0,0,500,1
42,Serraglio,Serraglio,Il Serraglio fornisce nuove opportunità per sviluppare e potenziare le mascotte.,"Attira mascotte élite che puoi sconfiggere per ottenere delle ricompense. Inoltre, permette a 5 delle tue mascotte da combattimento di gironzolare per la Guarnigione.",2,7,230426,224813,0,1,3600,824,50,163,100,975741,1250,1249,5,1,0,0,0,0
51,Magazzino,Magazzino,Il Magazzino permette di tenere al sicuro i tuoi beni e quelli della tua Guarnigione.,Permette l'accesso alla banca e aumenta di 5 il numero di incarichi di lavoro attivi per tutti gli edifici.,2,15,230437,224854,0,1,3600,824,50,140,71,975745,1200,1199,0,5,0,0,150,1
52,Centro di Riciclaggio,Centro di Riciclaggio,Il Centro di Riciclaggio permette di trasformare i rifiuti altrui in nuovi tesori.,Permette di recuperare occasionalmente degli elementi riciclabili durante le missioni.,2,14,230440,224853,0,1,3600,824,50,141,64,975742,1202,1201,0,1,0,0,150,1
60,Forgia,Forgia,"La Forgia permette di produrre componenti di base per i fabbri, oltre ad armi e armature per le battaglie.",Permette di produrre oggetti di Forgiatura e di assegnare incarichi di lavoro.,2,17,230448,225537,0,1,3600,824,50,5,4,4620670,1204,1203,0,7,0,0,150,1
61,Miniera di Rocciafredda,Scavi di Calaluna,"Questa miniera era stata abbandonata, ma nel sottosuolo ci sono ancora ricchezze da estrarre.",Permette di raccogliere Pietre Draenoriane dalle vene minerarie di Draenor. La Pietra Draenoriana può essere sfruttata per assegnare incarichi di lavoro relativi ai minerali di Draenor.,2,1,230466,225538,0,1,3600,824,50,160,33,4620679,1206,1205,0,7,0,0,0,0
62,Miniera di Rocciafredda,Scavi di Calaluna,"Questa miniera era stata abbandonata, ma nel sottosuolo ci sono ancora ricchezze da estrarre.","Permette ai seguaci con la caratteristica Estrazione di lavorare in questo edificio, fornendo un bonus unico. Inoltre, apre una nuova galleria, dando accesso ad altre vene minerarie, e permette la gestione di 14 incarichi di lavoro alla volta.",2,1,230467,225539,0,2,3600,824,50,160,33,4620679,1208,1207,0,14,52,0,300,1
63,Miniera di Rocciafredda,Scavi di Calaluna,"Questa miniera era stata abbandonata, ma nel sottosuolo ci sono ancora ricchezze da estrarre.","Un'altra galleria mineraria fornisce l'accesso a ricche vene minerarie. Inoltre, le guardie della Guarnigione pattugliano la miniera, proteggendola dai Goren ostili. Permette la gestione di 21 incarichi di lavoro alla volta.",2,1,230468,225540,0,3,3600,824,100,160,33,4620679,1210,1209,0,21,52,0,500,1
64,Capanno da Pesca,Capanno da Pesca,Il Capanno da Pesca fornisce supporto per gli amanti di questa professione.,Permette la pesca dei pesci piccoli di Draenor nelle acque della Guarnigione e fornisce l'accesso alle missioni giornaliere di Pesca.,2,24,230984,230985,0,1,3600,824,50,134,85,4620674,1212,1211,0,1,227,0,0,0
65,Scuderia,Scuderia,La Scuderia fornisce significativi miglioramenti alle cavalcature.,Permette di catturare e addestrare speciali cavalcature su Draenor e di interagire con gli oggetti del mondo senza dover scendere dalla cavalcatura nel mondo esterno di Draenor.,2,11,230469,225577,0,1,3600,824,150,151,68,975744,1214,1213,3,1,0,0,150,1
66,Scuderia,Scuderia,La Scuderia fornisce significativi miglioramenti alle cavalcature.,Non si viene più frastornati dai nemici mentre si cavalca nel mondo esterno di Draenor.,2,11,230470,225578,0,2,3600,824,900,152,69,975744,1216,1215,5,3,0,0,300,1
67,Scuderia,Scuderia,La Scuderia fornisce significativi miglioramenti alle cavalcature.,Aumenta la velocità su cavalcatura su Draenor del 20%.,2,11,230471,225579,0,3,3600,824,1200,153,70,975744,1218,1217,7,5,0,0,500,1
76,Laboratorio Alchemico,Laboratorio Alchemico,Il Laboratorio Alchemico permette di creare un'ampia varietà di reagenti e meraviglie alchemiche.,Permette di produrre oggetti di Alchimia e di assegnare incarichi di lavoro.,2,16,230443,227179,0,1,3600,824,50,23,20,4620669,1282,1281,0,7,0,0,150,1
90,Conceria,Conceria,"La Conceria permette di trasformare il cuoio grezzo in resistenti oggetti, utili in molte occasioni.",Permette di produrre oggetti di Conciatura e di assegnare incarichi di lavoro.,2,22,230457,227070,0,1,3600,824,50,114,97,133611,1316,1315,0,7,0,0,150,1
91,Bottega d'Ingegneria,Bottega d'Ingegneria,"La Bottega d'Ingegneria permette di produrre aggeggi e ingranaggi per meccanisti esperti, oltre a meravigliosi congegni meccanici.",Permette di produrre oggetti di Ingegneria e di assegnare incarichi di lavoro.,2,19,230454,227072,0,1,3600,824,50,123,39,136243,1318,1317,0,7,0,0,150,1
93,Studio d'Incantamento,Studio d'Incantamento,"Lo Studio d'Incantamento permette di produrre gli elementi necessari per gli incantamenti, oltre a incanti già pronti per l'uso.","Permette di produrre oggetti di Incantamento, di disincantare gli oggetti non utilizzati e di assegnare incarichi di lavoro.",2,18,230451,227073,0,1,3600,824,50,126,80,4620672,1320,1319,0,7,0,0,150,1
94,Atelier di Sartoria,Atelier di Sartoria,L'Atelier di Sartoria permette di produrre una vasta scelta di oggetti in stoffa.,Permette di produrre oggetti di Sartoria e di assegnare incarichi di lavoro.,2,23,230463,227180,0,1,3600,824,50,111,91,4620681,1322,1321,0,7,0,0,150,1
95,Ateneo di Runografia,Ateneo di Runografia,"L'Ateneo di Runografia permette di produrre una vasta scelta di inchiostri, pigmenti e cartapecore. Crea inoltre glifi e altri oggetti magici.",Permette di produrre oggetti di Runografia e di assegnare incarichi di lavoro.,2,20,230427,227074,0,1,3600,824,50,120,94,4620676,1324,1323,0,7,0,0,150,1
96,Boutique d'Oreficeria,Boutique d'Oreficeria,La Boutique d'Oreficeria permette di creare meravigliose gemme e altri utili oggetti.,Permette di produrre oggetti di Oreficeria e di assegnare incarichi di lavoro.,2,21,230460,227075,0,1,3600,824,50,117,77,4620677,1326,1325,0,7,0,0,150,1
111,Emporio,Emporio,L'Emporio è il centro di scambio della Guarnigione con i nativi di Draenor.,Un mercante vende ogni giorno beni commerciali. Permette anche di scambiare reagenti con Risorse per la Guarnigione.,2,6,230472,227673,0,1,3600,0,0,154,72,975746,1252,1251,0,7,0,0,300,1
117,Forgia,Forgia,"La Forgia permette di produrre componenti di base per i fabbri, oltre ad armi e armature per le battaglie.","Permette ai seguaci con la caratteristica Forgiatura di lavorare in questo edificio, fornendo un bonus unico. Inoltre, permette la gestione di 14 incarichi di lavoro alla volta.",2,17,230449,227588,0,2,3600,824,100,129,83,4620670,1284,1283,0,14,55,0,300,1
118,Forgia,Forgia,"La Forgia permette di produrre componenti di base per i fabbri, oltre ad armi e armature per le battaglie.",Sblocca le missioni di Forgiatura e permette la gestione di 21 incarichi di lavoro alla volta.,2,17,230450,227589,0,3,3600,824,300,130,84,4620670,1286,1285,0,21,55,0,500,1
119,Laboratorio Alchemico,Laboratorio Alchemico,Il Laboratorio Alchemico permette di creare un'ampia varietà di reagenti e meraviglie alchemiche.,"Permette ai seguaci con la caratteristica Alchimia di lavorare in questo edificio, fornendo un bonus unico. Inoltre, permette la gestione di 14 incarichi di lavoro alla volta.",2,16,230444,227590,0,2,3600,824,100,24,21,4620669,1288,1287,0,14,54,0,300,1
