ID,Text_lang
1,[SERVER] Chiusura in %s
2,[SERVER] Riavvio in %s
3,%s
4,[SERVER] Chiusura annullata
5,[SERVER] Riavvio annullato
6,[SERVER] Chiusura campo di battaglia in %s
7,[SERVER] Riavvio campo di battaglia in %s
8,[SERVER] Chiusura istanza in %s
9,[SERVER] Riavvio istanza in %s
10,"I contenuti di Cataclysm sono ora disponibili. Per poterli utilizzare, esci dal gioco e riavvia World of Warcraft."
11,Il ticket verrà analizzato al più presto.
12,Tempo previsto non disponibile.
13,"Tempo previsto d'attesa per il ticket:
 %s"
14,Mists of Pandaria è ora disponibile!
15,Mists of Pandaria è ora disponibile! Visita Orgrimmar per iniziare l'avventura!
16,Mists of Pandaria è ora disponibile! Visita Roccavento per iniziare l'avventura!
17,[SERVER] Chiusura connessione tra reami in %s
18,[SERVER] Riavvio connessione tra reami in %s
20,Warlords of Draenor è ora disponibile! Visita le Terre Devastate per iniziare l'avventura!
21,Warlords of Draenor è ora disponibile!
124,DEBUG: Scontro %s
