ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Spedizioni - Classiche,1,0,114
2,Spedizioni - Burning Crusade,1,0,113
3,Spedizioni (E) - Burning Crusade,1,0,112
4,Spedizioni - Lich King,1,0,111
5,Spedizioni (E) - Lich King,1,0,110
6,Incursioni - Classiche,2,0,522
7,Incursioni - Burning Crusade,2,0,521
8,Incursioni (10) - Lich King,2,0,520
9,Incursioni (25) - Lich King,2,0,519
11,Eventi mondiali,0,0,10
12,Spedizioni (E) - Cataclysm,1,0,108
13,Spedizioni - Cataclysm,1,0,109
14,Incursioni (25) - Cataclysm,2,0,517
15,Incursioni (10) - Cataclysm,2,0,518
20,Campo di battaglia classificato,2,0,1024
33,Ora del Crepuscolo (E),1,0,107
36,Spedizioni (E) - Pandaria,1,0,105
37,Spedizioni - Pandaria,1,0,106
38,Scenari,1,0,1025
40,Incursioni (25) - Pandaria,2,0,516
41,Incursioni (10) - Pandaria,2,0,515
43,Scenari eroici,1,0,1026
44,Viaggi nel Tempo,0,0,1027
45,Incursioni (D) - Pandaria,2,0,514
46,Boss esterni - Pandaria,2,0,513
47,Spedizioni - Draenor,1,0,104
48,Spedizioni (E) - Draenor,1,0,103
49,Incursioni - Draenor,2,0,510
50,Incursioni (E) - Draenor,2,0,511
51,Incursioni (M) - Draenor,2,0,512
52,Spedizioni (E) - Legion,1,0,102
53,Spedizioni - Legion,1,0,101
54,Incursioni - Legion,2,0,507
55,Incursioni (E) - Legion,2,0,508
56,Incursioni (M) - Legion,2,0,509
57,Spedizioni - Battle for Azeroth,1,0,99
58,Spedizioni (E) - Battle for Azeroth,1,0,100
159,Incursioni - Battle for Azeroth,2,0,510
160,Incursioni (E) - Battle for Azeroth,2,0,511
161,Incursioni (M) - Battle for Azeroth,2,0,512
162,Battle for Azeroth (Mitica),1,0,101
163,Spedizioni di Shadowlands Mitiche,1,0,98
164,Spedizioni di Shadowlands Eroiche,1,0,97
165,Spedizioni di Shadowlands Normali,1,0,96
166,Isola dell'Esilio,1,0,115
167,Incursioni di Shadowlands Mitiche,2,0,95
168,Incursioni di Shadowlands Eroiche,2,0,94
169,Incursioni di Shadowlands Normali,2,0,93
170,Spedizioni di Dragonflight Mitiche,1,0,92
171,Spedizioni di Dragonflight Eroiche,1,0,91
172,Spedizioni di Dragonflight Normali,1,0,90
173,Seguace di Dragonflight,1,0,90
177,Spedizioni - The War Within,1,0,87
178,Spedizioni (E) - The War Within,1,0,88
180,Seguace di Mists of Pandaria,1,0,106
182,Spedizioni Corse nel Tempo,0,0,1028
183,Spedizioni Corse nel Tempo eroiche,0,0,1029
184,Scenari Corse nel Tempo,1,0,1030
185,Scenari Corse nel Tempo eroici,1,0,1031
186,Eroica di The War Within: Stagione 1,1,0,89
192,Eroica di The War Within: Stagione 2,1,0,89
194,Eroica di The War Within: Stagione 3,1,0,89
