ID,ZoneName,AreaName_lang,ContinentID,ParentAreaID,AreaBit,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,UwAmbience,ZoneMusic,UwZoneMusic,IntroSound,UwIntroSound,FactionGroupMask,Ambient_multiplier,MountFlags,PvpCombatWorldStateID,WildBattlePetLevelMin,WildBattlePetLevelMax,WindSettingsID,ContentTuningID,Flags[0],Flags[1],LiquidTypeID[0],LiquidTypeID[1],LiquidTypeID[2],LiquidTypeID[3]
1,DunMorogh,Dun Morogh,0,0,119,0,11,598,675,759,0,0,0,2,0.3,15,-1,1,2,0,74,16449,0,0,0,0,0
2,Longshore,Rivalunga,0,40,120,0,11,567,675,9,0,0,0,0,0.15,15,-1,0,0,0,6,1073758272,0,0,0,0,0
3,Badlands,Maleterre,0,0,121,0,11,606,675,738,0,0,0,0,0.15,15,-1,13,14,0,27,16448,0,0,0,0,0
4,BlastedLands,Terre Devastate,0,0,122,0,11,210,675,7,0,0,0,0,0.15,15,-1,16,17,0,34,16448,0,0,0,0,0
5,GLOBAL,- QA e GLOBALE -,606,0,6800,0,0,0,0,0,0,0,0,0,0.15,15,-1,0,0,0,984,64,0,0,0,0,0
7,DarkwaterCove,Baia degli Acquanera,0,5287,123,0,11,0,675,3,0,0,0,0,0.15,15,-1,0,0,0,24,1073758272,0,0,0,0,0
8,SwampofSorrows,Palude del Dolore,0,0,124,0,11,33,675,223,0,0,0,0,0.3,15,-1,14,15,0,31,16448,0,0,0,0,0
9,NorthshireValley,Valle della Contea del Nord,0,6170,125,0,11,35,675,1,0,674,0,0,0.15,15,-1,0,0,0,73,1076903936,0,0,0,0,0
10,Duskwood,Boscovespro,0,0,617,0,11,572,675,2,0,0,0,0,0.3,15,-1,5,7,0,13,16448,0,0,0,0,0
11,Wetlands,Paludi Grigie,0,0,618,0,11,603,675,637,0,0,0,0,0.3,15,-1,6,7,0,15,16448,0,0,0,0,0
12,ElwynnForest,Foresta di Elwynn,0,0,126,0,11,604,675,1,0,670,0,2,0.15,15,-1,1,2,0,73,16448,0,0,0,0,0
13,TheWorldTree,Albero del Mondo,0,10,555,0,11,48,675,11,0,0,0,0,0.15,15,-1,0,0,0,13,1073758272,0,0,0,0,0
14,Durotar,Durotar,1,0,127,0,11,569,675,890,0,0,0,4,0.4,15,-1,1,2,0,70,16448,0,0,0,0,0
15,Dustwallow,Acquemorte,1,0,128,0,11,586,675,590,0,0,0,0,0.4,15,-1,12,13,0,23,16448,0,0,0,0,0
16,Azshara,Azshara,1,0,129,82,11,570,675,858,0,756,0,4,0.3,15,-1,3,6,0,2,16448,0,0,0,0,0
17,TheBarrens,Savane Settentrionali,1,0,130,0,11,629,675,800,0,0,0,4,0.3,15,-1,3,4,0,3,16448,0,0,0,0,0
18,CrystalLake,Lago di Cristallo,0,12,131,0,11,35,675,1,0,0,0,0,0.15,15,-1,0,0,0,73,1073758272,8192,0,0,0,0
19,ZulGurub,Zul'gurub,0,33,574,0,11,32,675,713,0,0,0,0,0.15,15,-1,0,0,0,18,1073762368,8192,0,0,0,0
