ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,Coltello da Scuoiatore,1,1
2,Totem della Terra,2,1
3,Totem dell'Aria,2,2
4,Totem del Fuoco,2,4
5,Totem dell'Acqua,2,8
6,Verga Runica d'Incantamento,24,65536
7,Verga Runica d'Incantamento,24,65536
8,Verga Runica d'Incantamento,24,65536
9,Verga Runica d'Incantamento,24,65536
10,Verga Runica d'Incantamento,24,65536
11,Piccone da Estrattore,21,1
12,Pietra Filosofale,22,1
13,Martello da Fabbro,23,1
14,Chiave ad Arco,24,1
15,Microavvitatore Giromatico,24,2
21,Totem del Maestro,2,15
41,Verga Runica d'Incantamento,24,65536
62,Verga Runica d'Incantamento,24,65536
63,Verga Runica d'Incantamento,24,65536
81,Penna Cava,22,4
101,Verga Runica d'Incantamento,24,69631
121,Corredo da Runografo,24,-2147483648
141,Tamburi,24,1073741824
161,Coltellino Multiuso degli Gnomi,24,127
162,Martello da Fabbro,24,4
165,Piccone da Estrattore,24,8
166,Coltello da Scuoiatore,24,16
167,Piccomartello,24,12
168,Piccolama,24,24
169,Pietra Focaia ed Esca,24,32
189,Verga Runica d'Incantamento,24,65536
190,Verga Runica d'Incantamento,24,65536
209,Verga Runica d'Incantamento,24,65536
210,Arma da Fuoco ad Alto Potenziale,24,64
230,Verga Runica d'Incantamento,24,65536
238,Attrezzi dell'Orefice,24,64
250,Coltellino Multiuso Definitivo degli Gnomi,24,-2147417985
253,Penna Rosso Sangue di Lana'thel,61,1
354,Chiave ad Arco Ultr4,24,1
355,Focus del Vuoto,162,1
356,Focus del Vuoto Potenziato,162,3
357,Focus dell'Esplosione di Vuoto,162,7
358,Assetto Artigiano,24,-2147483553
359,Corredo da Incisore del Virtuoso,24,-2147483648
362,Multistrumento d'Ingegneria,24,71
369,Multitutto degli Gnomi,164,-1
