ID,Name_lang,Description_lang,SpecSetID
2,Dono Imperituro di Azeroth,,1
3,Sfera della Soppressione,"Vibrante di energie arcane, che ti conferiscono un grande senso di controllo.",1
4,Risonanza della Vena del Mondo,"Quando Sargeras colpì Azeroth con la sua spada al termine dell'invasione della Legione Infuocata, l'Azerite iniziò a fuoriuscire dalle ferite del pianeta.",2
5,Essenza dell'Iride Focalizzante,,160
6,Protocollo di Purificazione,"Mentre la corruzione di Uldir sta venendo finalmente epurata, la M.A.D.R.E. è stata incaricata di riparare i danni subiti da Azeroth.",160
7,Anima della Vita e della Morte,,1
12,Crogiolo delle Fiamme,Un fuoco ardente è una forza di distruzione inarrestabile ed è portatore di nuova vita.,2
13,Dinamo della Nullificazione,"L'interno sembra completamente privo di energia e materia, eppure risulta pesante.",1
14,Forza Vitale Condensata,Il Cuore di Azeroth è in grado di manipolare l'Azerite in modi ritenuti impossibili.,160
15,Increspatura Spaziale,Ogni istante è un'opportunità per prendere la decisione giusta.,2
16,Protezione Incrollabile,,49
17,Marea Infinita,,49
18,Artificio del Tempo,,49
19,Pozzo dell'Esistenza,,49
20,Invocazione della Protettrice della Vita,,49
21,Condotto della Vitalità,,49
22,Visione della Perfezione,"Sogna il futuro, concentrati sul presente.",173
23,Sangue dei Nemici,Il tuo Cuore di Azeroth ribolle di rabbia.,160
24,Spirito della Conservazione,,49
25,Egida del Profondo,Ti infonde con la protezione degli elementi.,1
27,Memoria dei Sogni Lucidi,Una mente vuota è uno strumento inutile.,173
28,Forza Indomabile,"Forze distruttive volteggiano violentemente, in attesa di essere liberate.",160
32,Lotta e Conflitto,,173
33,Tocco dell'Eterno,,1
34,Forza del Custode,,1
35,Respiro dei Morenti,,160
36,Scintilla dell'Ispirazione,,160
37,Vuoto Informe,,2
