Name_lang,ID,DyeColorCategoryID,GradientTextureIndex,ItemID,SwatchColorStart,SwatchColorEnd,SortOrder
Teak Caldo,3,2,1,259053,-3761562,-14808573,300
Betulla Semplice,4,2,2,259078,-75605,-12571100,304
Marrone Mesquite,5,2,3,259096,-6324389,-14873596,302
Legno di Pino,6,2,4,259097,-5790596,-15396605,308
Boscoscuro,7,2,5,259098,-7372429,-16185590,307
Betulla delle Alture,8,2,6,259099,-2109778,-10463152,305
Marrone Chiaro della Quercia Sacra,9,2,7,259100,-1653892,-14282491,303
Terra d'Ombra Pallida,10,2,8,259101,-4149098,-14806509,306
Mogano,11,2,9,259102,-9878988,-13428202,299
Cuordilegno,12,2,10,259103,-7703477,-15398392,301
Tempestacciaio,13,3,52,259104,-4140594,-15724271,200
Rame,14,3,53,259105,-3699899,-15660537,216
Oro degli Zandalari,15,3,54,259106,-669635,-14218240,212
Ottone,16,3,55,259107,-1847687,-15200255,210
Bronzo,17,3,56,259108,-1595068,-10801390,214
Ferroscuro,18,3,57,259109,-7959152,-16316664,205
Acciaio di Kul Tiras,19,3,58,259110,-6105647,-15461613,202
Oro,20,3,59,258838,-2114016,-3835119,213
Grinfiaferro,21,3,60,259111,-9206155,-16052726,208
Oro Scuro,22,3,61,259112,-6520009,-15988990,211
Rosso dell'Orda,23,1,102,259113,-5170146,-14351870,100
Verde Lussureggiante,24,1,103,259114,-12607410,-16248059,132
Blu dell'Alleanza,25,1,104,259115,-12626542,-16447725,121
Viola del Kirin Tor,26,1,105,259116,-7451976,-15726821,107
Giallo Sabbiafurente,27,1,106,259117,-4875226,-14937339,150
Zucca di Elwynn,28,1,107,259118,-1408997,-9879781,163
Fucsia della Landa Fatua,29,1,108,259119,-4695372,-14283993,105
Bianco Avorio,30,1,109,259120,-1592,-5990278,153
Nero Obsidio,31,1,110,259121,-12564915,-16711423,191
Marrone dei Terrigeni,32,1,111,259122,-9086921,-15660023,160
Grigio Stromheim,33,1,112,259123,-9146519,-15659508,192
Verde Ramargento,34,1,113,259124,-6244468,-14275551,138
Verde Un'Goro,35,1,114,259125,-14714011,-16247535,130
Viola del Vuoto,36,1,115,259126,-10405966,-15856364,108
Rosso Sbocciafuoco,37,1,116,259127,-5685473,-15268092,170
Sabbia di Kalimdor,38,1,117,259128,-3366567,-14937593,159
Blu di Zephras,39,1,118,259129,-8074523,-14726823,123
Lilla Cantanotte,40,1,119,259130,-6586406,-13557167,109
Arcavino,41,1,120,259131,-5552003,-14415090,104
Marrone Pelle di Kodo,42,1,121,259132,-6003902,-14415349,162
Verde di Acquemorte,43,1,122,259133,-6841541,-15986428,139
Sogno di Smeraldo,44,1,123,259134,-10569071,-16246510,131
Blu Mezzanotte,45,1,124,259135,-12693806,-16250079,122
Verde Acqua del Vortice,46,1,125,259136,-5711133,-15917536,124
Giallo Erbasole,47,1,126,259137,-2665,-1849512,152
Oro delle Savane,48,1,127,259138,-1851307,-6129407,151
Rosa Gilneano,49,1,128,259139,-5887417,-15203320,102
Ametista Baccaluna,50,1,129,259140,-8501643,-15530480,106
Tortora di Vol'dun,51,1,130,259141,-9015724,-15331064,154
Ruggine di Porto Paranco,52,1,131,259142,-9225937,-15267834,172
Verde Muschio di Tomba,53,1,132,259143,-10786983,-16183799,137
Prugna dei Reietti,54,1,133,259144,-9215364,-15725039,113
Marrone dei Mordilegno,55,1,134,259145,-9610414,-15199471,155
Blu di Nazjatar,56,1,135,259146,-11775890,-16053233,120
Verde Colli Bradi,57,1,136,259147,-11573440,-15985656,133
Verde Acqua dei Saggi delle Maree,58,1,137,259148,-12746368,-16116973,125
Marmo degli Alti Nobili,59,1,138,259149,-2568760,-14147555,193
Bulboterro,60,1,139,259150,-8688086,-16054010,140
Rosso Magareale Profondo,61,1,140,259151,-9885913,-15858427,190
Noce delle Entroterre,62,1,141,259152,-8042424,-15661048,173
Grigio Giglio del Vespro,63,1,142,259153,-5465645,-10859651,110
Rosso Papavero,64,1,143,259154,-1610899,-14152684,103
