SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
"Ottenuto da:|n -Spedizioni Mitiche di Dragonflight di livello inferiore al 6|n -Boss dell'Aberrus in modalità Ricerca delle Incursioni|n -Missioni mondiali, tesori e attività nella Caverna di Zaralek",9,204193,0,1,3,204075,2409
Ottenuto da:|n -Spedizioni Mitiche di Dragonflight dal livello 6 al livello 10|n -Boss dell'Aberrus in modalità Normale|n -Attività settimanali selezionate nella Caverna di Zaralek,10,204195,0,2,3,204076,2410
Ottenuto da:|n -Boss dell'Aberrus in modalità Eroica|n -Spedizioni Mitiche di Dragonflight dal livello 11 al livello 15,11,204196,0,3,3,204077,2411
Ottenuto da:|n -Boss dell'Aberrus in modalità Mitica|n -Spedizioni Mitiche di Dragonflight di livello superiore al 16,12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
