Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005
,12,1,0,0,0
Modifica livello oggetto - Maggiore,16,0,0,0,0
Specifica una Statistica Secondaria,17,0,0,0,0
,31,0,0,0,0
Modifica livello oggetto - Minore,46,0,0,0,0
,47,0,0,0,0
,48,0,0,0,0
,49,0,0,0,0
,50,0,0,0,0
Specifica una statistica secondaria,67,0,0,0,0
Specifica una statistica secondaria,72,0,0,0,0
Specifica una statistica secondaria,73,0,0,0,0
Specifica una statistica secondaria,74,0,0,0,0
Specifica una statistica secondaria,75,0,0,0,0
Modifica livello oggetto - Minore,77,0,0,0,0
Aumenta il grado,78,0,92156,0,0
Aggiungi potenziamento del Progenitore,79,0,95770,0,0
Test Ore (DNT),80,1,0,1,0
Draconium Ore (DNT),81,0,0,1,0
Primal Molten Alloy (DNT),82,0,0,1,0
Frostfire Alloy (DNT),83,0,0,1,0
Obsidian Seared Alloy (DNT),84,0,0,1,0
Infurious Alloy (DNT),85,0,0,1,0
Solo Reagenti Facoltativi senza variazione di qualità,86,0,0,0,0
Solo Reagenti Facoltativi con variazione di qualità,87,0,0,0,0
Reagenti Facoltativi con o senza variazione di qualità,88,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0
Test finishing reagent Slot (DNT),90,0,0,2,0
Catalizzatore Alchemico,91,2,0,2,2
Consapevolezza Illustre Minore,92,2,0,2,2
Consapevolezza Illustre,93,2,0,2,2
Catalizzatore Alchemico,94,2,0,2,2
Hochenblume (DNT),98,0,0,1,0
Writhebark (DNT),99,0,0,1,0
Saxifrage (DNT),100,0,0,1,0
Bubble Poppy (DNT),101,0,0,1,0
Primal Convergent (DNT),102,0,0,1,0
Omnium Draconis (DNT),103,0,0,1,0
Draconic Vial (DNT),104,0,0,1,0
Elemental Potion of Power (DNT),105,0,0,1,0
Phial of Tepid Versatility (DNT),106,0,0,1,0
Phial of Elemental Chaos (DNT),107,0,0,1,0
Potion of Frozen Focus (DNT),108,0,0,1,0
Aumenta il grado,110,0,92156,0,0
Infondi di potere,111,2,0,0,1
Aggiungi abbellimento,112,0,0,0,1
Serevite Ore (DNT),114,0,0,1,0
Potenzia con Matrice d'Addestramento,116,0,0,0,1
Khaz'gorite Ore (DNT),117,0,0,1,0
Aggiungi abbellimento,123,0,0,0,1
Fluido Raffreddante,124,2,0,2,2
Personalizza statistiche secondarie,125,2,0,0,0
Infondi di potere,126,0,0,0,1
Queen's Ruby (DNT),128,0,0,1,0
Mystic Sapphire (DNT),129,0,0,1,0
Vibrant Emerald (DNT),130,0,0,1,0
Sundered Onyx (DNT),131,0,0,1,0
Eternity Amber (DNT),132,0,0,1,0
Alexstraszite (DNT),133,0,0,1,0
Malygite (DNT),134,0,0,1,0
Ysemerald (DNT),135,0,0,1,0
Neltharite (DNT),136,0,0,1,0
Nozdorite (DNT),137,0,0,1,0
Illimited Diamond (DNT),138,0,0,1,0
Frameless Lens (DNT),140,0,0,1,0
Glossy Stone (DNT),142,0,0,1,0
Shimmering Clasp (DNT),143,0,0,1,0
Projection Prism (DNT),145,0,0,1,0
Resilient Leather (DNT),146,0,0,1,0
Adamant Scales (DNT),147,0,0,1,0
Dense Hide (DNT),148,0,0,1,0
Lustrous Scaled Hide (DNT),149,0,0,1,0
Stonecrust Hide (DNT),150,0,0,1,0
Mireslush Hide (DNT),151,0,0,1,0
Infurious Hide (DNT),153,0,0,1,0
Earthshine Scales (DNT),155,0,0,1,0
Frostbite Scales (DNT),156,0,0,1,0
Infurious Scales (DNT),157,0,0,1,0
Silken Gemdust (DNT),158,0,0,1,0
Elemental Harmony (DNT),159,0,0,1,0
Vibrant Spellthread (DNT),169,0,0,1,0
Frozen Spellthread (DNT),170,0,0,1,0
Temporal Spellthread (DNT),171,0,0,1,0
Wildercloth Bolt (DNT),172,0,0,1,0
Azureweave Bolt (DNT),173,0,0,1,0
Chronocloth Bolt (DNT),174,0,0,1,0
Vibrant Wildercloth Bolt (DNT),175,0,0,1,0
Infurious Wildercloth Bolt (DNT),176,0,0,1,0
Spool of Wilderthread (DNT),177,0,0,1,0
Aggiungi abbellimento,178,0,0,0,1
Aggiungi abbellimento,179,0,0,0,1
Aggiungi abbellimento,180,0,0,0,1
Filo per Ricami,181,2,0,2,2
Stoffa per Lucidatura,182,2,0,2,2
Aggiungi abbellimento,183,0,0,0,1
Olio per Catene,184,2,0,2,2
Agente Indurente,185,2,0,2,2
Fiery Spirit (DNT),186,0,0,1,0
Potenzia con Matrice d'Addestramento,189,0,0,0,1
,190,0,0,2,2
Ultimi ritocchi,192,0,0,2,2
Ingrediente Segreto,193,0,0,2,2
Handful of Serevite Bolts (DNT),194,0,0,1,0
Shock-Spring Coil (DNT),195,0,0,1,0
Everburning Blasting Powder (DNT),196,0,0,1,0
Greased-Up Gears (DNT),197,0,0,1,0
Arclight Capacitor (DNT),198,0,0,1,0
Reinforced Machine Chassis (DNT),199,0,0,1,0
Assorted Safety Fuses (DNT),200,0,0,1,0
Primal Deconstruction Charge (DNT),201,0,0,1,0
Sigillo di Lunacupa,202,2,0,0,0
Refreshing Healing Potion (DNT),203,0,0,1,0
Aerated Mana Potion (DNT),204,0,0,1,0
Potion of Gusts (DNT),205,0,0,1,0
Creature Combustion Canister (DNT),206,0,0,1,0
Draconium Gun Shoes (DNT),207,0,0,1,0
Gravitational Displacer (DNT),208,0,0,1,0
Blazing Ink (DNT),209,0,0,1,0
Cosmic Ink (DNT),210,0,0,1,0
Flourishing Ink (DNT),211,0,0,1,0
Burnished Ink (DNT),212,0,0,1,0
Serene Ink (DNT),213,0,0,1,0
Serene Pigment (DNT),214,0,0,1,0
Flourishing Pigment (DNT),215,0,0,1,0
Blazing Pigment (DNT),216,0,0,1,0
Shimmering Pigment (DNT),217,0,0,1,0
Chilled Rune (DNT),218,0,0,1,0
Runed Writhebark (DNT),219,0,0,1,0
Potion of the Hushed Zephyr (DNT),220,0,0,1,0
Sabbia Assorbente,221,2,0,2,2
Personalizza statistiche di creazione,222,0,0,0,0
Componenti di sicurezza,223,2,0,0,0
Amplifica la Statistica Secondaria,224,2,0,0,0
Amplifica la Statistica Secondaria,225,0,0,0,0
Aggiungi abbellimento,226,2,0,0,1
Personalizza Statistiche Secondarie,227,0,0,0,0
Pezzi di Ricambio,230,2,0,2,2
Personalizza statistiche di raccolta,231,0,0,0,0
Personalizza statistiche di creazione,232,0,0,0,0
Aggiungi abbellimento,233,2,0,0,1
Stoffa per Lucidatura,234,0,0,2,2
Consapevolezza Illustre Minore,235,0,0,2,2
Essenza di Forgiacciaio,236,0,0,0,0
Essenza di Veracciaio,237,0,0,0,0
Ingranaggio Oliosaldo,238,0,0,0,0
Grilletto di Puroferro,239,0,0,0,0
Essenza Bruciata,240,0,0,0,0
Essenza di Malastoffa,241,0,0,0,0
Cristallo dell'Arma,242,0,0,0,0
Personalizza statistica secondaria,243,2,0,0,0
Aumenta Livello oggetto PvP,244,0,0,0,1
Aumenta Livello oggetto PvP,245,0,0,0,1
Aumenta Livello oggetto PvP,246,0,0,0,1
Scintilla,247,4,0,0,1
Shadowed Alloy (DNT),248,0,0,1,0
Sabbia Assorbente,249,0,0,2,2
Wildercloth Bandage (DNT),250,0,0,1,0
Incavo,251,0,0,3,3
Incavo,252,0,0,3,3
Potion of Withering Vitality (DNT),253,0,0,1,0
Stemma del Concorrente,255,4,0,0,1
Scintilla,256,4,0,0,1
Micofiore,257,0,0,1,0
Gocciaricca,258,0,0,1,0
Orbinide,259,0,0,1,0
Bocciolo della Benedizione,260,0,0,1,0
Lancia di Arathor,261,0,0,1,0
Bismuto,262,0,0,1,0
Aqirite,263,0,0,1,0
Grinfiaferro,264,0,0,1,0
Fiala Dorata,267,0,0,1,0
Orticoltura Armoniosa,268,0,0,1,0
Cuoio Caricato dalla Tempesta,269,0,0,1,0
Chitina di Tenebre,270,0,0,1,0
Pelle Tonante,271,0,0,1,0
Carapace Senzasole,272,0,0,1,0
Gemme Frantumate,275,0,0,1,0
