ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,Miniere della Morte,"Si mormora che un terzo del tesoro di Roccavento provenisse dai giacimenti d'oro delle Miniere della Morte. Il subbuglio generato dalla Prima Guerra portò all'abbandono delle miniere. Col passare del tempo si cominciò a sospettare che fossero stregate, fino a quando la Fratellanza dei Defias, un gruppo di ex lavoratori diventati briganti, rivendicò il labirinto come base operativa per le proprie losche attività contro Roccavento.",36,522336,522352,136332,526404,1,1581,0
64,Forte di Zannascura,"A picco su Rovonero, nei boschi meridionali della Selva Pinargento, il Forte di Zannascura proietta un'ombra buia quanto il suo retaggio. Forze sinistre occupano le sue rovine, un tempo dimora dei Worgen del folle Arcimago Arugal. L'ombra irrequieta del Barone Argenius indugia ancora tra le sue mura, mentre Ser Godfrey e i suoi cospiratori, un tempo nobili di Gilneas, complottano contro i loro nemici sia viventi che non morti.",33,522342,522358,136357,526410,0,0,0
65,Trono delle Maree,"Nelle profondità senza fondo delle Fauci dell'Abisso giace il Trono delle Maree. Da qui, il gran signore elementale Neptulon il Cacciatore delle Maree ha sorvegliato e protetto il suo regno acquatico per generazioni. Adesso si trova costretto ad affrontare la sua più grande sfida: una forza di Naga e malefici Senzavolto tentano di deporlo per depredare il suo reame e i suoi antichi segreti.",643,522346,522362,460875,526413,1,5382,0
66,Caverne di Roccianera,"Voci dicono che Alamorte in persona scavò questo labirinto sotterraneo che consente al Martello del Crepuscolo di trasportare segretamente elementali dal maestoso Monte Hyjal al Massiccio Roccianera. Centro vitale di questa rete segreta, le Caverne di Roccianera contengono la forgia e alcuni tra i più atroci esperimenti del culto, inclusa la trasformazione dei cultisti in Dragoidi del Crepuscolo.",645,522334,522350,460859,526402,1,5374,0
67,Nucleo di Pietra,"All'interno del Tempio della Terra, chiuso nel cuore di Rocciafonda, giace il Nucleo di Pietra. Fu dentro queste caverne che il Martello del Crepuscolo lavorò duramente per costruire un'armatura di elementio per Alamorte, nel tentativo di contenere la sua tormentata forma fisica. Come rinato a nuova vita, Alamorte è risalito su Azeroth, distruggendo il Pilastro del Mondo e destabilizzando l'intera regione di Rocciafonda.",725,522344,522360,460872,526412,1,5303,0
68,Pinnacolo del Vortice,"Il Pinnacolo del Vortice si erge sul Piano Elementale di Celaria. Le sue costruzioni eleganti, coronate da bronzo e oro, fluttuano in cima a piattaforme connesse da pura aria. Eppure, dietro alla sua bellezza esteriore, il pinnacolo è la dimora dei Tol'vir di Neferset e delle spietate legioni elementali di Al'Akir, il Signore del Vento. Fintantoché la barriera tra Celaria e Azeroth rimarrà aperta, il terrore si riverserà su Uldum dall'alto dei cieli.",657,522345,522361,460873,526414,1,5583,0
69,Città Perduta dei Tol'vir,"La Città Perduta dei Tol'vir è la roccaforte dei Neferset, una fazione di Tol'vir dalle sembianze feline che ha giurato fedeltà ad Alamorte in cambio di una cura per questa Maledizione della Carne, che ha trasformato la loro scorza coriacea in morbida pelle. Guariti dalla maledizione, i Tol'vir si sono ribellati al loro benefattore, anche se rimangono irrevocabilmente perversi e ostili a causa del patto oscuro che hanno stretto.",755,522341,522357,460866,526409,1,0,0
70,Sale della Creazione,"Costruite dai grandi Titani, le Sale della Creazione sono colme di antiche reliquie protette da terribili guardiani. Si narra che il complesso sia anche sede di un'arma devastante capace di riforgiare la vita su Azeroth. Alamorte si è mosso per ottenere questo terrificante congegno attraverso il suo agente, Al'Akir, il Signore del Vento. Finora Alamorte è riuscito a distruggere completamente i sistemi di comunicazione della struttura, ma ancora non ha messo le sue grinfie sull'arma.",644,522340,522356,460865,526408,0,0,0
71,Grim Batol,"Il misero aspetto esteriore di Grim Batol non deve ingannare: gran parte delle camere della fortezza sono sepolte sotto le Alture del Crepuscolo. Un tempo roccaforte dei Nani di Granmartello e successivamente utilizzata dagli Orchi come prigione per Alexstrasza, la città è ora nelle grinfie dei cultisti del Martello del Crepuscolo.

Gli eroi abbastanza coraggiosi da penetrare nelle sue profondità dovranno affrontare gli agenti di Alamorte e contrastare il misterioso maligno ivi celato.",670,522338,522354,460863,526406,0,0,0
72,Bastione del Crepuscolo,"Il Bastione del Crepuscolo è l'oscuro simbolo della costante presenza degli Dei Antichi su Azeroth. Insieme al loro perfido capo Cho'gall, varie fazioni del Martello del Crepuscolo popolano le profondità della torre, considerato il più importante centro di comando del culto. Da lì, lui e i suoi servi cospirano per trasformare le visioni apocalittiche degli Dei Antichi in realtà, strappando da Azeroth ogni forma di sanità, speranza e vita.",671,522339,522355,460863,526407,0,0,0
