Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
,,,1,0,2041,0
Rissa: Riva contro Mulino,Sfida diretta a squadre,"- Uccidi i giocatori nemici per guadagnare punti
- Le uccisioni onorevoli aumentano il tuo grado
- Le uccisioni di nemici con un grado più alto forniscono più punti",2,789,0,0
Rissa: Scempio di Kotmogu,Globi del potere,"- Celerità aumentata
- Velocità di movimento aumentata
- Tempi di riapparizione ridotti",3,858,0,0
Rissa: Anomalia Gravitazionale,Dominazione elevata,"- La gravità cambia a intervalli regolari
- Il portatore della bandiera verrà spinto verso il basso
- Tutti gli altri giocatori verranno spinti verso l'alto",4,859,0,0
Rissa: Tormenta ad Arathi,Dominazione gelida,"- Conquista gli obiettivi
- Visibilità ridotta
- Terreno congelato",5,847,0,0
Rissa: Schiacciate a Ventotetro,Schiacciata,"- Raccogli le palle nelle miniere
- Porta le palle nella base nemica
- Tira o schiaccia le palle",6,860,0,0
Rissa: Occhio del Corno,Dominazione caprina,"- Goditi la cavalcatura caprina!
- La tua capra può respingere i nemici
- La distanza percorsa aumenta la respinta",7,862,0,0
Rissa: Tutto Esaurito,Arena 15v15,"- Sfida diretta a squadre
- 15 giocatori per squadra
- Vince la squadra che sopravvive",8,866,0,0
Rissa: Zuffa dei Cantaguerra,Cattura le bandiere,"- Ogni squadra ha più bandiere
- La cattura richiede una sola bandiera
- Sono disponibili cubi che forniscono potenziamenti casuali",9,861,0,0
Rissa: Resa dei Conti degli Shandaren,Arena 5v5,"- Arena 5v5
- Sconfiggi il boss Mogu nemico per vincere
- Raccogli i forzieri per un potenziamento",10,853,0,0
Rissa: Sei di Sei,Campi di battaglia 6v6,"- 6 giocatori per squadra
- Nuove modalità di gioco",11,879,0,0
Rissa: Sei di Sei - Battaglia per Gilneas,Campi di battaglia 6v6,"- 6 giocatori per squadra
- Nuove modalità di gioco",12,885,0,0
Rissa: Sei di Sei - Forra dei Cantaguerra,Campi di battaglia 6v6,"- 6 giocatori per squadra
- Nuove modalità di gioco",13,886,0,0
Rissa: Sei di Sei - Miniere di Cupargento,Campi di battaglia 6v6,"- 6 giocatori per squadra
- Nuove modalità di gioco",14,883,0,0
