Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang,EventToastID,PlayerConditionID,UiTextureAtlasMemberID,UiTextureKitID,EventType,DisplayType,EventAsset,Field_9_1_0_38312_011,IconFileID,UiWidgetSetID,ExtraUiWidgetSetID,TitleTooltipUiWidgetSetID,SubtitleTooltipUiWidgetSetID,ShowSoundKitID,HideSoundKitID,Field_10_2_5_52554_021
Livello %d,Hai raggiunto il,,,,,1,117398,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Spedizione sbloccata!,,,,,2,117398,12015,0,2,3,0,0,0,0,0,0,0,0,0,0
,Nuova abilità sbloccata!,,,,,3,117398,12014,0,1,3,0,0,0,0,0,0,0,0,0,0
,Incursione sbloccata!,,,,,4,92737,12015,0,3,3,0,0,0,0,0,0,0,0,0,0
,Nuova fase,,,,,5,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0
,,,,,,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,Nuovo Livello,,,,,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0
,Nuova abilità disponibile!,,,,,9,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
Hai catturato,,,,,,10,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
%s%s,,,,,,11,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
Predazione ad area,Funzionalità sbloccata!,Depredare un cadavere ora raggrupperà il bottino di tutti i cadaveri vicini.,Bottino ad area sbloccato,,,12,90425,12015,0,15,3,0,0,1022948,0,0,0,0,183581,0,0
Sala di Skoldus,Piano %19812w,,,,,14,79354,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Corridoi Contorti,Piano %19812w,,,,,15,79355,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Stanze delle Fratture,Piano %19812w,,,,,16,79363,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Forge dell'Anima,Piano %19812w,,,,,17,79365,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Interstizi dei Cuorfreddo,Piano %19812w,,,,,18,79368,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Mort'regar,Piano %19812w,,,,,19,79366,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Ricerca delle istanze,Funzionalità sbloccata!,,Nuova funzionalità sbloccata: |cffFF4E00|Hlfd:|h[Ricerca delle spedizioni]|h|r,,,20,90424,12015,0,15,3,0,0,397907,0,0,0,0,0,0,0
Campi di Battaglia,Funzionalità sbloccata!,,Nuova funzionalità sbloccata: |cffFF4E00|Hpvpbgs:|h[Campi di battaglia]|h|r,,,21,90427,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
Specializzazione,Funzionalità sbloccata!,,Nuova funzionalità sbloccata: |cffFF4E00|Hspecpane:|h[Specializzazioni]|h|r,,,22,90428,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
Talenti,Funzionalità sbloccata!,,Nuova funzionalità sbloccata: |cffFF4E00|Htalentpane:|h[Talenti]|h|r,,,23,90429,12015,0,15,3,0,0,132222,0,0,0,0,0,0,0
Talenti PvP,Funzionalità sbloccata!,,Nuova funzionalità sbloccata: |cffFF4E00|Htalentpanet:|h[Talenti PvP]|h|r,,,24,90430,12015,0,15,3,0,0,132147,0,0,0,0,0,0,0
Equipaggiamento per Cavalcatura,Funzionalità sbloccata!,,Nuova funzionalità sbloccata: |cffFF4E00|Hmountequipment:|h[Equipaggiamento per Cavalcatura]|h|r,,,25,90431,12015,0,15,3,0,0,1534178,0,0,0,0,0,0,0
Missioni Mondiali,Funzionalità sbloccata!,Apri la mappa per visualizzare le tue missioni mondiali,"Nuova funzionalità sbloccata: |cffFF4E00|Hworldquest:|h[Missioni Mondiali]|h|r
Apri la mappa per vederle",,,26,0,12015,0,12,3,43341,0,1064187,0,0,0,0,0,0,0
Bastioni Superiori,Piano %19812w,,,,,27,79372,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Salone di Arkoban,Piano %19812w,,,,,28,90416,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Stanza del Tormento: Jaina,Piano %19812w,,,,,29,90417,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Stanza del Tormento: Thrall,Piano %19812w,,,,,30,90418,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Stanza del Tormento: Anduin,Piano %19812w,,,,,31,90420,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Segrete Impenetrabili,Piano %19812w,,,,,32,0,0,5281,17,6,358253,0,0,0,0,0,0,0,0,0
