ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,Campagna di Guerra,"Come campione dell'Alleanza, è tuo dovere aiutare lo sforzo bellico contro l'Orda e i suoi nuovi alleati.",261,0,5793,5793,73395,88077,8,1,0,0,0
2,Campagna di Guerra,Per l'Orda!,262,0,5793,5793,73395,0,10,0,0,0,0
3,,,261,52262,5703,0,0,0,0,0,0,0,0
111,Il Maestro di Revendreth,Sire Denathrius potrebbe conoscere il modo per porre fine alla carenza d'Animum. Avventurati nel suo reame di Revendreth per scoprire di più.,5279,0,76298,89063,0,85362,16,0,95,105475,0
113,Campagna dei Venthyr,"La via per la redenzione di Revendreth è lunga, ma il Principe Oscuro di Oblio del Peccato è pronto a percorrerla. Avrà bisogno del tuo aiuto per strappare Revendreth dalle grinfie del Maestro e i suoi lacchè.",5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,Bastione,Ti è stato chiesto di indagare sui misteriosi Kyrian Giurafauce che hai incontrato all'interno della Fauce. Solo l'Arconte che sovrintende al Bastione conosce la loro vera natura.,5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,Arte della Guerra,Gli ambiziosi Necrosignori affrontano la minaccia dell'estinzione per loro stessa mano. La tua presenza forgerà quei frammenti sparpagliati in un'armata capace di sfidare il destino stesso.,5287,0,78568,70104,92799,0,19,0,94,105475,0
117,Campagna dei Silfi della Notte,"I boschi di Selvarden stanno morendo. A ogni grande albero celestiale perduto, la disperazione della Regina dell'Inverno non fa che crescere. Lei e la sua Corte della Notte hanno bisogno del tuo aiuto per ripristinare l'equilibrio della foresta.",5302,0,78569,70103,92586,0,22,0,94,105475,0
118,Lama del Primus,Le armate di Maldraxxus hanno attaccato il Bastione. Ti hanno inviato in questo regno dilaniato dalla guerra per scoprirne il motivo.,5282,0,88931,89062,0,85362,18,0,97,105475,0
119,Campagna dei Kyrian,"I nobili Kyrian del Bastione affrontano circostanze terribili, con le incombenti forze degli Indegni che minacciano di annientare il loro regno. Avranno bisogno del tuo aiuto per riconquistare il Bastione e salvare le Terretetre.",5283,0,78609,70101,86729,0,17,0,94,105475,0
124,I Boschi di Selvarden,Trasporti un messaggio molto importante per la Regina dell'Inverno. Cercala nei boschi celestiali di Selvarden.,5301,0,84196,89060,0,85362,21,0,96,105475,0
125,Campagna delle Terretetre,Questo è il quartier generale della Campagna per i personaggi che attualmente non stanno affrontando le campagne delle Terretetre.,5362,0,89137,89138,89140,0,26,0,99,105475,0
