Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Scorta il Mastro Birraio Bo al Tino di Fermentazione a Unga Ingu.,Scorta il Mastro Birraio Bo,24,15,21004,0,0,0,0,0,0,0
Porta 200 Birre della Giungla di Unga al Tino di Fermentazione.,Riempi il Tino di Fermentazione,25,15,27707,0,0,0,1,0,0,0
Sconfiggi Capitan Gancino.,Sconfiggi Capitan Gancino,26,15,21008,0,0,0,2,0,0,0
Sconfiggi il capo corrotto degli Shandaren.,Fine del terrore,114,39,21048,0,0,0,0,0,0,0
Addentrati nella cripta e raggiungi il livello inferiore.,Esplora la cripta,115,39,22065,0,0,0,2,0,0,0
Sconfiggi i mostri che attaccano gli abitanti di Pietraverde.,Salva gli abitanti,116,40,20975,0,0,0,0,0,0,0
Sconfiggi Hui il Vendicativo.,Sconfiggi Hui il Vendicativo,117,40,20982,0,0,0,4,0,0,0
Trova i barili di Birra Rubata nella foresta e riportali al dojo del villaggio.,Recupera i barili rubati,118,40,21059,0,0,0,2,0,0,0
Sconfiggi le forze corrotte dallo Sha nel Tempio della Serpe di Giada.,Tempio della Serpe di Giada,123,44,21078,0,0,0,0,0,0,0
Sconfiggi le forze che hanno gettato il caos nel Birrificio Triplo Malto.,Birrificio Triplo Malto,124,45,21087,0,0,0,0,0,0,0
Sconfiggi le forze avverse nel Monastero degli Shandaren.,Monastero degli Shandaren,125,46,21095,0,0,0,0,0,0,0
Sconfiggi le forze dei Mantid che stanno attaccando la Porta del Sole Calante.,Porta del Sole Calante,127,48,21100,0,0,0,0,0,0,0
Sconfiggi le forze dei Mantid che stanno assediando il Tempio di Niuzao.,Assedio al Tempio di Niuzao,128,49,21105,0,0,0,0,0,0,0
,Palazzo Mogu'shan,129,50,21110,0,0,0,0,0,0,0
Sconfiggi le forze negromantiche all'interno di Scholomance.,Scholomance,130,51,21120,0,0,0,0,0,0,0
Sconfiggi le forze della Crociata Scarlatta.,Sale Scarlatte,131,52,21130,0,0,0,0,0,0,0
Raggiungi il Quartiere dei Muratori e risveglia gli abitanti incoscienti.,Salva i muratori di Pietraverde,132,40,21126,0,0,0,3,0,0,0
Sconfiggi le forze della Crociata Scarlatta nel monastero.,Monastero Scarlatto,133,53,21134,0,0,0,0,0,0,0
"Evoca e sconfiggi Gamara, la possente testuggine draconica.",Gamara,138,58,21323,0,0,0,0,0,0,0
"Evoca e sconfiggi il mangiagrumyan, conosciuto anche come l'Orrore delle Nevi, Jol'grum.",Jol'grum,139,58,21325,0,0,0,1,0,0,0
"Evoca e sconfiggi Liuyang, lo spirito giocoso del fuoco.",Piccola Liuyang,140,58,21327,0,0,0,2,0,0,0
"Evoca e sconfiggi il guerriero Yaungol errante, Chagan Ardizampa.",Chagan Ardizampa,141,58,21332,0,0,0,3,0,0,0
Evoca e sconfiggi l'ultimo sfidante e rivendica la tua ricompensa da Wodin.,Sconfiggi lo Sfidante Finale!,142,58,21334,0,0,0,4,0,0,0
Aiuta gli assistenti del Mastro Birraio Bof a raccogliere gli ingredienti per la Spezzagambe del Kun-Lai.,Festival di Birraluna,154,63,21845,0,0,0,0,0,0,0
Ferma gli invasori di Bataar a Binan.,Attacco degli Yaungol,155,63,21849,0,0,0,2,0,0,0
Sconfiggi l'Araldo della Guerra Qobi.,Araldo della Guerra Qobi,156,63,21851,0,0,0,3,0,0,0
Investiga sugli avvistamenti di Yaungol.,Rapporto degli esploratori,157,63,21853,0,0,0,1,0,0,0
Assisti Blanche a preparare la sua famosa Birra Esplosiva.,Crea la Birra Esplosiva,159,65,21993,0,0,0,0,0,0,0
Scorta Blanche lungo la strada degli Zampa Tonante.,Strada degli Zampa Tonante,160,65,21995,0,0,0,1,0,0,0
Sconfiggi Borokhula il Distruttore.,Salva la dimora degli Zampa Tonante,161,65,21999,0,0,0,2,0,0,0
Distruggi l'Abominio della Rabbia.,Distruggi l'Abominio,166,39,21050,0,0,0,3,0,0,0
"Sconfiggi il Generale Zhun, Alfiere del Re del Tuono.",Uccidi il Generale Zhun,167,68,22571,0,0,0,4,0,0,0
Salva i membri catturati della spedizione del Loto Dorato.,Salva il Loto Dorato,171,68,22730,0,0,0,1,0,0,0
Impedisci l'esecuzione del Ramingo della Sapienza Fu.,Impedisci l'esecuzione,172,68,22732,0,0,0,2,0,0,0
Sconfiggi i difensori dei quattro Manufatti dei Mogu.,Conquista i Manufatti,173,68,22737,0,0,0,3,0,0,0
[PH] Sconfiggi i tre maestri.,[PH] Sconfiggi i Maestri,174,70,0,0,0,0,0,0,0,0
Fatti strada tra i nemici nel cuore delle rovine di Theramore.,Alle rovine,175,71,27452,0,0,0,2,0,0,0
Sconfiggi i Capitani dell'Alleanza e manometti i barili di polvere esplosiva su tutte le navi.,Alla linea di galleggiamento!,179,72,22975,0,0,0,0,0,0,0
Informa lo Scoppiomastro Brillamiccia del tuo successo.,Lo Scoppiomastro,180,72,22989,0,0,0,1,0,0,0
Sconfiggi Baldruc e i suoi Grifoni.,"A cuccia, Grifone!",181,72,22977,0,0,0,2,0,0,0
Distruggi la Grande Bessa e sabota i Carri Senza Equipaggio.,Occhio ai carri!,182,72,22980,0,0,0,3,0,0,0
Sconfiggi Hedric Fracassa e libera Thalen Tessicanto nella Cittadella di Theramore.,"Vola, spia, vola!",183,72,22986,0,0,0,4,0,0,0
Distruggi la macchina d'assedio alla porta occidentale e recupera gli stendardi rubati.,Demolisci il Demolitore,185,71,27457,0,0,0,4,0,0,0
Proteggi Jaina mentre entra in sintonia con l'Iride Focalizzante.,L'ultima difesa,186,71,27460,0,0,0,5,0,0,0
Sconfiggi la nave d'assalto dell'Orda.,Benvenuti a Theramore,193,71,27242,0,0,0,0,0,0,0
Sconfiggi i mostri che attaccano il Dojo di Pietraverde.,Salva il Dojo,194,40,21061,0,0,0,1,0,0,0
Sconfiggi le forze dell'Orda al porto.,Ripulisci il porto,210,71,27256,0,0,0,1,0,0,0
Purifica la Pozza della Vita dalla corruzione dello Sha.,La Pozza della Vita,211,39,27197,0,0,0,1,0,0,0
Trova Jaina nel cratere della Bomba di Mana.,Dama Marefiero,217,71,27467,0,0,0,3,0,0,0
Trova la Studiosa Shue.,Il destino del Ramingo della Sapienza,224,68,27622,0,0,0,0,0,0,0
Trova l'ingresso della Caverna dei Saurok.,In sella!,367,179,30884,0,0,0,1,0,0,0
