DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
Spade,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,43,6,136243,0,0,0,128,0,0,0
Asce,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,44,6,136243,0,0,0,128,0,0,0
Archi,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,45,6,136243,0,0,0,128,0,0,0
Armi da Fuoco,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,46,6,136243,0,0,0,128,0,0,0
Mazze,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,54,6,136243,0,0,0,128,0,0,0
Spade a Due Mani,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,55,6,136243,0,0,0,128,0,0,0
Difesa,,"Una maggiore competenza in difesa aumenta la probabilità di schivare, parare e bloccare gli attacchi, riduce la probabilità di essere colpiti e di ricevere un colpo critico da parte dei mostri.",,,95,6,136243,0,0,0,640,0,0,0
Lingua: Comune,,,,,98,10,136243,0,0,0,144,0,0,0
Razziale - Nani,,Razziale - Nani Ferroscuro,,,101,9,136243,0,0,0,33938,0,0,0
Lingua: Orchesco,,,,,109,10,136243,0,0,0,128,0,0,0
Lingua: Nanico,,,,,111,10,136243,0,0,0,128,0,0,0
Lingua: Darnassiano,,,,,113,10,136243,0,0,0,128,0,0,0
Lingua: Taurino,,,,,115,10,136243,0,0,0,128,0,0,0
Combattimento con Due Armi,,Combattimento con due armi.,,,118,6,136243,0,0,0,146,0,0,0
Razziale - Tauren,,Razziale - Tauren,,,124,9,136243,0,0,0,33938,0,0,0
Razziale - Orchi,,Razziale - Orchi,,,125,9,136243,0,0,0,32914,0,0,0
Razziale - Elfi della Notte,,Razziale - Elfi della Notte,,,126,9,136243,0,0,0,33938,0,0,0
Bastoni,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,136,6,136243,0,0,0,128,0,0,0
Lingua: Thalassiano,,,,,137,10,136243,0,0,0,128,0,0,0
Lingua: Draconico,,,,,138,10,136243,0,0,0,128,0,0,0
Lingua: Demoniaco,,Il linguaggio contorto dei demoni.,,,139,10,236293,0,0,0,128,0,0,0
Lingua: Titanico,,,,,140,10,136243,0,0,0,128,0,0,0
Lingua: Lingua Antica,,,,,141,10,136243,0,0,0,128,0,0,0
Sopravvivenza,,,,,142,9,136243,0,0,0,0,0,0,0
Equitazione di Cavalli,,,,,148,9,136243,0,0,0,1170,0,0,0
Equitazione di Lupi,,,,,149,9,136243,0,0,0,1170,0,0,0
Equitazione di Tigri,,,,,150,9,136243,0,0,0,1170,0,0,0
Equitazione di Montoni,,,,,152,9,136243,0,0,0,1170,0,0,0
Nuoto,,,,,155,9,136243,0,0,0,0,0,0,0
Mazze a Due Mani,,Una maggiore competenza in un'arma aumenta la probabilità d'impatto.,,,160,6,136243,0,0,0,128,0,0,0
Mani Nude,,Una maggiore competenza aumenta la probabilità d'impatto.,,,162,6,136243,0,0,0,128,0,0,0
Forgiatura,Modifica,Una maggiore competenza in Forgiatura permette di apprendere progetti di livello superiore. I progetti possono essere acquistati da venditori o istruttori in giro per il mondo o essere ottenuti attraverso missioni o uccidendo mostri.,,,164,11,4620670,1,0,0,4224,2018,0,0
Conciatura,Adorna,Una maggiore competenza in Conciatura permette di apprendere modelli di livello superiore. I modelli possono essere acquistati da venditori o istruttori in giro per il mondo o essere ottenuti attraverso missioni o uccidendo mostri.,,,165,11,4620678,1,0,0,4224,2108,0,0
Alchimia,Riempi,Una maggiore competenza in Alchimia permette di apprendere ricette di livello superiore. Le ricette possono essere acquistate da venditori o istruttori in giro per il mondo o essere ottenute attraverso missioni o uccidendo mostri.,,,171,11,4620669,1,0,0,4224,2259,0,0
