ID,Name_lang,Quantity,Flags
2,Gemme dell'Orefice,3,1
3,Pietra della Salute,1,0
4,Gemma di Mana,1,0
6,Gemma Tempestosa,1,1
7,Perla Incantata,1,1
8,Luce del Vincolo,1,1
9,Pietra del Vincolo,1,1
10,Scelta della Morte,1,1
11,Verdetto di Morte,1,1
12,Giuramento di Eitrigg,1,1
13,Fervore dei Figli del Gelo,1,1
14,Feticcio del Potere Mutevole,1,1
15,Vitalità della Forza Inesorabile,1,1
16,Regno della Morte,1,1
17,Regno Senza Vita,1,1
18,Scarabeo dell'Ostacolo di Satrina,1,1
19,Conforto dello Sconfitto,1,1
20,Conforto del Caduto,1,1
21,Talismano del Potere Mutevole,1,1
22,Vendetta dei Reietti,1,1
23,Chiamata Vittoriosa,1,1
24,Vera dell'Aggressione Insostenibile,1,0
25,Vera della Violenza Dolorosa,1,1
26,Vera del Re Traditore,1,0
27,Vera delle Gemelle Val'kyr,1,1
28,Vera del Temperamento Violento,1,1
29,Vera Carnivora,1,1
30,Fede del Guaritore Oscuro,1,1
31,Vera di Fuocotuono,1,1
32,Anello di Fuocotuono,1,1
33,Vera di Gormok,1,1
34,Fede delle Gemelle Val'kyr,1,1
35,Manifestazione Orrenda,1,1
36,Vera dell'Inseguitore Planare,1,1
37,Anello con Sigillo dell'Inseguitore Planare,1,1
38,Anello dell'Aggressione Insostenibile,1,1
39,Anello dell'Aggressione Insostenibile,1,1
40,Anello del Guaritore Oscuro,1,1
41,Anello del Temperamento Violento,1,1
42,Anello con Sigillo del Re Traditore,1,1
43,Anello Test Limite,1,1
44,Abaco di Althor,1,1
45,Bigiotteria di Vero Sangue,1,1
46,Moneta per Caronte,1,1
47,Volontà dell'Araldo della Morte,1,1
48,Corpo Estraneo Rimosso,1,1
49,Filatterio del Lich Senza Nome,1,1
50,Piccolo Abominio in Scatola,1,1
51,Zanna Perfetta di Sindragosa,1,1
52,Anello Sanguinoso dell'Abominio,1,1
53,Anello con Sigillo della Putrefazione,1,1
54,Anello a Spirale Rosso,1,1
55,Anello della Rottura di Facciamarcia,1,1
56,Vera Geloforgiata di Faucisaure,1,1
57,Sigillo della Regina del Crepuscolo,1,1
58,Anello con Sigillo di Tre Zanne,1,1
59,Vera del Colosso d'Ossa,1,1
60,Anello Eternamente Freddo di Devium,1,1
61,Sigillo delle Molte Bocche,1,1
62,Anello con Zaffiro della Progenie del Gelo,1,1
63,Vera della Forza Inesorabile,1,1
64,Fede del Labirinto Sconfinato,1,1
65,Occhio Congelato di Ossamorte,1,1
66,Ricordo di Malygos,1,1
67,Forza del Morbo,1,1
68,Anello dei Sussurri Esasperanti,1,1
69,Anello della Rapida Ascesa,1,1
70,Fede del Signore degli Scheletri,1,1
71,Altro Anello con Sigillo di Valanar,1,1
72,Vera della Riparazione Rosso Sangue,1,1
73,Cannocchiale di Muradin,1,1
74,Scaglia di Puro Ghiaccio,1,1
75,Organo Non Identificabile,1,1
76,Teschio con Zanne Sussurranti,1,1
77,Scaglia del Crepuscolo,1,1
78,Anello della Reintegrazione delle Fasi,1,1
79,Tributo a Saviana,1,1
80,Anello con Sigillo del Crepuscolo,1,1
81,Offerta di Zarithrian,1,1
82,Scaglia del Crepuscolo Affilata,1,1
83,Scaglia del Crepuscolo Pietrificata,1,1
84,Scaglia del Crepuscolo Brillante,1,1
85,Scaglia del Crepuscolo Carbonizzata,1,1
86,Tonico di Gilda,1,0
89,Peso Schiacciante,1,1
90,Essenza del Ciclone,1,1
91,Caduta della Mortalità,1,1
92,Cuore di Ignacious,1,1
93,Specchio di Theralion,1,1
94,Fialetta dei Ricordi Rubati,1,1
95,Campana dei Rintocchi Rabbiosi,1,1
96,Cuore di Rabbia,1,1
97,Urna dei Rimedi Antichi,1,1
98,Talismano della Macchinazione di Prestor,1,1
99,Verme Simbiotico,1,1
100,Forza dell'Oceano,1,1
101,Granchio di Porcellana,1,1
102,Stella Marina,1,1
103,Grazia dell'Araldo,1,1
104,Clessidra delle Streghe,1,1
105,Chiave della Sala Sconfinata,1,1
106,Disperazione Cupa,1,1
107,Specchio di Magnetite,1,1
108,Lacrima di Sangue,1,1
109,Tentacoli dell'Oscurità Nascosta,1,1
110,Cuore di Tuono,1,1
111,Canto della Pioggia,1,1
112,Cuore di Conforto,1,1
113,Canto della Tristezza,1,1
114,Grazia di Siamat,1,1
115,Innario di Anhuur,1,1
116,Sangue di Isiset,1,1
117,Occhio Sinistro di Rajh,1,1
118,Occhio Destro di Rajh,1,1
119,Guscio d'Uovo Corrotto,1,1
120,Zefiro delle Ombre,1,1
121,Contrassegno di Khardros,1,1
122,Grazia di Skardyn,1,1
123,Dito di Throngus,1,1
129,Bullone Dentato di Biletron 800,1,1
130,Pietra Alchemica,1,1
132,Scaglie della Vita,1,1
133,Condensatore Variabile a Luce Pulsata,1,1
134,Fauci della Sconfitta,1,1
135,Monile Famelico,1,1
