ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Errori e suggerimenti,1
9598,CHARACTER_BUTTON,Info personaggio,1
9599,MAINMENU_BUTTON,Menu di gioco,3
9600,QUESTLOG_BUTTON,Registro missioni,1
9601,SPELLBOOK_BUTTON,Grimorio,1
9602,BACKPACK_TOOLTIP,Zaino,5
9603,INVENTORY_TOOLTIP,Inventario,5
9605,MELEE_ATTACK,Attacco in Mischia,1
9606,ATTACK_SPEED_SECONDS,Velocità d'attacco (s),1
9607,UNSPENT_TALENT_POINTS,Talenti non usati: %s,1
9610,DAMAGE_BONUS_TOOLTIP,Aumenta i danni dell'arma,1
9613,EXPERIENCE_COLON,Esperienza:,1
9614,GUILD_TEMPLATE,%s di %s,1
9615,HEALTH_COLON,Salute:,1
9616,INTELLECT_COLON,Intelletto:,1
9617,DEFENSE_TOOLTIP,Difesa,1
9618,MAGIC_RESISTANCES_COLON,Resistenze magiche:,1
9619,MANA_COLON,Mana:,1
9620,MODIFIERS_COLON,Modificatori:,1
9621,PLAYER_LEVEL,|c%2$s%4$s (%3$s)|r di livello %1$s,1
9622,PROFICIENCIES_COLON,Capacità:,1
9623,SPIRIT_COLON,Spirito:,1
9625,REPUTATION,Reputazione,5
9626,RESISTANCE0_NAME,Armatura,1
9627,RESISTANCE1_NAME,Resistenza al sacro,5
9628,RESISTANCE2_NAME,Resistenza al fuoco,5
9629,RESISTANCE3_NAME,Resistenza alla natura,5
9630,RESISTANCE4_NAME,Resistenza al gelo,5
9633,STRENGTH_COLON,Forza:,1
9634,TITLE_TEMPLATE,%s di %s,1
9635,CONTAINER_SLOTS,%2$s da %1$d |4scomparto:scomparti;,1
9636,EQUIP_CONTAINER,Equipaggia contenitore,1
9637,HEADSLOT,Testa,1
9638,NECKSLOT,Collo,1
9639,SHOULDERSLOT,Spalle,1
9640,BACKSLOT,Schiena,1
9641,SHIRTSLOT,Camicia,1
9642,CHESTSLOT,Torso,1
9643,WAISTSLOT,Fianchi,1
9644,LEGSSLOT,Gambe,1
9645,FEETSLOT,Piedi,1
9646,WRISTSLOT,Polsi,1
9647,HANDSSLOT,Mani,1
9648,FINGER1SLOT,Dito,1
9649,TRINKET0SLOT,Monile,1
9650,TRINKET1SLOT,Monile,1
9651,MAINHANDSLOT,Mano primaria,1
