Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
Arcano,Arcano,"Studiosi delle arti arcane, in grado di distruggere i nemici controllando l'energia arcana.

Armi preferite: Bastone, Bacchetta, Pugnale, Spada",62,8,0,0,2,3,135932,0,362,190740,0
Fuoco,Fuoco,"Esperti della magia del fuoco, in grado di infliggere morte e devastazione con terribili attacchi fiammeggianti.

Armi preferite: Bastone, Bacchetta, Pugnale, Spada",63,8,1,0,2,3,135810,0,362,12846,0
Gelo,Gelo,"Maestri del freddo, in grado di immobilizzare i nemici e annientarli con il potere del gelo.

Armi preferite: Bastone, Bacchetta, Pugnale, Spada",64,8,2,0,2,67,135846,0,362,76613,0
Sacro,Sacro,"Campioni della Luce, capaci di convogliare le forze divine per proteggere e curare i propri compagni.

Armi preferite: Scudo più Spada, Mazza",65,2,0,0,1,5,135920,1,0,183997,0
Protezione,Protezione,"$gUn condottiero benedetto:Una condottiera benedetta;, abile nell'uso della magia sacra per proteggere se $gstesso:stessa; e i suoi alleati.

Armi preferite: Scudo più Spada, Mazza, Ascia",66,2,1,0,0,4,236264,5,0,76671,0
Castigo,Castigo,"Crociati virtuosi che giudicano e puniscono gli avversari con le armi e il potere della magia sacra.

Armi preferite: Spada, Mazza e Ascia a Due Mani",70,2,2,0,2,68,135873,5,0,267316,0
Armi,Armi,"$gUn esperto:Un'esperta; nel combattimento con le armi, $gspecializzato:specializzata; in movimenti rapidi e potenti attacchi.

Armi preferite: Ascia a Due Mani, Mazza a Due Mani, Spada a Due Mani",71,1,0,0,2,68,132355,5,0,262111,0
Furia,Furia,"Furiosi berserker che combattono con due armi, scatenando sequenze di attacchi letali.

Armi preferite: due Asce, due Mazze e due Spade a due mani.",72,1,1,0,2,20,132347,5,0,76856,0
Protezione,Protezione,"$gUn maestro:Una maestra; della difesa, che utilizza lo scudo per proteggere se $gstesso:stessa; e i propri compagni.

Armi preferite: Scudo più Ascia, Mazza, Spada",73,1,2,0,0,4,132341,5,0,76857,0
Ferocia,Ferocia,"Guidate da un ostinato istinto predatorio, queste bestie non si fermeranno di fronte a nulla pur di ottenere la vittoria: la morte stessa può fermarli solo temporaneamente.",74,0,0,0,2,0,236159,0,0,0,0
Scaltrezza,Scaltrezza,Astute creature capaci di mitigare i danni letali inflitti a se stesse o ai loro alleati.,79,0,2,2,2,0,132150,0,0,0,0
Tenacia,Tenacia,Stoici e possenti difensori che frappongono senza indugio la loro dura pelle tra il pericolo e i propri alleati.,81,0,1,1,0,0,132121,0,0,0,0
Equilibrio,Equilibrio,"Esperti nei poteri dell'arcano e della natura, capaci di distruggere i nemici a distanza.

Armi preferite: Bastone, Pugnale, Mazza",102,11,0,0,2,331,136096,0,363,393014,0
Aggressore Ferino,Aggressore Ferino,"Possenti mutaforma capaci di trasformarsi in un grosso felino per mordere, graffiare e squarciare.

Armi preferite: Bastone, Arma ad Asta",103,11,1,0,2,260,132115,3,363,77493,0
Guardiano Ferino,Guardiano Ferino,"Possenti mutaforma capaci di trasformarsi in un massiccio orso per proteggere gli alleati.

Armi preferite: Bastone, Arma ad Asta",104,11,2,0,0,4,132276,3,363,155783,0
Rigenerazione,Rigenerazione,"Esperti naturalisti specializzati nel canalizzare le cure e rivitalizzare gli alleati.

Armi preferite: Bastone, Pugnale, Mazza",105,11,3,0,1,3,136041,0,363,77495,0
Sangue,Sangue,"$gUn guardiano oscuro:Una guardiana oscura;, che manipola e corrompe l'energia vitale per resistere agli attacchi dei nemici.

Armi preferite: Ascia, Mazza e Spada a Due Mani",250,6,0,0,0,4,135770,5,0,77513,0
Gelo,Gelo,"Combattenti gelidi, specializzati nell'uso della potenza runica e nell'eseguire violenti attacchi.

Armi preferite: due Asce, due Mazze, due Spade",251,6,1,0,2,4,135773,5,0,77514,0
