ID,Name_lang,EnumID
1,Competenza,0
2,Ispirazione,1
3,Parsimonia,2
4,Precisione,3
5,Velocità,4
6,Percezione,5
7,Velocità di creazione,6
8,Creazione multipla,7
9,Unlock Reagent Slot (DNT - write manually!),8
10,Ispirazione,9
11,Parsimonia,10
12,Precisione,11
13,Velocità,12
14,Percezione,13
15,Velocità di creazione,14
16,Creazione multipla,15
17,Velocità,16
18,Gather Range Rating (DNT - write manually!),17
19,additional items crafted with Multicraft (DNT - write manually!),18
20,basic reagents gathered from Finesse (DNT - write manually!),19
21,bonus Crafting Skill from Inspiration (DNT - write manually!),20
22,reagents saved from Resourcefulness (DNT - write manually!),21
23,Diminuisci la difficoltà,22
24,Aumenta la difficoltà,23
25,Modifica l'aumento di abilità,24
26,Trait Ranks By Points-Modifier Label (DNT),25
27,Ingegno,26
28,reduce concentration cost (DNT - write manually),27
29,Dummy Effect For # Tokenization (DNT),28
30,Ingegno,29
31,Ingenuity Refund Increase (DNT - write manually!),30
