ID,Name_lang,Description_lang,OrderIndex,Flags,Field_12_0_5_66330_004
1,Missioni,Ricerca nomi missioni...,0,84,0
2,Spedizioni,"Ricerca numeri chiave, spedizioni...",2,288,0
3,Incursioni,"Ricerca incursioni, boss, difficoltà...",4,289,0
4,Arene,,0,288,0
5,Scenari,,3,256,0
6,Personalizzato,,10,66,0
7,Schermaglie in arena,,1,64,0
8,Campi di battaglia,,2,66,0
9,Campi di battaglia classificati,,3,290,0
111,Scorrerie sulle Isole,,1,320,5703
113,Torgast,"Ricerca blocchi, ali...",1,384,5703
121,Scorribande,"Ricerca Scorribande, gradi...",1,384,0
