Name_lang,ID,SecondaryID,Flags,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex,AddedInPatch
Pelle,1,1,16,0,0,2,0,0,0,0,0,90001
Tratti del viso,2,2,0,0,1,2,0,0,0,0,1,90001
Capelli,3,3,0,0,2,4,0,0,0,0,2,90001
Tinta,4,4,0,0,3,4,0,0,0,0,3,90001
Barba e baffi,5,5,0,0,4,4,0,0,0,0,4,90001
Tatuaggio,6,6,8,0,5,5,0,0,0,0,5,90001
Corna,7,7,0,0,6,2,0,0,0,0,6,90001
Benda,8,8,8,0,7,2,0,0,0,0,7,90001
Pelle,9,9,80,1,2,2,0,0,1,0,1,90001
Viso,10,10,128,1,1,2,0,0,2,0,2,90001
Capelli,11,11,0,1,3,2,0,0,3,0,4,90001
Tinta,12,12,2,1,4,2,0,0,4,0,5,90001
Barba,13,13,0,1,6,2,0,0,5,0,7,90001
Pelle,14,14,80,2,2,2,0,0,1,0,1,90001
Viso,15,15,128,2,1,2,0,0,2,0,2,90001
Capelli,16,16,0,2,3,2,0,0,3,0,3,90001
Tinta,17,17,2,2,4,2,0,0,4,0,4,90001
Pelle,19,19,80,3,2,2,0,0,1,0,1,90001
Viso,20,20,128,3,1,2,0,0,2,0,2,90001
Capelli,21,21,0,3,3,2,0,0,3,0,3,90001
Tinta,22,22,2,3,4,2,0,0,4,0,4,90001
Barba,23,23,0,3,5,2,0,0,5,0,5,90001
Postura,24,24,40,3,24,5,1,0,46,0,24,90001
Pelle,25,25,80,4,2,2,0,0,1,0,1,90001
Viso,26,26,128,4,1,2,0,0,2,0,2,90001
Capelli,27,27,0,4,3,2,0,0,3,0,3,90001
Tinta,28,28,2,4,4,2,0,0,4,0,4,90001
Orecchini,29,29,8,4,10,3,0,0,11,0,10,90001
Pelle,30,30,80,5,2,16,0,0,1,0,1,90001
Viso,31,31,128,5,1,16,0,0,2,0,2,90001
Capelli,32,32,0,5,3,16,0,0,3,0,3,90001
Tinta,33,33,2,5,4,16,0,0,4,0,4,90001
Barba,34,34,0,5,6,16,0,0,5,0,6,90001
Pelle,35,35,80,6,2,2,0,0,1,0,1,90001
Viso,36,36,128,6,1,2,0,0,2,0,2,90001
Capelli,37,37,0,6,3,2,0,0,3,0,3,90001
Tinta,38,38,2,6,4,2,0,0,4,0,4,90001
Pelle,40,40,80,7,2,2,0,0,1,0,1,90001
Viso,41,41,128,7,1,2,0,0,2,0,2,90001
Capelli,42,42,0,7,3,2,0,0,3,0,3,90001
Tinta,43,43,2,7,4,2,0,0,4,0,4,90001
Barba,44,44,0,7,7,2,0,0,5,0,7,90001
Colore,46,46,11,7,32,5,0,0,9,0,32,90001
Corna,47,47,8,7,19,23,0,0,7,0,9,90001
Benda,48,48,8,7,20,23,0,0,8,0,11,90001
Pelle,49,49,80,8,2,2,0,0,1,0,1,90001
Viso,50,50,128,8,1,2,0,0,2,0,2,90001
