Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Forma Cristallina,,1,1,72,0,-1,0,1
Forma con Punte,,2,2,0,0,-1,0,1
Brandicenere,,3,1,62,0,-1,0,2
Granspada del Virtuoso,,4,2,65,0,-1,0,2
Rappresaglia Infuocata,,5,3,63,0,-1,0,2
Speranza Persa,,6,4,66,0,-1,0,2
Giudizio Infranto,,7,5,64,0,-1,0,2
Lame Gemelle dell'Ingannatore,,8,1,72,161,-1,0,3
Mano degli Illidari,,9,2,76,928,-1,0,3
Lamannerita,,10,3,75,930,-1,0,3
Spezzafiamme,,11,5,77,931,-1,0,3
Tocco del Demone,,12,4,73,929,-1,0,3
"G'hanir, l'Albero Madre",,13,1,61,0,-1,0,13
Albero Antico,,14,2,68,0,-1,0,13
Risveglio Cristallino,,15,3,60,0,-1,0,13
Custode dei Legnomorto,,16,4,69,0,-1,0,13
Corona del Custode,,17,6,70,0,-1,1,13
Scaglia del Custode della Terra,,20,1,183,71,-1,0,11
Zanne del Divoratore,,21,1,168,169,-1,0,17
Abbraccio del Demone,,22,3,172,173,-1,0,17
Lamaombrosa,,23,2,170,171,-1,0,17
Banchetto di Sangue,,24,4,174,175,-1,0,17
Raffica di Ghiaccio,,25,5,176,177,-1,0,17
Morso del Dannato,,32,1,163,0,-1,0,15
Apocalisse,,33,1,162,0,-1,0,16
Lame del Principe Caduto,,39,1,166,167,-1,0,12
Pugno di Ra-Den,,40,1,191,192,-1,0,40
"Thas'dorah, Eredità dei Ventolesto",,41,1,719,0,-1,0,55
Lame Sterminatrici di Re,,42,1,391,392,-1,0,43
"Sharas'dal, Scettro delle Maree",,43,1,195,958,-1,0,42
Martelfato,,44,1,189,0,-1,0,41
"T'uure, Faro dei Naaru",,45,1,194,0,-1,0,45
Lama dell'Impero Nero,,46,1,570,952,-1,0,47
Mano d'Argento,,47,1,198,199,-1,0,48
Artigli di Ursoc,,48,1,188,638,-1,0,57
Scettro di Sargeras,,49,1,357,0,-1,0,38
"Sheilun, Bastone delle Nebbie",,50,1,196,0,-1,0,51
Felo'melorn,,51,1,190,935,-1,0,54
Grinfiartiglio,,52,1,197,0,-1,0,34
Aluneth,,53,1,178,0,-1,0,4
Spira Guardiana,,54,2,179,0,-1,0,4
Magnus Indomito,,55,3,181,0,-1,0,4
Caduta di Aegwynn,,56,4,180,0,-1,0,4
Mago Eterno,,57,5,182,0,-1,0,4
