ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,Kyrian,"I Kyrian sono guardiani imperturbabili dell'aldilà che trasportano le anime dei morti nelle Terretetre. Eternamente devoti al dovere e al servizio, solo i meritevoli possono far parte delle loro fila.",111,2730,315066,346042,346046,2407,1829,0
2,Venthyr,"I Venthyr sono supervisori aristocratici delle anime ostacolate dall'eccessivo orgoglio e nefandezza. Essi le guidano alla redenzione attraverso un percorso rigoroso, raccogliendo il loro Animum per mantenere in forze il loro regno.",112,2731,344545,346037,346043,2413,1830,0
3,Silfi della Notte,"I Silfi della Notte si occupano degli spiriti della natura caduti che riposano nelle loro tranquille foreste. Chi è fortemente legato alla natura può unirsi alla loro causa, assicurandosi che gli spiriti rigenerati possano un giorno riunirsi al ciclo eterno.",114,2732,344538,346039,346044,2465,1831,0
4,Necrosignori,"Tra i Necrosignori, la forza viene ricompensata e la debolezza viene gettata via. Le anime degli ambiziosi e dei conflittuali vengono forgiate in un esercito eterno incaricato alla difesa delle Terretetre.",113,2733,344544,346041,346045,2410,1832,0
12,Centauri Maruuk,I diversi clan dei Centauri delle Pianure di Ohn'ahra si identificano tutti come Centauri Maruuk.,119,0,0,0,0,2503,2002,104408
13,Spedizione delle Scaglie di Drago,La Lega degli Esploratori e il Reliquiario hanno unito le forze per una spedizione sulle Isole dei Draghi.,119,0,0,0,0,2507,2021,104394
14,Tuskarr di Iskaara,Coriacea tribù Tuskarr delle Isole dei Draghi.,119,0,0,0,0,2511,2087,104409
15,L'Accordo di Valdrakken,"Valdrakken è la capitale splendente degli Stormi dei Draghi, ed è qui che hanno raggiunto un accordo per aiutare nuovamente le razze mortali.",119,0,0,0,0,2510,2088,104407
20,Niffen di Loamm,Niffen che risiedeva sotto le Isole dei Draghi a Loamm,119,0,0,0,0,2564,2402,108239
21,Custodi del Sogno,Una coalizione di varie razze pronte a difendere il Sogno di Smeraldo contro qualsiasi minaccia.,119,0,0,0,0,2574,2653,115959
23,Ciurma di Gambafusto,Una ciurma di mascalzoni che combinano guai sotto la bandiera del Capitano Gambafusto.,0,0,0,0,0,2593,2814,119189
24,Concilio di Dornogal,[DNT],120,0,0,0,0,2590,2900,117972
25,Adunanza delle Profondità,[DNT],120,0,0,0,0,2594,2898,117991
26,Arathi dei Precipizi Sacri,[DNT],120,0,0,0,0,2570,2901,118011
27,I Fili Recisi,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,Club Fedeltà del Gallagio,[DNT],0,0,0,0,0,2685,3137,132346
