ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,,,2,1,0,0,0
2,,,4,2,1,0,461809
3,,,3,0,0,0,0
4,Assalto Doppio,"Nadjia colpisce il nemico più vicino due volte, infliggendo $s1 e poi $s2 danni fisici.",3,0,0,1,333546
5,Spazzata Alata,"Draven sbatte le ali, infliggendo $s1 danni fisici a tutti i nemici.",1,0,0,1,2103875
6,Esplosione di Sangue,"Teotar emana degli impulsi d'ombra, infliggendo $s1 danni da ombra a tutti i nemici distanti.",2,0,0,32,136118
7,Frantumazione Scheletrica,Infligge $s1 danni fisici al nemico più vicino.,2,1,0,32,3386321
8,Pugno del Falco,"Eli colpisce con la rapidità di un falco, infliggendo danni al nemico più vicino.",1,0,0,8,132188
9,Urlo Curativo,Cura tutti gli alleati del $s1% della salute massima.,4,0,0,64,1033494
10,Colpo Ramostellare,"Colpisce il nemico più vicino, infliggendo danni pari al $s1% della salute massima del nemico. Ogni turno rigenera il $s3% della salute massima e infligge danni da gelo pari al $s2% della salute massima a tutti i nemici.",3,3,0,16,514019
11,Attacco Automatico,Infligge danni al nemico più vicino.,0,0,0,1,1064261
12,Ricostruzione d'Ossa,Rigenera $s1 salute a tutti gli alleati.,1,1,0,32,136230
13,Dolce Carezza,,0,0,0,8,132125
14,Carezza dello Spirito,Anjali cura tutti gli alleati di $s1.,3,0,0,32,132993
15,Attacco Automatico,Infligge danni a un nemico distante.,0,0,0,1,135490
16,Frantumazione d'Anima,"Thela strappa via un ricordo dal nemico più lontano, infliggendo $s1 danni da ombra.",1,0,0,32,2065625
17,Badilata Tombale,"Scav scaglia una badilata di Terra di Tomba su tutti i nemici, infliggendo loro $s1 danni da gelo e curandosi di $s2.",0,0,0,16,134436
18,Ali della Furia,"Nerith colpisce tutti i nemici a portata di mischia tre volte, infliggendo $s1 danni da ombra con ogni colpo.",4,0,0,32,2103919
19,Morso Rovente,"Morde il nemico più vicino con fauci di fuoco, infliggendo $s1 danni da fuoco.",4,0,0,4,236167
20,Lancio Pietra,Scagliapietre lancia una Pietra del Peccato che si infrange e infligge $s1 danni fisici a tutti i nemici distanti,1,0,0,1,236399
21,Spiriti del Rinvigorimento,Kaletar cura tutti gli alleati di $s1.,4,4,0,1,1022944
22,Fame Inarrestabile,"Ayeleth risucchia l'Animum da tutti i nemici adiacenti, infiggendo $s1 danni da ombra e $s2 danni aggiuntivi a ogni turno.",3,2,0,32,460700
23,,Provocazione,0,2,0,0,0
24,Lancia Lucente,"Teliah potenzia la propria lancia, infliggendo $s1 danni da sacro al nemico più lontano e curando l'alleato più vicino di $s2.",2,0,0,2,1508065
25,Pugni Turbinanti,"Kythekios colpisce tutti i nemici in mischia in rapida successione, infliggendo $s1 danni da sacro e potenziandosi per infliggere il $s2% di danni aggiuntivi.",2,3,0,2,2065583
26,Pozione del Fisico,"Telethakas versa una pozione nella gola dell'alleato più vicino, curandolo di $s1 e aumentandone la salute massima di $s2.",3,2,0,8,236882
27,XX - Prova - Fisico,,0,0,0,1,1059120
28,XX - Prova - Mischia - Sacro,,0,0,0,2,0
29,XX - Prova - Mischia - Fuoco,,0,0,0,4,0
30,XX - Prova - Mischia - Natura,,0,0,0,8,0
31,XX - Prova - Mischia - Gelo,,0,0,0,16,0
32,XX - Prova - Mischia - Ombra,,0,0,0,32,0
33,XX - Prova - Mischia - Arcano,,0,0,0,64,0
34,XX - Prova - Distanza - Fisico,,0,0,0,1,0
35,XX - Prova - Distanza - Sacro,,0,0,0,2,0
36,XX - Prova - Distanza - Fuoco,,0,0,0,4,0
37,XX - Prova - Distanza - Natura,,0,0,0,8,0
38,XX - Prova - Distanza - Gelo,,0,0,0,16,0
39,XX - Prova - Distanza - Ombra,,0,0,0,32,0
40,XX - Prova - Distanza - Arcano,,0,0,0,64,0
41,Colpo di Borsa,"Il Contrabbandiere agita la sua borsa, infliggendo danni a tutti i nemici adiacenti.",3,0,0,1,133634
42,,,0,0,0,0,0
43,Risucchio d'Animum,"Risucchia l'Animum dal nemico più lontano, infliggendo $s1 danni da ombra e rigenerando la propria salute di $s2.",1,0,0,32,136212
44,Pugnalata Doppia,"Pugnala il nemico più vicino due volte, infliggendo $s1 danni fisici col primo coltello e $s2 col secondo.",3,0,0,1,333546
45,Aspirazione dell'Anima,Infligge $s1 danni da arcano al nemico più lontano e rigenera $s2 salute.,2,0,0,64,136211
46,Scudo del Domani,La Falange subisce danni ridotti del 10% e protegge allo stesso modo tutti gli alleati a distanza.,2,1,0,2,517159
47,Aura Protettiva,"L'apertura alare di Draven protegge lui e tutti gli alleati, riducendo del 20% tutti i danni subiti.",0,0,0,32,2182687
48,Cammino d'Ombra,Nadjia diventa inselezionabile e si cura di $s2.,4,1,0,32,451170
49,Dissanguamento,"Teotar lacera i vasi sanguigni di tutti i nemici distanti, aumentando il danno che subiscono del $s1%.",4,4,0,32,999949
50,Colpo d'Alabarda,"L'Alabardiera taglia con l'arma il nemico più lontano, infliggendo $s1 danni fisici.",3,0,0,1,135576
51,Tempesta d'Ossa,"Turbina sul posto, infliggendo $s1 danni da ombra a tutti i nemici in mischia.",5,0,0,32,1535071
52,Canto della Piaga,"Urla contro i nemici distanti, infliggendo $s1 danni da natura a ogni turno per 4 turni.",5,4,0,8,136147
53,Trappola di Rovi,"Tentacoli serpeggianti intrappolano tutti i nemici, infliggendo $s1 danni da natura e riducendone i danni inflitti del 20% ogni 2 turni.",6,6,0,8,1535071
54,Ombre Taglienti,"Rahel taglia allegramente il nemico più vicino e lancia un pugnale contro il nemico più lontano, infliggendo $s1 danni da ombra a entrambi.",3,0,0,32,1455921
55,Saluto Educato,"Testaroccia sorride e colpisce educatamente tutti i nemici in mischia, infliggendo $s1 danni fisici.",4,0,0,1,236550
56,Specchio del Tormento,"Symona brandisce il suo specchio con precisione, infliggendo $s1 danni da arcano al nemico più lontano.",1,0,0,64,458243
57,Lezione di Galateo,"Bogdan ricorda al nemico più vicino le buone maniere, infliggendo $s1 danni da ombra per i successivi 3 turni.",5,3,0,32,1544136
58,Spaccateste,"Sibilla Perduta spacca le teste dei nemici adiacenti l'una contro l'altra, infliggendo $s1 danni fisici.",2,0,0,1,132094
59,Specchi del Rimorso,"Vulca invoca il potere delle perdite, infliggendo $s1 danni da arcano a tutti i nemici distanti.",3,0,0,64,1020341
60,Sputo Acido,"Sputa acido sul nemico più lontano, infliggendo $s1 danni da natura.",2,0,0,8,136007
61,Colpo di Mandibola,"Colpisce il nemico più vicino, infliggendo $s1 danni da natura.",4,0,0,8,1508493
62,Incornata,"Trafigge tutti i nemici in mischia usando le corna, infliggendo $s1 danni da natura.",3,0,0,8,454039
63,Grido Sonico,"Grida rumorosamente, infliggendo $s1 danni da natura a tutti i nemici e riducendone i danni inflitti del 20% per 2 turni.",5,2,0,8,133707
64,Rimbombo Enorme,"Colpisce il terreno col suo carapace, infliggendo $s1 danni da natura a tutti i nemici.",2,0,0,8,451165
65,Dubbio Lancinante,"Morde il nemico più vicino, infliggendo $s1 danni da ombra.",2,0,0,32,1398088
66,Impatto Mastodontico,"Colpisce un nemico adiacente, infliggendo $s1 danni da ombra al bersaglio e a un nemico alle sue spalle.",1,0,0,32,132323
67,Assalto Volteggiato,"Balza per aria e colpisce il nemico più distante con una lancia d'oscurità, infliggendo $s1 danni da ombra.",3,0,0,32,376832
68,Calpestamento Zoccolobrillante,"Colpisce tutti i nemici in mischia, infliggendo $s1 danni da sacro e riducendone i danni inflitti dell'80% per 1 turno.",3,1,1,2,132368
69,,,3,2,0,0,461809
70,,,0,0,0,0,0
71,Viticci Rivitalizzanti,Cura l'alleato più vicino di $s1.,2,0,0,8,134413
72,Assalto Risonante,"Hala colpisce il nemico più vicino, infliggendo $s1 danni da sacro. La forza del colpo genera un'onda d'urto, che infligge $s2 danni da sacro a tutti i nemici distanti.",4,0,0,2,135891
73,Raggio Purificante,"Molako purifica tutti i nemici lungo una linea, infliggendo $s1 danni da sacro.",2,0,0,2,135949
74,Riconfigurazione: Difesa,"Ispiron si riconfigura, riallocando le risorse per proteggersi, riducendo tutti i danni subiti e inflitti del 40% per 3 turni.",5,3,0,2,1405810
75,Balzo del Larion,"Nemea richiama un larion alleato che balza in battaglia, infliggendo $s1 danni fisici al nemico più lontano.",2,0,0,1,3155392
76,Lampo della Falince,"Pelodis richiama una falince alleata che carica in battaglia, infliggendo $s1 danni da sacro al nemico più lontano.",3,0,0,2,3061647
77,Pozioni del Penultimo Potere,"Sika dispensa pozioni al gruppo, aumentandone i danni inflitti di $s1 danni da sacro per 3 turni.",5,3,0,2,134749
78,Fendente,"Clora colpisce tutti i nemici in mischia, infliggendo $s1 danni da sacro.",1,0,0,2,132338
79,Esplosione Sacra,"Kosmas esplode di luce, infliggendo $s1 danni da sacro a tutti i nemici e curando di $s2 tutti gli alleati.",2,0,0,2,135922
80,Folgore dell'Alba,"La luce di Apolon incendia il nemico più lontano, infliggendo $s1 danni da fuoco istantaneamente e $s2 danni da fuoco per i successivi 2 turni.",3,2,0,4,236216
81,Riconfigurazione: Riflesso,"Bron si riconfigura, avvolgendosi in fasci di luce che infliggono $s1 danni da sacro a chiunque lo attacchi per i successivi 3 turni.",5,3,0,2,461858
82,Mazza alla Mano,"La determinazione (e la mazza) di Kleia la fanno pagare cara ai nemici, infliggendo $s1 danni fisici a chiunque la attacchi.",0,0,0,1,3054888
83,Carica Potente,"Kleia carica in battaglia, infliggendo $s1 danni fisici a tutti i nemici adiacenti.",3,0,0,1,132337
84,Nucleo del Globo Vagante Scintillante,"Mikanikos acceca tutti i nemici per 2 turni, riducendone i danni inflitti del 100%. Non può essere lanciata all'inizio della battaglia.",4,2,1,64,1990984
85,Piumaggio Resiliente,"Mikanikos potenzia l'integrità dell'alleato più vicino, riducendone i danni subiti del 50% per 2 turni.",3,2,1,2,1596903
86,,,2,0,0,1,2447782
87,Dubbio Sconfitto,"Pelagos affronta le proprie paure e scaglia luce in faccia ai nemici, infliggendo $s1 danni da sacro a tutti i nemici distanti.",2,0,0,2,132351
88,Meditazione in Combattimento,"Pelagos medita, aumentando i danni inflitti del 30% e affliggendo tutti i nemici con un Ricordo Penoso, che infligge $s2 danni da sacro.",3,3,0,2,3528283
89,Trappola di Ricci Spinosi,La trappola di Niya infligge $s1 danni da natura al nemico più lontano ogni turno per 2 turni.,4,2,0,8,132309
90,Erbe Rinvigorenti,"Niya rinvigorisce gli alleati adiacenti, aumentandone tutti i danni inflitti del 20%.",0,0,0,8,960671
91,Polvere Abbagliante,Alagioia modifica i danni del nemico più lontano di $s1 per 3 turni.,4,3,0,8,1387618
92,Tormento dell'Ingannatore,Fogliavespro infligge $s1 danni da ombra a tutti i nemici distanti per 2 turni.,2,2,0,32,1396977
93,Seme Risucchiante,"Karynmwylyann risucchia la forza dal nemico più vicino, infliggendo $s1 danni da natura e curandosi di $s2.",3,0,0,8,464030
94,Lancia della Spora Gelida,"Gessino colpisce tutti i nemici in mischia con la sua lancia e impianta una Spora Gelida, infliggendo $s1 danni da gelo ogni turno per 3 turni.",4,3,0,16,135127
95,Assalto Stellare,"Lloth'wellyn richiama le stelle, infliggendo $s1 danni da arcano al nemico più lontano e $s2 danni da arcano a tutti i nemici distanti.",3,0,0,64,651082
96,Sciame d'Insetti,"Yira'lya evoca uno sciame di insetti che tormentano il nemico più lontano, infliggendo $s1 danni da natura e riducendone i danni inflitti del 30% per 2 turni.",4,2,0,8,136045
97,Frecce Fiammeggianti,"Kota scatena una raffica di frecce, infliggendo $s1 danni fisici in un cono che parte dal nemico più vicino.",2,1,0,1,133580
98,Dardo d'Animum,"Sha'lor travolge il nemico più lontano con l'Animum plasmato, infliggendo $s1 danni da arcano.",1,0,0,64,1391777
99,Massacro,"Tez'an fa cadere e squarcia con i suoi denti tutti i nemici in mischia, infliggendo $s1 danni da natura.",3,1,0,9,1027879
100,Cuore della Foresta,Qadarin si cura di $s1 natura.,1,0,0,0,136081
101,Seme Strangolacuore,"La Guardiana Sbocciavespro pianta un seme nel nemico più vicino, infliggendo $s1 danni da natura e aumentandone i danni subiti del 20% per 3 turni.",4,3,0,16,960689
102,Tocco della Foresta,"I rami di Gramcrok sferzano nel vento, infliggendo $s1 danni da natura a tutti i nemici lungo una linea.",2,0,0,8,133749
103,Farfallone,Plasmasogni raddoppia i danni inflitti da tutti gli alleati per 2 turni.,4,2,0,8,237573
104,Cura dei Baccelli,"Cura un alleato adiacente di $s1, ma ne riduce i danni inflitti del 10% per il turno successivo.",1,1,0,8,656440
105,Difesa Critica,Korayn e gli alleati subiscono danni ridotti del 10%.,0,0,0,1,136088
106,Sfida ai Nemici,"Korayn fa appello alla propria risolutezza e attacca, infliggendo $s1 danni fisici a tutti i nemici adiacenti.",2,0,0,1,132344
107,Solvente Instabile,"Marileth cosparge il nemico più vicino, infliggendo $s1 danni da ombra e $s2 danni da ombra aggiuntivi quando il bersaglio viene colpito per 3 turni.",5,3,0,32,1500943
108,Rivestimento Antiattrito di Melm,Marileth cura un alleato adiacente di $s1 e aumenta la sua salute massima del 10%.,4,2,0,32,3459800
109,Scapole Seghettate,I nemici che attaccano Heirmir subiscono $s1 danni fisici.,0,0,0,1,134427
110,Spilla Famelica,La spilla di Heirmir la cura di $s1.,1,0,0,32,237519
111,Emissione Solforica,I fumi di Emeni infliggono $s1 danni da natura a tutti i nemici a portata di mischia.,3,0,0,8,136182
112,Masticatori Digrignati,"La meravigliosa masticazione di Emeni ispira tutti gli alleati adiacenti, aumentandone i danni da ombra inflitti di $s1.",5,3,0,32,132103
113,Il giudizio del Secutor,"Mevix giudica carente il suo avversario, infliggendo $s1 danni da ombrogelo a tutti i nemici in un cono frontale.",4,0,0,48,135401
114,Ricostruzione,"A ogni turno, Gunn rigenera $s1 salute.",1,0,0,32,1045943
115,Pugno Dinamico,"Rencissa attacca, infliggendo $s1 danni da ombra ai nemici adiacenti.",2,0,0,32,1280877
116,Carica del Sogno,"Il Cerbiatto del Pantano Giovane abbassa le corna e carica, infliggendo $s1 danni da natura al nemico più vicino.",3,0,0,8,1247261
117,Sferzata Rapida,"Colpisce la prima fila dei nemici, infliggendo $s1 danni da natura.",2,0,0,8,1373911
118,Detonazione Maligna,"Travolge il nemico più lontano, infliggendo $s1 danni da natura.",4,0,1,8,136006
119,Affondo Corrosivo,"Colpisce il nemico con un attacco corrosivo a cono, infliggendo $s1 danni da natura in un cono a partire dal nemico più vicino.",2,0,0,8,136016
120,Motivazione Pungolante,"L'Ingannatore pungola un alleato casuale, spronandolo a impegnarsi di più.",2,2,0,8,1058933
121,Polvere Ipnotica,"L'Ingannatore soffia una polvere distraente su tutti i nemici, riducendone i danni inflitti del 50% per 1 turno.",3,1,0,64,463521
122,Fiamma Spiritosa,Caos e fuoco! Questo attacco infligge $s1 danni da fuoco in 3 turni a un nemico casuale.,2,0,0,4,463567
123,Trascendenza Curativa,L'Ingannatore cura gli alleati in prima linea di $s1.,4,0,0,8,136041
124,Calcio,"Calcia tutti i nemici adiacenti in mischia con i suoi zoccoli, infliggendo $s1 danni da natura.",3,0,0,8,132368
125,Furia Stravolta,"Il Recuperatore colpisce un nemico casuale, infliggendo $s1 danni da natura e riducendone i danni inflitti del 50% per 1 turno.",3,1,0,8,132155
126,Cure Possessive,"Il Curatore del Boschetto usa la propria conoscenza della magia, curando gli alleati della prima linea di $s1.",3,1,0,8,136044
127,Boccone,"Il Gormino assaggia tutti i nemici in mischia, infliggendo $s1 danni da natura.",4,1,0,8,1392547
128,Rigurgito,"Il Gormino vomita un flusso acido contro tutti i nemici distanti, infliggendo $s1 danni da natura.",5,1,0,8,136007
129,Ordine della Regina,"La Regina ordina ai suoi servitori di fare di meglio, curandoli di $s1 e aumentandone i danni inflitti del $s2% per 1 turno.",5,1,0,8,132176
130,Carapace Spinoso,"Il Gormino crea uno scudo spinoso, infliggendo $s1 danni da natura a chiunque lo colpisca per 3 turni.",4,3,0,8,415052
131,Corna Arcane,"Dalle corna del Cervo delle Rune vengono scagliati dardi arcani, che infliggono $s1 danni da arcano a tutti i nemici distanti.",3,0,0,64,236205
