ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"Incursione Palazzo Eterno|n|cFFFFD200Combina:|r Reliquiario Acqueo|n|cFFFFD200Bottino:|r Radiosità di Azshara, Corte della Regina o Regina Azshara",,2,1,293019,294668,293019,294668
6,"Incursione Palazzo Eterno|n|cFFFFD200Combina:|r Reliquiario Acqueo|n|cFFFFD200Bottino:|r Radiosità di Azshara, Corte della Regina o Regina Azshara",,2,2,294653,294687,298080,298082
7,"Incursione Palazzo Eterno|n|cFFFFD200Combina:|r Reliquiario Acqueo|n|cFFFFD200Bottino:|r Radiosità di Azshara, Corte della Regina o Regina Azshara",,2,3,294650,294688,298081,298083
8,Incursione Palazzo Eterno|n|cFFFFD200Bottino:|r Regina Azshara - Mitica,,2,4,294655,294689,298081,298083
9,"Campi di Battaglia|n|cFFFFD200Missione:|r ""Assaltare i campi di battaglia""|n|cFFFFD200PNG di consegna:|r Maresciallo Gabriel|n|cFFFFD200Zona:|r Porto dei Bracescura, Boralus","Campi di Battaglia|n|cFFFFD200Missione:|r ""Assaltare i campi di battaglia""|n|cFFFFD200PNG di consegna:|r Xander Silberman|n|cFFFFD200Zona:|r Mugambala",3,1,293031,294910,293031,294910
10,"Campi di Battaglia|n|cFFFFD200Impresa:|r ""Rissaiolo da battaglia""|n|cFFFFD200Mercante:|r Maresciallo Gabriel|n|cFFFFD200Zona:|r Porto dei Bracescura, Boralus|n|cFFFFD200Costo:|r 25 Contrassegni d'Onore","Campi di Battaglia|n|cFFFFD200Impresa:|r ""Rissaiolo da battaglia""|n|cFFFFD200Mercante:|r Xander Silberman|n|cFFFFD200Zona:|r Mugambala|n|cFFFFD200Costo:|r 25 Contrassegni d'Onore",3,2,294906,294919,300009,300012
11,"Campi di Battaglia|n|cFFFFD200Impresa:|r ""Stratega del Campo di Battaglia""|n|cFFFFD200Mercante:|r Maresciallo Gabriel|n|cFFFFD200Zona:|r Porto dei Bracescura, Boralus|n|cFFFFD200Costo:|r 20 Contrassegni d'Onore","Campi di Battaglia|n|cFFFFD200Impresa:|r ""Stratega del Campo di Battaglia""|n|cFFFFD200Mercante:|r Xander Silberman|n|cFFFFD200Zona:|r Mugambala|n|cFFFFD200Costo:|r 20 Contrassegni d'Onore",3,3,294907,294920,300010,300013
12,"Campi di Battaglia|n|cFFFFD200Impresa:|r ""Maestro da battaglia""|n|cFFFFD200Mercante:|r Maresciallo Gabriel|n|cFFFFD200Zona:|r Porto dei Bracescura, Boralus","Campi di Battaglia|n|cFFFFD200Impresa:|r ""Maestro da battaglia""|n|cFFFFD200Mercante:|r Xander Silberman|n|cFFFFD200Zona:|r Mugambala",3,4,294908,294922,300010,300013
13,"Scorrerie sulle Isole|n|cFFFFD200Missione:|r ""Azerite per l'Alleanza""|n|cFFFFD200PNG di consegna:|r Flynn Ventofermo|n|cFFFFD200Zona:|r Porto di Boralus|n","Scorrerie sulle Isole|n|cFFFFD200Missione:|r ""Azerite per l'Orda""|n|cFFFFD200PNG di consegna:|r Capitano Rez'okun|n|cFFFFD200Zona:|r Porto di Zandalar",4,1,295186,295078,295186,295078
14,"Scorrerie sulle Isole|n|cFFFFD200Combina:|r Frammenti della Mappa del Tesoro Perduto di Zem'lan|cFFFFD200Bottino:|r Scorrerie sulle Isole|n|cFFFFD200Tavolo delle Missioni:|r ""Tesoro perduto del Re dei Pirati""|n|cFFFFD200Zona:|r Porto di Boralus","Scorrerie sulle Isole|n|cFFFFD200Combina:|r Frammenti della Mappa del Tesoro Perduto di Zem'lan|cFFFFD200Bottino:|r Scorrerie sulle Isole|n|cFFFFD200Tavolo delle Missioni:|r ""Tesoro perduto del Re dei Pirati""|n|cFFFFD200Zona:|r Porto di Zandalar",4,2,295209,295208,298628,298627
15,"Scorrerie sulle Isole|n|cFFFFD200Ottieni:|r Rapporti Informativi sulla Vena del Mondo|n|cFFFFD200Ricompensa:|r ""Azerite per l'Alleanza""|n|cFFFFD200PNG di consegna:|r Flynn Ventofermo|n|cFFFFD200Tavolo delle Missioni:|r ""A caccia della Vena del Mondo""|n|cFFFFD200Zona:|r Porto di Boralus","Scorrerie sulle Isole|n|cFFFFD200Ottieni:|r Rapporti Informativi sulla Vena del Mondo|n|cFFFFD200Ricompensa:|r ""Azerite per l'Alleanza""|n|cFFFFD200PNG di consegna:|r Capitano Rez'okun|n|cFFFFD200Tavolo delle Missioni:|r ""A caccia della Vena del Mondo""|n|cFFFFD200Zona:|r Porto di Zandalar",4,3,295160,295165,299334,299333
16,"Scorrerie sulle Isole|n|cFFFFD200Missione:|r ""Azerite Per l'Alleanza""|n|cFFFFD200PNG di consegna:|r Flynn Ventofermo|n|cFFFFD200Tavolo delle Missioni:|r ""L'Ultima Vena del Mondo""|n|cFFFFD200Zona:|r Porto di Boralus|n","Scorrerie sulle Isole|n|cFFFFD200Missione:|r ""Azerite Per l'Orda""|n|cFFFFD200PNG di consegna:|r Capitano Rez'okun|n|cFFFFD200Tavolo delle Missioni:|r ""L'Ultima Vena del Mondo""|n|cFFFFD200Zona:|r Porto di Zandalar",4,4,295210,295166,299334,299333
17,Spedizioni Mitiche|n|cFFFFD200Combina:|r Anima della Vita Concentrata|n|cFFFFD200Bottino:|r Boss finali delle spedizioni,,5,1,295258,295246,295258,295246
18,Spedizioni Mitiche|n|cFFFFD200Combina:|r Anima della Vita Concentrata|n|cFFFFD200Bottino:|r Boss finali delle spedizioni,,5,2,295262,295251,299336,299335
19,Spedizioni Mitiche|n|cFFFFD200Combina:|r Anima della Vita Concentrata|n|cFFFFD200Bottino:|r Boss finali delle spedizioni,,5,3,295263,295252,299338,299337
20,"Spedizioni Mitiche+|n|cFFFFD200Stagione:|r 3 o successiva|n|cFFFFD200Impresa:|r ""Maestro delle Chiavi di Battle for Azeroth""|n|cFFFFD200Mercante:|r Taumaturgo Vashreen|n|cFFFFD200Zona:|r Mercato di Ventosaldo a Boralus","Spedizioni Mitiche+|n|cFFFFD200Stagione:|r 3 o successiva|n|cFFFFD200Impresa:|r ""Maestro delle Chiavi di Battle for Azeroth""|n|cFFFFD200Mercante:|r Taumaturgo Vashreen|n|cFFFFD200Zona:|r Gran Bazar a Dazar'alor",5,4,295264,295253,299338,299337
21,Spedizioni Mitiche|n|cFFFFD200Combina:|r Anima della Vita Concentrata|n|cFFFFD200Bottino:|r Boss finali delle spedizioni,,7,1,294926,294964,294926,294964
22,Spedizioni Mitiche|n|cFFFFD200Combina:|r Anima della Vita Concentrata|n|cFFFFD200Bottino:|r Boss finali delle spedizioni,,7,2,295307,294970,300002,300004
23,"Spedizioni Mitiche+|n|cFFFFD200Stagione:|r 3 o successiva|n|cFFFFD200Impresa:|r ""Maestro delle Chiavi di Battle for Azeroth""|n|cFFFFD200Mercante:|r Taumaturgo Vashreen|n|cFFFFD200Zona:|r Mercato di Ventosaldo a Boralus","Spedizioni Mitiche+|n|cFFFFD200Stagione:|r 3 o successiva|n|cFFFFD200Impresa:|r ""Maestro delle Chiavi di Battle for Azeroth""|n|cFFFFD200Mercante:|r Taumaturgo Vashreen|n|cFFFFD200Zona:|r Gran Bazar a Dazar'alor",7,4,295306,294972,300003,300005
24,Spedizioni Mitiche|n|cFFFFD200Combina:|r Anima della Vita Concentrata|n|cFFFFD200Bottino:|r Boss finali delle spedizioni,,7,3,294945,294969,300003,300005
29,Meccagon|n|cFFFFD200Reputazione:|r Resistenza di Bullonaccio - Amichevole|n|cFFFFD200Mercante:|r Venditore Robotico Reale Rubato|n|cFFFFD200Zona:|r Bullonaccio|n|cFFFFD200Costo:|r 1 Oscillatore Galvanico e 2 Casse dei Pezzi di Ricambio,,6,1,295337,295293,295337,295293
30,Meccagon|n|cFFFFD200Reputazione:|r Resistenza di Bullonaccio - Onorato|n|cFFFFD200Mercante:|r Venditore Robotico Reale Rubato|n|cFFFFD200Zona:|r Bullonaccio|n|cFFFFD200Costo:|r 5 Oscillatori Galvanici e 10 Casse dei Pezzi di Ricambio,,6,2,295364,295363,299345,299343
31,Meccagon|n|cFFFFD200Reputazione:|r Resistenza di Bullonaccio - Riverito|n|cFFFFD200Mercante:|r Venditore Robotico Reale Rubato|n|cFFFFD200Zona:|r Bullonaccio|n|cFFFFD200Costo:|r 8 Oscillatori Galvanici e 20 Casse dei Pezzi di Ricambio,,6,3,295352,295351,299347,299346
32,Meccagon|n|cFFFFD200Reputazione:|r Rifornimenti di Bullonaccio|n|cFFFFD200Mercante:|r Venditore Robotico Reale Rubato|n|cFFFFD200Zona:|r Bullonaccio,,6,4,295358,295333,299347,299346
45,"Aspetti dei Draghi|n|cFFFFD200Missione:|r ""La M.A.D.R.E. sa sempre cos'è meglio""|n|cFFFFD200Committente:|r Magni Barbabronzea|n|cFFFFD200Zona:|r Sala del Cuore",,12,1,295373,295365,295373,295365
46,"Aspetti dei Draghi|n|cFFFFD200Livello del Cuore:|r 54|n|cFFFFD200Missione:|r ""Nell'oscurità, io sogno""|n|cFFFFD200Committente:|r Kalec|n|cFFFFD200Zona:|r Sala del Cuore",,12,2,295377,295372,299349,299348
47,"Aspetti dei Draghi|n|cFFFFD200Livello del Cuore:|r 60|n|cFFFFD200Missione:|r ""Indagine nelle alture""|n|cFFFFD200Committente:|r Kalec|n|cFFFFD200Zona:|r Sala del Cuore",,12,3,295379,295369,299353,299350
48,"Aspetti dei Draghi|n|cFFFFD200Livello del Cuore:|r 70|n|cFFFFD200Missione:|r ""Un lampo nel blu""|n|cFFFFD200Committente:|r Kalec|n|cFFFFD200Zona:|r Sala del Cuore",,12,4,295380,295381,299353,299350
49,Meccagon|n|cFFFFD200Reputazione:|r Resistenza di Bullonaccio - Amichevole|n|cFFFFD200Mercante:|r Venditore Robotico Reale Rubato|n|cFFFFD200Zona:|r Bullonaccio|n|cFFFFD200Costo:|r 1 Oscillatore Galvanico e 2 Casse dei Pezzi di Ricambio,,13,1,295746,295750,295746,295750
50,Meccagon|n|cFFFFD200Reputazione:|r Resistenza di Bullonaccio - Onorato|n|cFFFFD200Mercante:|r Venditore Robotico Reale Rubato|n|cFFFFD200Zona:|r Bullonaccio|n|cFFFFD200Costo:|r 5 Oscillatori Galvanici e 10 Casse dei Pezzi di Ricambio,,13,2,295747,295844,300015,300018
