Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID,CovenantID
,,2,61892,0,132332,4,49,-1,6,7,0
Il centro logico dello Scoiattolo Meccanico gli dice di raccogliere noci e bulloni per l'inverno.,|cFFFFD200Professione: |rIngegneria,39,2671,4055,656559,9,2,3,6,7,0
"Donni Anthania vorrebbe avere un gatto nero al suo fianco nella tomba, quando morirà. Tuttavia, un avventuriero potrebbe sicuramente trovare un migliore utilizzo per le abilità di questo micio.",|cFFFFD200Mercante: |rDonni Anthania|n|cFFFFD200Zona: |rForesta di Elwynn|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,40,7385,10673,656575,7,2,2,6,7,0
"Donni Anthania invita spesso questi gatti a bere il tè con lei, ma non serve mai la loro bevanda preferita: le lacrime dei loro nemici.",|cFFFFD200Mercante: |rDonni Anthania|n|cFFFFD200Zona: |rForesta di Elwynn|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,41,7384,10674,656577,7,2,2,6,7,0
"Secondo un vecchio detto di Alterac: ""Un gatto ha sette vite, ma gliene serve solo una..."".",|cFFFFD200Bottino: |rBottino mondiale|n|cFFFFD200Zona: |rAlture di Colletorto,42,7383,10675,656574,7,2,0,6,7,0
L'ultima persona che ha tentato di scacciare da casa questo gatto ha capito ben presto che è meglio un tappeto rovinato di un'intera casa (proprietario compreso) presa a unghiate.,"|cFFFFD200Mercante: |rDonni Anthania, Steven Lisbane|n|cFFFFD200Zona: |rForesta di Elwynn|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",43,7382,10676,656578,7,2,2,6,7,0
"Noto per i suoi occhi blu, è anche considerato una prelibatezza dai Murloc giganti.",|cFFFFD200Mercante: |rFornitore Rashaad|n|cFFFFD200Zona: |rLanda Fatua|n|cFFFFD200Costo: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,44,7380,10677,656579,7,2,2,6,7,0
Dormire è la seconda attività preferita di questo felino. La prima è sbadigliare.,|cFFFFD200Mercante: |rDonni Anthania|n|cFFFFD200Zona: |rForesta di Elwynn|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,45,7381,10678,656580,7,2,2,6,7,0
"La regina aveva tre gattini. Il primo le portò un ratto, il secondo una lepre e quello bianco, il suo preferito, le portò la testa della sua rivale.",|cFFFFD200Mercante: |rPiccolo Timmy|n|cFFFFD200Zona: |rRoccavento|n|cFFFFD200Costo: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,46,7386,10679,656581,7,2,2,6,7,0
Alcuni dicono che a questo vispo volatile si potrebbe insegnare a parlare... ma è talmente intelligente da tenere il becco chiuso.,"|cFFFFD200Mercante: |rHarry Uncino, Narkk|n|cFFFFD200Zona: |rCapo di Rovotorto|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",47,7390,10680,132921,2,2,2,6,7,0
"I Troll delle Giungle addestrano questi volatili a riprodurre urla di richieste d'aiuto, in modo da attirare in trappola gli ignari viaggiatori di passaggio.","|cFFFFD200Bottino: |rBottino mondiale|n|cFFFFD200Zona: |rRovotorto Settentrionale, Capo di Rovotorto",49,7391,10682,132921,2,2,0,6,7,0
"Animale preferito dei pirati dei Defias, questo volatile colorato è molto bravo a ricordare codici segreti, liste della spesa e ricette per preparare ottimi cracker.",|cFFFFD200Bottino: |rPirata dei Defias|n|cFFFFD200Zona: |rMiniere della Morte,50,7387,10683,132925,2,2,0,6,7,0
"Animale preferito dei Goblin della Baia del Bottino, questo colorato volatile è noto per la sua abilità nel conteggio delle monete, nella programmazione dei bilanci e nelle trattative d'affari.","|cFFFFD200Mercante: |rNarkk, Harry Uncino|n|cFFFFD200Zona: |rCapo di Rovotorto|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Mercante: |rFornitore Rashaad|n|cFFFFD200Zona: |rLanda Fatua|n|cFFFFD200Costo: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",51,7389,10684,132924,2,2,2,6,7,0
Ti crede un pollo.,"|cFFFFD200Mercante: |rJohnson ""l'Impavido""|n|cFFFFD200Zona: |rMillepicchi|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",52,7394,10685,135996,2,2,2,6,7,0
"Di solito lo scarafaggio si compra per un impulso del momento, e in seguito è molto difficile separarsene.",|cFFFFD200Mercante: |rFornitore Rashaad|n|cFFFFD200Zona: |rLanda Fatua|n|cFFFFD200Costo: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Mercante: |rJeremiah Payson|n|cFFFFD200Zona: |rRadure di Tirisfal|n|cFFFFD200Costo: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,55,7395,10688,294474,4,2,2,6,7,0
"Non vede l'ora di crescere per distruggere interi villaggi, proprio come sua mamma.","|cFFFFD200Bottino: |rDraghetti|n|cFFFFD200Zona: |rPaludi Grigie, Acquemorte, Maleterre, Steppe Ardenti",56,7543,10695,134154,1,2,0,6,7,0
"Come altri esemplari dello Stormo dei Draghi Blu, questi piccoli animali hanno una particolare affinità con la magia arcana.",|cFFFFD200Bottino: |rBottino mondiale|n|cFFFFD200Zona: |rFontefredda,57,7547,10696,134155,1,2,0,6,7,0
"Nato nelle Paludi Grigie, questo giovane drago sta imparando a cacciare, sputare fuoco e lanciare assalti distruttivi.",|cFFFFD200Bottino: |rBottino mondiale|n|cFFFFD200Zona: |rPaludi Grigie,58,7544,10697,134158,1,2,0,6,7,0
"Un tempo allevate dal Dragone Verde Itharius, queste creature ora vivono nelle giungle di Feralas.",|cFFFFD200Bottino: |rDraghetto Venefico|n|cFFFFD200Zona: |rFeralas,59,7545,10698,134157,1,2,0,6,7,0
I mercanti della Fiera di Lunacupa vendono strane creature esotiche... E persino le Rane del Legno.,|cFFFFD200Mercante: |rFlik|n|cFFFFD200Zona: |rIsola di Lunacupa|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,64,7550,10703,237579,8,2,2,6,7,0
Conosciuta per le sue zampe potenti e la vista acuta.,|cFFFFD200Mercante: |rFlik|n|cFFFFD200Zona: |rIsola di Lunacupa|n|cFFFFD200Costo: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,65,7549,10704,237579,8,2,2,6,7,0
Questi rapaci dalle piume scure si possono spesso trovare come compagni portatori di morte tra i Druidi di Teldrassil.,|cFFFFD200Mercante: |rShylenai|n|cFFFFD200Zona: |rTeldrassil|n|cFFFFD200Costo: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,67,7555,10706,132150,2,2,2,6,7,0
