ID,Description_lang,Field_11_2_5_62687_001_lang
1,Membro del gruppo,
2,Membro dell'incursione,
3,Commercio,Commercio
4,Sussurro,Sussurro
5,Ordine pubblico completato da loro,Completato il tuo Ordine d'Artigianato pubblico
6,Ordine pubblico completato da te,Completato il suo Ordine d'Artigianato pubblico
7,Ordine personale completato da loro,Completato il tuo Ordine d'Artigianato
8,Ordine personale completato da te,Completato il suo Ordine d'Artigianato
9,Ordine di gilda completato da loro,Completato il tuo Ordine d'Artigianato
10,Ordine di gilda completato da te,Completato il suo Ordine d'Artigianato
11,Creatura uccisa,Avete combattuto insieme
12,Completa spedizione,Avete completato una spedizione insieme
13,Uccidi boss d'incursione,Avete fatto un'incursione insieme
14,Uccidi boss RI,Avete fatto un'incursione insieme
15,Completa Scorribanda,Avete completato una Scorribanda insieme
16,Completa arena,Avete combattuto in arena insieme
17,Completa campo di battaglia,Avete combattuto in un campo di battaglia insieme
18,Duello,Duello
19,Scontro tra mascotte,Scontro tra mascotte
20,Uccisione in PvP,Avete combattuto in PvP insieme
