ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,Combattimento,RogueCombat,$GUn:Una; tagliagole che sfrutta l'agilità e l'ingegno per affrontare faccia a faccia i nemici.,1,0,8,0,0,8,76806,0
182,Assassinio,RogueAssassination,"$GUn maestro:Una maestra; nell'uso di veleni, capace di annientare i nemici con rapidi colpi di pugnale.",0,0,8,0,0,8,76803,0
183,Scaltrezza,RogueSubtlety,$GUn oscuro predatore:Un'oscura predatrice; che esce dall'ombra per assalire le ignare prede.,2,0,8,0,0,8,76808,0
261,Elementale,ShamanElementalCombat,$GUn esperto:Un'esperta; di magia capace di sfruttare le forze distruttive della natura e degli elementi.,0,0,64,0,0,8,77222,0
262,Rigenerazione,ShamanRestoration,$GUn guaritore:Una guaritrice; che cura le ferite con l'aiuto degli spiriti ancestrali e col potere dell'acqua.,2,0,64,0,0,4,77226,0
263,Potenziamento,ShamanEnhancement,$GUn guerriero totemico:Una guerriera totemica; che colpisce i nemici con armi cariche di energia elementale.,1,0,64,0,0,8,77223,0
398,Sangue,DeathKnightBlood,$GUn guardiano oscuro:Una guardiana oscura; capace di manipolare e corrompere l'energia vitale per sostenersi di fronte agli attacchi del nemico.,0,0,32,0,0,2,77513,0
399,Gelo,DeathKnightFrost,$GUn gelido:Una gelida; combattente $gspecializzato:specializzata; nel convogliare la potenza runica e nell'eseguire rapidi attacchi con l'arma.,1,0,32,0,0,8,77514,0
400,Empietà,DeathKnightUnholy,"$GUn maestro:Una Maestra; della morte e della distruzione, capace di diffondere infezioni e controllare servi non morti.",2,0,32,0,0,8,77515,0
409,Tenacia,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,Disciplina,PriestDiscipline,"Un araldo della fede, $gesperto:esperta; nel plasmare scudi protettivi e curare le ferite degli alleati.",0,0,16,0,0,4,77484,0
795,Ombra,PriestShadow,"$GUn maestro:Una maestra; dell'ombra, in grado di affliggere i suoi nemici con incantesimi che infliggono danni nel tempo.",2,0,16,0,0,8,77486,0
807,Precisione di Tiro,HunterMarksmanship,$GUn tiratore scelto specializzato:Una tiratrice scelta specializzata; nel sopprimere i nemici a distanza.,1,0,4,0,0,8,76659,0
809,Sopravvivenza,HunterSurvival,"$GUn rude esploratore esperto:Una rude esploratrice esperta; nell'uso di veleni animali, esplosivi e trappole.",2,0,4,0,0,8,76658,0
811,Affinità Animale,HunterBeastMastery,$GUn maestro:Una maestra; della natura capace di addomesticare una grande varietà di animali per $gaiutarlo:aiutarla; in combattimento.,0,0,4,0,0,8,76657,0
813,Sacro,PriestHoly,Un devoto guaritore capace di curare i danni subiti dagli alleati e aiutare perfino dall'oltretomba.,1,0,16,0,0,4,77485,0
865,Distruzione,WarlockDestruction,"$GUn emissario:Un'emissaria; infernale, $gspecializzato:specializzata; in attacchi concentrati atti a bruciare e annientare gli avversari.",2,0,256,0,0,8,77220,0
867,Demonologia,WarlockSummoning,$GUno stregone:Una strega; capace di trasformarsi in demone e di evocarne uno per $Gaiutarlo:aiutarla; in combattimento.,1,0,256,0,0,8,77219,0
871,Afflizione,WarlockCurses,"$GUn maestro:Una maestra; della magia dell'ombra $gspecializzato:specializzata; nell'incutere paura, risucchiare energia e causare danni nel tempo.",0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
