Name_lang,ID,MinRating,MaxRating,PrevTier,NextTier,BracketID,Rank,RankIcon
2x2 - 1 - Sem Ranque,1,0,1000,0,2,0,0,2023043
2x2 - 2 - Combatente I,2,975,1200,1,206,0,1,2023045
2x2 - 4 - Desafiante I,3,1375,1600,206,207,0,2,2023047
2x2 - 6 - Rival I,4,1775,1950,207,208,0,3,2023049
2x2 - 8 - Duelista,5,2075,2400,208,6,0,4,2023051
2x2 - 9 - Elite,6,2375,0,5,0,0,5,2023053
3x3 - 1 - Sem Ranque,8,0,1000,0,9,1,0,2023043
3x3 - 2 - Combatente I,9,975,1200,8,209,1,1,2023045
3x3 - 4 - Desafiante I,11,1375,1600,209,210,1,2,2023047
3x3 - 6 - Rival I,12,1775,1950,210,211,1,3,2023049
3x3 - 8 - Duelista,13,2075,2400,211,14,1,4,2023051
3x3 - 9 - Elite,14,2375,0,13,0,1,5,2023053
CBR - 1 - Sem Ranque,16,0,1000,0,17,3,0,2023043
CBR - 2 - Combatente I,17,975,1200,16,212,3,1,2023045
CBR - 4 - Desafiante I,18,1375,1600,212,213,3,2,2023047
CBR - 6 - Rival I,19,1775,1950,213,214,3,3,2023049
CBR - 8 - Duelista,20,2075,2400,214,21,3,4,2023051
CBR - 9 - Elite,21,2375,0,20,0,3,5,2023053
2x2 - 3 - Combatente II,206,1175,1400,2,3,0,6,2023045
2x2 - 5 - Desafiante II,207,1575,1800,3,4,0,7,2023047
2x2 - 7 - Rival II,208,1925,2100,4,5,0,8,2023049
3x3 - 3 - Combatente II,209,1175,1400,9,11,1,6,2023045
3x3 - 5 - Desafiante II,210,1575,1800,11,12,1,7,2023047
3x3 - 7 - Rival II,211,1925,2100,12,13,1,8,2023049
CBR - 3 - Combatente II,212,1175,1400,17,18,3,6,2023045
CBR - 5 - Desafiante II,213,1575,1800,18,19,3,7,2023047
CBR - 7 - Rival II,214,1925,2100,19,20,3,8,2023049
Solo Mix - 9 - Elite,303,2375,0,304,0,6,5,2023053
Solo Mix - 8 - Duelista,304,2075,2400,305,303,6,4,2023051
Solo Mix - 7 - Rival II,305,1925,2100,306,304,6,8,2023049
Solo Mix - 6 - Rival I,306,1775,1950,307,305,6,3,2023049
Solo Mix - 5 - Desafiante II,307,1575,1800,309,306,6,7,2023047
Solo Mix - 4 - Desafiante I,309,1375,1600,310,307,6,2,2023047
Solo Mix - 3 - Combatente II,310,1175,1400,311,309,6,6,2023045
Solo Mix - 2 - Combatente I,311,975,1200,312,310,6,1,2023045
Solo Mix - 1 - Sem Ranque,312,0,1000,0,311,6,0,2023043
Solo RBG - 1 - Unranked,383,0,1000,0,384,8,0,2023043
Solo RBG - 2 - Combatant I,384,975,1200,383,385,8,1,2023045
Solo RBG - 3 - Combatant II,385,1175,1400,384,386,8,6,2023045
Solo RBG - 4 - Challenger I,386,1375,1600,385,387,8,2,2023047
Solo RBG - 5 - Challenger II,387,1575,1800,386,391,8,7,2023047
Solo RBG - 9 - Elite,388,2375,0,389,0,8,5,2023053
Solo RBG - 8 - Duelist,389,2075,2400,390,388,8,4,2023051
Solo RBG - 7 - Rival II,390,1925,2100,391,389,8,8,2023049
Solo RBG - 6 - Rival I,391,1775,1950,387,390,8,3,2023049
