ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,Mina Vailafundo,139,38,1,0
486,Minas Inferiores,139,39,2,0
487,Pico da Rocha Negra,140,33,14,0
488,Caverna Rocha Negra,140,34,15,0
489,Abismo Rocha Negra,140,35,16,0
490,Porão do Senhorio,141,44,23,0
491,Porão Inferior,141,45,24,0
492,Orgrimmar,142,85,0,0
493,Antro das Sombras,142,86,1,0
496,Gruta Malévola,144,67,21,0
497,Caverna Esporelama,144,68,22,0
498,Bastilha Tiragarde,145,3,10,0
499,Grande Salão,145,4,11,0
500,Covil Superior,146,60,4,0
501,Covil Inferior,146,61,5,0
502,Pátio,147,310,1,0
503,Refeitório,147,311,2,0
504,O Covil Vazio,147,312,3,0
505,Observatório Inferior,147,313,4,0
506,Observatório Superior,147,314,5,0
507,Câmara do Lorde Godfrey,147,315,6,0
508,Caminho da Ronda,147,316,7,0
509,Minas Mortas,148,291,1,0
510,Covil Encouraçado,148,292,2,0
511,O Poço de Ask'Ar,149,221,1,0
512,Sacrário Lunar,149,222,2,0
513,Charcos Esquecidos,149,223,3,0
514,Salão dos Guardiões,150,230,1,0
515,Trono de Khaz'Goroth,150,231,2,0
516,Salão das Engrenagens,151,226,1,0
517,Alojamentos,151,227,2,0
518,Baia de Lançamento,151,228,3,0
519,Paço dos Faz-tudo,151,229,4,0
520,Cemitério,152,302,0,0
521,Biblioteca,152,303,1,0
522,Armaria,152,304,2,0
523,Catedral,152,305,3,0
524,Tazz'Alor,153,250,1,0
525,Túneis Tremeteia,153,251,2,0
526,Hordamar,153,252,3,0
527,Salão do Mão Negra,153,253,4,0
528,Covil de Halycon,153,254,5,0
529,Câmara de Batalha,153,255,6,0
530,Bloco de Detenção,154,242,1,0
531,Cidade de Umbraforja,154,243,2,0
532,Relicário,155,306,1,0
533,Câmara de Evocação,155,307,2,0
534,Gabinete Superior,155,308,3,0
535,Gabinete do Diretor,155,309,4,0
536,Quadra do Cruzado,156,317,1,0
537,Forquilha,156,318,2,0
538,Cavernas de Maraudon,157,280,1,0
539,Túmulo de Zaetar,157,281,2,0
540,Metrô Correfundo,158,499,1,0
541,Bar Brigalhada do Bizmo,158,500,2,0
542,Pátio Gordok,159,235,1,0
543,Jardins Capitais,159,236,2,0
544,A Corte dos Altaneiros,159,237,3,0
545,Prisão de Immol'thar,159,238,4,0
546,Distrito Lenhatorta,159,239,5,0
547,Altar de Eldretharr,159,240,6,0
548,Guarnição Presa do Dragão,160,287,1,0
549,Salões da Contenda,160,288,2,0
550,Laboratórios Rubros,160,289,3,0
551,Covil de Nefarian,160,290,4,0
552,A Colmeia Subterrânea,161,319,1,0
553,Portões do Templo,161,320,2,0
554,Abóbada de C'Thun,161,321,3,0
555,Área dos Serviçais,162,350,1,0
556,Estábulos de Alto Nível,162,351,2,0
557,O Salão de Banquete,162,352,3,0
558,Aposentos de Hóspedes,162,353,4,0
559,Sacada do Salão de Ópera,162,354,5,0
560,Terraço do Mestre,162,355,6,0
561,A Escadaria Partida Inferior,162,356,7,0
562,A Escadaria Partida Superior,162,357,8,0
563,O Viveiro,162,358,9,0
564,Biblioteca do Guardião,162,359,10,0
565,O Repositório,162,360,11,0
566,Biblioteca Superior,162,361,12,0
567,A Vigília Celestial,162,362,13,0
568,Salão de Jogos,162,363,14,0
569,Aposentos de Medivh,162,364,15,0
570,Usina de Força,162,365,16,0
571,Eterespaço,162,366,17,0
572,O Distrito dos Constructos,163,162,1,0
573,O Distrito dos Aracnídeos,163,163,2,0
574,O Distrito Militar,163,164,3,0
575,O Distrito da Peste,163,165,4,0
576,Necrópole Inferior,163,166,5,0
577,Necrópole Superior,163,167,6,0
578,Câmara dos Vapores,164,263,1,0
579,Poços Refrescantes,164,264,2,0
580,Quadra de Estase: Trion,165,269,1,0
581,Quadra de Estase: Maximus,165,270,2,0
582,Núcleo de Contenção,165,271,3,0
583,Mecanar,166,267,1,0
584,Câmara dos Cálculos,166,268,2,0
585,Véu Sethekk,167,258,1,0
586,Salões da Lamentação,167,259,2,0
587,Salões do Porvir,168,256,1,0
588,Ponte das Almas,168,257,2,0
589,Esgotos de Karabor,169,340,0,0
590,Templo Negro,169,339,1,0
591,Santuário das Sombras,169,341,2,0
592,Salões da Angústia,169,342,3,0
593,Vigia do Sanguinávido,169,343,4,0
594,Covil dos Prazeres Mortais,169,344,5,0
595,Câmara de Comando,169,345,6,0
596,Ápice do Templo,169,346,7,0
597,Dalaran,170,125,1,0
598,Os Esgotos,170,126,2,0
599,Preparação Njorndir,171,133,1,0
600,Encosta Esfola-dragão,171,134,2,0
601,Terraço de Tyr,171,135,3,0
602,Pináculo Inferior,172,136,1,0
603,Pináculo Superior,172,137,2,0
604,Faixa de Alternância,173,143,1,0
605,Faixa de Aceleração,173,144,2,0
606,Faixa de Transmutação,173,145,3,0
607,Faixa de Alinhamento,173,146,4,0
608,Platô da Nascente do Sol,174,335,0,0
609,Santuário do Eclipse,174,336,1,0
610,Asilo do Grão-magíster,175,348,1,0
611,Campos de Observação,175,349,2,0
612,Expurgo de Stratholme,176,130,0,0
613,Stratholme,176,131,1,0
614,Os Saguões de Drak'Tharon,177,160,1,0
615,Mirante Drak'Tharon,177,161,2,0
616,Fosso da Ninhada,178,157,1,0
617,Covil de Hadronox,178,158,2,0
618,Portão Dourado,178,159,3,0
619,Guarnição Obstinada,179,138,1,0
620,Caminho dos Criadores,179,139,2,0
621,Ulduar,180,147,0,0
622,Antecâmara de Ulduar,180,148,1,0
623,Sanctum Sanctorum de Ulduar,180,149,2,0
624,Prisão de Yogg-Saron,180,150,3,0
625,Centelha da Imaginação,180,151,4,0
626,Olho da Mente,180,152,5,0
627,Cidadela Inferior,181,186,1,0
628,Paliçada de Crânios,181,187,2,0
629,Alto do Carrasco,181,188,3,0
630,Covil da Rainha Gélida,181,189,4,0
631,Recônditos Superiores,181,190,5,0
632,Alojamentos Reais,181,191,6,0
633,O Trono de Gelo,181,192,7,0
634,Gélido Lamento,181,193,8,0
635,Salões Abissais,182,322,1,0
636,Trono de Neptulon,182,323,2,0
637,Cripta das Luzes,183,297,1,0
638,Tumba do Furitérreo,183,298,2,0
639,Os Quatro Tronos,183,299,3,0
640,Câmara de Incineração,184,283,1,0
641,Forja do Crepúsculo,184,284,2,0
642,Piso 1,185,208,1,0
643,Piso 2,185,209,2,0
644,Túneis da Mina,186,177,3,0
645,Poço da Mina,186,178,4,0
646,O Coliseu Argênteo,187,172,1,0
647,Profundezas Geladas,187,173,2,0
648,Andar Principal,188,181,2,0
649,Andar Superior,188,182,3,0
650,Salão Partido,189,285,1,0
651,Abóbada da Chama Sombria,189,286,2,0
652,Enclave do Crepúsculo,190,294,1,0
653,Trono do Apocalipse,190,295,2,0
654,Caverna do Crepúsculo,190,296,3,0
655,Terras do Fogo,191,367,0,0
656,A Bigorna da Conflagração,191,368,1,0
657,Fortaleza de Sulfuron,191,369,2,0
658,Salão da Lua Crescente,192,391,1,0
659,A Imperial Mercantil,192,392,2,0
660,Passo do Imperador,193,393,3,0
661,Comércio Imperial,193,394,4,0
662,Pedreira Superior,194,372,6,0
663,Pedreira Inferior,194,373,7,0
664,Profundeza Superior,195,383,11,0
665,Profundeza Inferior,195,384,12,0
666,Salões de Guo-Lai,196,395,18,0
667,Salão da Serpente,196,396,19,0
668,Ruínas de Korune,197,386,20,0
669,Cripta de Korune,197,387,21,0
670,Fim dos Tempos,198,401,0,0
671,Santuário Dragônico Lazúli,198,402,1,0
672,Santuário Dragônico Rubi,198,403,2,0
673,Santuário Dragônico Obsidiano,198,404,3,0
674,Santuário Dragônico Esmeralda,198,405,4,0
675,Santuário Dragônico Bronze,198,406,5,0
676,Hora do Crepúsculo,199,399,0,0
677,Templo do Repouso das Serpes,199,400,1,0
678,Monastério Shado-Pan,200,443,0,0
679,Dojo Golpe da Nuvem,200,444,1,0
680,Dojo Monte de Neve,200,445,2,0
681,Câmaras Seladas,200,446,3,0
682,Templo da Serpente de Jade,201,429,1,0
683,Sacrário do Guardião dos Pergaminhos,201,430,2,0
684,Celeiro de Grãos,202,439,1,0
685,Salão da Cerveja Malte do Trovão,202,440,2,0
686,A Grande Roda,202,441,3,0
687,Sala de Degustação,202,442,4,0
688,Portal do Sol Poente,203,437,1,0
689,Torre de Vigia dos Portões,203,438,2,0
690,Alma Dragônica,204,409,0,0
691,Gorja de Go'rath,204,410,1,0
692,Gorja de Shu'ma,204,411,2,0
693,Olho da Eternidade,204,412,3,0
694,Aeronau Celesfogo,204,413,4,0
695,Espinhaço do Asa da Morte,204,414,5,0
696,Voragem,204,415,6,0
697,Auditório Carmesim,205,453,1,0
698,Câmara dos Reis de Outrora,205,454,2,0
699,Trono dos Conquistadores Antigos,205,455,3,0
700,Campo de Treinamento,206,431,1,0
701,Ateneu,206,432,2,0
702,Claustro Esquecido,207,435,1,0
703,Capela do Cruzado,207,436,2,0
704,Relicário,208,476,1,0
705,Câmara de Evocação,208,477,2,0
706,Gabinete Superior,208,478,3,0
707,Gabinete do Diretor,208,479,4,0
708,Tribuna dos Conquistadores,209,471,1,0
709,O Repositório,209,472,2,0
710,Forja dos Eternos,209,473,3,0
711,Tribuna da Voz,210,474,1,0
712,Coração do Medo,210,475,2,0
713,Cerco ao Templo Niuzao,211,457,0,0
714,A Árvore Oca,211,458,1,0
715,Ringue Superior da Árvore,211,459,2,0
716,Câmara Funerária Superior,212,481,1,0
717,Profundezas da Cripta,212,482,2,0
718,Escavação da Aliança,213,419,1,0
719,Ruínas de Ogudei,213,420,2,0
720,Incursão do Relicário,213,421,3,0
721,Estatuaria Exuberante,214,508,1,0
722,Anfiteatro Real,214,509,2,0
723,Profundezas Abandonadas,214,510,3,0
724,Alcândora de Ji-Kun,214,511,4,0
