ID,Name_lang,EnumID
1,Perícia,0
2,Inspiração,1
3,Desenvoltura,2
4,Finesse,3
5,Destreza,4
6,Percepção,5
7,Velocidade de Criação,6
8,Multicriação,7
9,Unlock Reagent Slot (DNT - write manually!),8
10,Inspiração,9
11,Desenvoltura,10
12,Finesse,11
13,Destreza,12
14,Percepção,13
15,Velocidade de Criação,14
16,Multicriação,15
17,Destreza,16
18,Gather Range Rating (DNT - write manually!),17
19,additional items crafted with Multicraft (DNT - write manually!),18
20,basic reagents gathered from Finesse (DNT - write manually!),19
21,bonus Crafting Skill from Inspiration (DNT - write manually!),20
22,reagents saved from Resourcefulness (DNT - write manually!),21
23,Reduzir Dificuldade,22
24,Aumentar Dificuldade,23
25,Modificar Ganho de Perícia,24
26,Trait Ranks By Points-Modifier Label (DNT),25
27,Engenhosidade,26
28,reduce concentration cost (DNT - write manually),27
29,Dummy Effect For # Tokenization (DNT),28
30,Engenhosidade,29
31,Ingenuity Refund Increase (DNT - write manually!),30
