Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
A melhor iniciativa,Essa é a melhor,6,1,0,90931,0
Test Initiative - Not as good as the last one,Provavelmente,7,1,0,90934,1
Grande iniciativa,Talvez não seja tão boa,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
A arte da vela,Estranhos depósitos de cera começaram a surgir na vizinhança. Quem melhor para achar uma utilidade para eles do que os Kobolds do Fosso Ressonante? Peça conselhos a eles sobre iluminação.,12,0,0,91278,0
Chapinha dos grômulos,"Ter uma casa dá trabalho! Todo mundo precisa de uma ajudinha de vez em quando. Por isso, entramos em contato com os grômulos de Kun-Lai, que preparam uma bebida especial chamada kafa, capaz de colocar qualquer um de pé.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Ajuda Artística,Uma comuna artística de elfos sangrentos se refugiou na vizinhança devido ao ataque contra sua terra natal e deseja compartilhar seu talento artístico com os moradores locais.,15,0,0,91633,0
Indo Além do Possível,"Recentemente, os dracthyrs se redescobriram e escolheram o próprio caminho. Sua paixão por aprender servirá de inspiração para que os moradores da vizinhança desenvolvam novas habilidades de ofício.",16,0,0,92151,0
Mecanização Moderada,Os gnomecânicos de Gnomecan vieram ajudar a vizinhança com aprimoramentos tecnológicos.,17,0,0,92687,0
Consórcio da Consternação,O Consórcio está na vizinhança para ajudar os moradores a recuperar itens perdidos no armazenamento do Caos.,18,0,0,93941,0
Choque de Cheiros,"Os farins estão na vizinhança para ajudar com problemas de polinização. Com eles, você pode fazer a flora da vizinhança florescer.",19,0,0,94009,0
Todo bakar tem seu dia,"Os moradores da vizinhança adoram suas mascotes, mas seria ótima ter uma ajuda para treiná-las. Os Maruuk da Chapada Ohn'ahrana têm laços muito fortes com seus bakares e talvez estejam dispostos a passar algumas dicas de treinamento.",20,0,0,95174,0
Imitação de Amani,"Trambik e sua trupe de comerciantes viajantes estão visitando a vizinhança para negociar suas ""tradicionais mercadorias Amani"". Elas podem não ser genuínas, mas têm uma boa aparência.",22,0,0,95334,0
Temporada de Férias,"Os tortollanos são um povo viajado. Tão viajado, na verdade, que dispensa apresentações na vizinhança: eles já passavam as férias aqui muito antes de você criar raízes! Compartilhe da sabedoria recreativa deles.",24,0,0,96734,0
