Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
Órquico,1,0,0,0,0
Darnassiano,2,0,0,0,0
Taurahe,3,0,0,0,0
Enânico,6,0,0,0,0
Língua Comum,7,0,0,0,0
Demoníaco,8,0,0,0,0
Titânico,9,0,0,0,0
Talassiano,10,0,0,0,0
Dracônico,11,0,0,0,0
Kalimaico,12,0,0,0,0
Gnomês,13,0,0,0,0
Zandali,14,0,0,0,0
Guturalês,33,0,0,0,0
Draeneico,35,0,0,0,0
Zumbi,36,0,0,0,0
Gnomês Binário,37,0,0,0,0
Goblinês Binário,38,0,0,0,0
Guilneano,39,0,0,0,0
Goblinês,40,0,0,0,0
Pandaren,42,0,0,0,0
Pandaren,43,0,0,0,0
Pandaren,44,0,0,0,0
Duendês,168,0,0,0,0
Shath'Yar,178,0,0,0,0
Nergonês,179,0,0,0,0
Lunisquês,180,0,0,0,0
Shalassiano,181,0,0,0,0
Talassiano,182,0,0,0,0
Vulpera,285,0,0,0,0
Cifra Complexa,287,0,0,0,0
Cifra Básica,288,0,0,0,0
Metrial,290,7,5410,36,0
Altoniano,291,7,5410,36,0
Sopraniano,292,7,5410,36,0
Álico,293,7,5410,36,0
Délico,294,7,5410,36,0
Solenim,295,7,5410,36,0
Faenim,296,7,5410,36,0
Línguas Incorporadas,297,2,0,0,0
Incognoscível,298,7,5410,36,0
Pelurso,303,1,5508,36,62550
Terrano,304,1,0,36,69564
Nerubiano,307,0,0,0,0
Línguas de Santuário,308,0,0,0,0
