ID,CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,GossipMenuID,UiTextureKitID
1,"O Salão de Skoldus é só mais um entre os incontáveis blocos de celas da Thanator. O Guardião Skoldus se vale de feras, correntes e armadilhas para atormentar tanto prisioneiros quanto intrusos.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26048,5352
2,,,26191,5336
3,,,26192,5336
4,"Nas Câmaras de Fratura, prisioneiros de todas as Terras Sombrias têm seus ossos partidos e regenerados em um ciclo de tortura cruel e interminável. Liberte-os para que eles possam se vingar.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26375,5354
5,"Suspenso entre os pináculos colossais da Thanator, encontra-se o Interstício Frigicordis, que os Górjuros kyrianos fizeram de lar. Atacando das alturas, eles lançam invasores inconsequentes no abismo.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26377,5355
6,"Assim como o terreno volúvel e desconjuntado, as almas aprisionadas em Mort'regar perderam todo e qualquer traço de seu passado. As forças do Carcereiro as submetem a experimentos necromânticos, transformando-as em monstruosidades terríveis.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26378,5353
7,"Os Recônditos Superiores são o domínio dos servos mais devotados ao Carcereiro. As forças Górjuras de Elite e seus aliados venthyr patrulham seus corredores, encarregando-se das defesas mais robustas de seu mestre.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26379,5357
8,"Como o nome indica, os Corredores Serpenteantes se desenrolam de forma imprevisível pelos inúmeros blocos de celas da Thanator e são protegidos por toda sorte de lacaio do Carcereiro. Os intrépidos que se metem a desbravar seus 18 andares raramente voltam de lá.",Recompensa recebida,26380,5358
9,"Nas Forjas da Alma, as almas condenadas são derretidas e transformadas em armas e armaduras para o exército do Carcereiro. Cuidado com as chamas vorazes que ardem naqueles salões.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26376,5356
10,"O Salão de Skoldus é só mais um entre os incontáveis blocos de celas da Thanator. O Guardião Skoldus se vale de feras, correntes e armadilhas para atormentar tanto prisioneiros quanto intrusos.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26655,5352
11,"Nas Câmaras de Fratura, prisioneiros de todas as Terras Sombrias têm seus ossos partidos e regenerados em um ciclo de tortura cruel e interminável. Liberte-os para que eles possam se vingar.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26656,5354
12,"Nas Forjas da Alma, as almas condenadas são derretidas e transformadas em armas e armaduras para o exército do Carcereiro. Cuidado com as chamas vorazes que ardem naqueles salões.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26657,5356
13,"Suspenso entre os pináculos colossais da Thanator, encontra-se o Interstício Frigicordis, que os Górjuros kyrianos fizeram de lar. Atacando das alturas, eles lançam invasores inconsequentes no abismo.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26658,5355
14,"Assim como o terreno volúvel e desconjuntado, as almas aprisionadas em Mort'regar perderam todo e qualquer traço de seu passado. As forças do Carcereiro as submetem a experimentos necromânticos, transformando-as em monstruosidades terríveis.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26659,5353
15,"Os Recônditos Superiores são o domínio dos servos mais devotados ao Carcereiro. As forças Górjuras de Elite e seus aliados venthyr patrulham seus corredores, encarregando-se das defesas mais robustas de seu mestre.",Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26660,5357
16,"Como o nome indica, os Corredores Serpenteantes se desenrolam de forma imprevisível pelos inúmeros blocos de celas da Thanator e são protegidos por toda sorte de lacaio do Carcereiro. Os intrépidos que se metem a desbravar seus 18 andares raramente voltam de lá.|n|nA Caixa de Muitas Coisas não tem efeito neles.",Recompensa recebida,26661,5358
17,,,25967,5283
18,,,26513,5283
19,,,26517,5287
20,,,26516,5285
21,,,26514,5302
22,,,26131,5283
23,,,26132,5302
24,,,26133,5287
25,,,26041,5285
26,,,26324,5283
27,,,26323,5283
28,,,26327,5283
29,,,26322,5283
30,,,26326,5283
31,,,26328,5287
32,,,26342,5287
33,,,26344,5287
34,,,26341,5287
35,,,26343,5287
36,,,26346,5302
37,,,26347,5302
38,,,26348,5302
39,,,26345,5302
40,,,26349,5302
41,,,26356,5285
42,,,26355,5285
43,,,26358,5285
44,,,26354,5285
45,,,26357,5285
46,É nos recém-descobertos Salões Adamantinos que o Carcereiro mantém os prisioneiros que mais odeia.,Recompensa recebida - Completar esta camada novamente concederá uma pequena quantidade de Cinzas d'Alma,26812,5354
47,"Enfrente 8 andares de criaturas e chefes de todas as alas da Thanator. Quanto mais alto na torre, maior o desafio.|n|nÉ recomendado trazer amigos.|n|nA Caixa de Muitas Coisas não afeta nada.",Recompensa recebida,27436,5358
48,"Enfrente 8 andares de criaturas e chefes de todas as alas da Thanator. Quanto mais alto na torre, maior o desafio.|n|nÉ recomendado trazer amigos.|n|nA Caixa de Muitas Coisas não afeta nada.",Recompensa recebida,27491,5358
