Name_lang,Description_lang,ID,FiledataID
Transbordante,Cura além do máximo de pontos de vida de um alvo é convertida em um efeito de absorção de cura.,1,463570
Arisca,Os inimigos dão muito menos atenção à ameaça gerada por tanques.,2,135994
Vulcânica,"Enquanto estiverem em combate, os inimigos periodicamente fazem com que glóbulos de fogo surjam sob os pés dos jogadores distantes.",3,451169
Necrótica,Todos os ataques corpo a corpo dos inimigos aplicam uma praga cumulativa que causa dano ao longo do tempo e reduz a cura recebida.,4,1029009
Apinhada,Inimigos normais adicionais estão presentes na masmorra.,5,136054
Enraivecedora,"Inimigos normais ficam enfurecidos ao chegarem a 30% dos pontos de vida, ganhando imunidade a efeitos de controle coletivo temporariamente.",6,132345
Encorajadora,"Quando um inimigo normal morre, seu grito de morte encoraja os aliados próximos, aumentando em 10% a vida deles temporariamente.",7,132333
Sanguínea,"Ao morrer, inimigos normais deixam para trás uma poça de icor que cura os aliados e causa dano aos jogadores.",8,136124
Tirânica,Chefes têm 25% a mais de pontos de vida. Chefes e seus lacaios causam até 15% a mais de dano.,9,236401
Fortificada,Inimigos normais têm 20% mais pontos de vida e causam até 20% a mais de dano.,10,463829
Estilhaçante,"Quando abatidos, os inimigos normais explodem, fazendo com que todos os jogadores recebam dano ao longo de 4 s. Este efeito acumula.",11,1035055
Atroz,Jogadores feridos recebem dano crescente ao longo do tempo até serem curados.,12,132090
Explosiva,"Em combate, os inimigos evocam periodicamente Orbes Explosivos que explodirão se não forem destruídos.",13,2175503
Estremecedora,"Os jogadores emitem periodicamente uma onda de choque, causando dano e interrompendo aliados próximos.",14,136025
Infestado,Alguns inimigos normais foram infestados por uma Cria de G'huun.,16,2032223
Ceifadora,Inimigos normais são potencializados pelo Bwonsamdi e periodicamente buscam vingança d'além túmulo.,117,2446016
Encantadora,Emissários de Azshara estão presentes na masmorra.,119,237565
Desperto,"Obeliscos pela masmorra permitem que os jogadores entrem em Ny'alotha e enfrentem os poderosos servos de N'Zoth. Se um servo ficar para atrás, ele será enfrentado durante a batalha contra o chefe final.",120,442737
Orgulhoso,"Os jogadores transbordam orgulho ao derrotar inimigos normais, dando origem a uma Manifestação do Orgulho. Derrotar a Manifestação fortalece significativamente os jogadores.",121,3528307
Inspiradora,Alguns inimigos normais têm uma presença inspiradora que fortalece os aliados.,122,135946
Detestável,Demônios se erguem dos corpos de inimigos normais para perseguir jogadores aleatórios.,123,135945
Tempestuosa,"Em combate, os inimigos evocam periodicamente redemoinhos que causam dano.",124,136018
Atormentado,"Servos do Carcereiro são encontrados pela masmorra e concedem poderosas dádivas ao serem derrotados. Se o servo não for eliminado, vai fortalecer o chefe final.",128,3528304
Infernal,Sinalizadores Infernais podem ser encontrados pertos de alguns chefes. Ativar um Sinalizador ou enfrentar um chefe próxima ativa uma Invasão da Legião.,129,1394959
Criptografado,"Inimigos por toda a masmorra possuem relíquias dos Primogênitos. Destrua as relíquias para evocar o Automa dos Primogênitos e ganhar bônus poderosos, com base na ordem em que eles foram destruídos.",130,4038106
Amortalhado,Infiltradores Nathrezim disfarçados se misturaram aos inimigos na masmorra. O Cartel Ta oferece uma vultosa recompensa por ajuda na captura deles.,131,136177
Trovejante,"Inimigos têm 5% a mais de pontos de vida. Enquanto estão em combate, os jogadores são periodicamente sobrecarregados com poder primevo da tempestade interminável de Raszageth. Esse poder traz um grande risco, e se não for descarregado rapidamente pode ter consequências impressionantes.",132,1385910
Concentrado,"Inimigos normais com mana têm 30% a mais de Aceleração, mas recebem 10% a mais de dano de Gelo e Fogo",133,458224
Enredante,"Durante o combate, cipós enredantes aparecem periodicamente para diminuir a velocidade dos jogadores.",134,134412
Aflita,"Durante o combate, almas aflitas aparecem periodicamente buscando ajuda dos jogadores.",135,0
Incorpórea,"Durante o combate, seres incorpóreos aparecem periodicamente e tentam enfraquecer os jogadores.",136,298642
Defensiva,"Em combate, os inimigos evocam periodicamente Orbes de Defesa que protegem os inimigos próximos se não forem destruídos.",137,535593
Espinhoso,"Inimigos normais sem mana causam dano Físico a seus atacantes quando atacados, mas recebem 10% a mais de dano Sagrado e de Sombra.",144,1418495
Imprudente,"Inimigos normais sem mana ignoram 20% da armadura com seus ataques, mas sua própria armadura é reduzida em 30%, e eles recebem 10% a mais de dano Arcano.",145,132363
Harmonizado,"Inimigos normais com mana causam 20% a mais de dano mágico, mas recebem 10% a mais de dano de Natureza e 30% a mais de dano de efeitos de Sangramento.",146,1391778
Astúcia de Xal'atath,Xal'atath trai os jogadores. Revogar as barganhas dela enquanto mata subtrai 15 s do tempo restante.,147,1723989
Barganha de Xal'atath: Ascendente,"Em combate, Xal'atath faz chover orbes de energia cósmica que potencializam inimigos ou jogadores.",148,5976939
Perigo do Desafiante,"Tempo aumentado em 90 s, mas morrer subtrai 15 s do tempo restante.",152,1052642
Barganha de Xal'atath: Frenético,"Inimigos normais ficam frenéticos com 30% de pontos de vida restantes, aumentando em 40% sua aceleração, mas também o dano recebido em 20%.",153,136224
Barganha de Xal'atath: Distorcido pelo Caos,"Em combate, Xal'atath evoca uma Emissária do Caos que fortalece os aliados próximos.",158,4913234
Barganha de Xal'atath: Oblívio,"Em combate, Xal’atath manifesta cristais do caos que podem ser absorvidos por inimigos ou jogadores.",159,1386548
Barganha de Xal'atath: Devorar,"Em combate, Xal'atath abre fendas que devoram a essência dos jogadores.",160,5927657
Barganha de Xal'atath: Pulsar,"Em combate, Xal'atath evoca pulsares que orbitam os jogadores.",162,4914669
,,165,0
Provação de Eternus: Areias do Tempo,"Durante o combate, Eternus manifesta orbes de bronze que podem ser pegos.",166,348545
Provação de Eternus: Crepúsculo do Infinito,"Durante o combate, Eternus convoca hordas da revoada dragônica infinita que emboscam os jogadores.",167,298656
Provação de Eternus: Manifestação dos Percursos Temporais,"Durante o combate, Eternus evoca um elemental que se divide várias vezes.",168,796636
Provação de Eternus: Reflexões Crepusculares,"Durante o combate, Eternus chama versões malignas alternativas de você.",169,458243
Tiranicamente Fortificado,Chefes têm 25% a mais de pontos de vida. Chefes e seus lacaios causam até 15% a mais de dano. Inimigos normais têm 20% mais pontos de vida e causam até 20% a mais de dano.,170,970584
