ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,Mestre dos Apexis,3,20529,28227
3,Mestre Artesão de Draenor,3,19152,27762
4,Defensor de Draenor,4,19153,28169
5,Atiçador de Mascotes Draenoriano,3,20514,28226
9,Jogador de Raide Draenoriano Mítico,3,19207,28220
10,Raide Draenoriano Mítico,4,19209,28220
11,Mestre Artesão de Draenor,4,19573,27762
12,Defensor de Draenor,3,20403,28169
13,Atiçador de Mascotes Draenoriano,4,20528,28226
14,Mestre dos Apexis,4,20530,28227
15,Estátua Nada Especial,0,10782,24827
16,O Rei de Verde,4,23436,30838
17,O Rei de Verde,3,23502,30838
18,Capítulo IV: A Encarnação das Trevas,3,26914,34184
19,Atiçador de Mascotes Draenoriano,0,20514,27108
20,Capítulo IV: A Encarnação das Trevas,4,26914,34184
