SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200Saque: |rEspólio do Mundo,1,1973,0,0
|cFFFFD200Casa de Leilões do Mercado Negro|r,4,32566,0,2
|cFFFFD200Casa de Leilões do Mercado Negro|r,5,33223,0,2
|cFFFFD200Casa de Leilões do Mercado Negro|r,7,38578,0,2
|cFFFFD200Evento: |rO Amor Está no Ar|n|cFFFFD200Comerciante: |rMercadora Amorosa|n|cFFFFD200Área: |rCapitais|n|cFFFFD200Custo: |r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200Promoção|r,12,67097,0,7
|cFFFFD200Comerciante: |rTico Ticabum|n|cFFFFD200Área: |rAzshara|n|cFFFFD200Custo: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200Comerciante: |rAyla Tempessombra|n|cFFFFD200Área: |rFront Ígneo|n|cFFFFD200Custo: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
|cFFFFD200Evento Mundial: |rNoturnália|n|cFFFFD200Vendor: |rBalofo / Dorothy|n|cFFFFD200Área: |rClareiras de Tirisfal / Ventobravo|n|cFFFFD200Custo: |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n,18,70722,0,6
|cFFFFD200Promoção|r,19,72161,0,7
|cFFFFD200Saque: |rPandária,20,72231,2,0
|cFFFFD200Saque: |rYorik Vistaboa|n|cFFFFD200Área: |rVale das Flores Eternas,21,86568,0,0
"|cFFFFD200Saque: |rKang, o Ladrão de Almas|n|cFFFFD200Área: |rVale das Flores Eternas",22,86571,0,0
|cFFFFD200Saque: |rHavak|n|cFFFFD200Área: |rMonte Kun-Lai,23,72221,2,0
|cFFFFD200Saque: |rUrgolax|n|cFFFFD200Área: |rVale das Florestas Eternas,24,86575,0,0
|cFFFFD200Saque: |rSki'thik|n|cFFFFD200Área: |rMonte Kun-Lai,25,72225,2,0
|cFFFFD200Missão: |rBênção de Eluna|n|cFFFFD200Área: |rClareira da Lua,29,21540,0,1
,30,33079,2,7
|cFFFFD200Profissão: |rArqueologia,33,64651,0,3
"|cFFFFD200Comerciante: |rOlut Chopança, Rork Queixofino|n|cFFFFD200Área: |rPicos Tempestuosos|n|cFFFFD200Custo: |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t",34,43499,0,2
|cFFFFD200Saque: |rTerokk|n|cFFFFD200Área: |rMata Terokkar,99,32782,0,0
|cFFFFD200Casa de Leilões do Mercado Negro|r,100,34499,0,2
|cFFFFD200Saque: |rNortúndria - Espólio do Mundo,101,37254,0,0
|cFFFFD200Promoção|r,102,38301,0,7
|cFFFFD200Conquista: |rO Mestre das Moedas|n|cFFFFD200Categoria: |rPesca,103,44430,0,5
|cFFFFD200Evento Mundial:|r Festa do Véu de Inverno,109,46709,0,6
|cFFFFD200Promoção|r,110,49703,0,7
|cFFFFD200Promoção|r,111,49704,2,7
|cFFFFD200Missão: |rO lamento de Muradin|n|cFFFFD200Área: |rCidadela da Coroa de Gelo,112,52201,0,1
|cFFFFD200Missão: |rA vingança de Sylvana|n|cFFFFD200Área: |rCidadela da Coroa de Gelo,114,52253,0,1
|cFFFFD200Profissão: |rArqueologia,116,64358,0,3
|cFFFFD200Profissão: |rArqueologia,117,64361,0,3
|cFFFFD200Profissão: |rArqueologia,118,64373,0,3
