ID,Title_lang,InternalTitle,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,Campanha de Guerra,Alliance War Campaign,Como campeão da Aliança é seu dever contribuir com o esforço de guerra contra a Horda e seus novos aliados.,261,0,86702,924,73395,88077,8,1,0,0,0
2,Campanha de Guerra,Horde War Campaign,Pela Horda!,262,0,86703,923,73395,88077,10,1,0,0,0
3,Test Campaign,[Internal] Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,O Mestre de Revendreth,9.0 Shadowlands - Narrative Arc - Revendreth (ZTO),"Talvez Sir Denathrius saiba os segredos para acabar com a seca de ânima. Adentre Revendreth, o reino dele, para saber mais.",5279,0,76298,89063,0,85362,16,0,0,105475,0
113,Campanha Venthyr,9.0 Shadowlands - Covenant Campaign - Revendreth (ZTO),"O caminho para a redenção de Revendreth é longo, e o Príncipe Sombrio de Pecádia está pronto para trilhá-lo. Ele precisará da sua ajuda para tomar o controle de Revendreth das garras do Mestre e seus sequazes.",5285,0,76299,70102,92582,80502,20,0,0,105475,0
114,Bastião,9.0 Shadowlands - Narrative Arc - Bastion - GJC,Você recebeu a incumbência de investigar o misterioso kyriano Górjuro que encontrou na Gorja. Somente a Arconte que comanda o Bastião saberá qual é a verdadeira natureza dele.,5280,0,77903,89061,80035,85362,15,0,0,105475,0
115,A Arte da Guerra,9.0 Shadowlands - Covenant Campaign - Maldraxxus  (MDE),Os ambiciosos Necrolordes enfrentam a ameaça de extinção pelas próprias mãos. Sua presença forjará de fragmentos discrepantes um exército capaz de desafiar o próprio destino.,5287,0,78568,70104,92799,0,19,0,0,105475,0
117,Campanha dos Feérios Noturnos,9.0 Shadowlands - Covenant Campaign - Ardenweald  (KRB),"Os bosques de Ardena estão morrendo. A cada grandiosa árvore celestial que sucumbe, o desespero da Rainha Invernal aumenta. A rainha e sua Corte da Noite precisarão da sua ajuda para restaurar o equilíbrio da floresta.",5302,0,78569,70103,92586,0,22,0,0,105475,0
118,Lâmina do Prócer,9.0 Shadowlands - Narrative Arc - Maldraxxus - SJC,Os exércitos de Maldraxxus atacaram o Bastião. Você deve descobrir a razão para isso neste mundo devastado pela guerra.,5282,0,88931,89062,0,85362,18,0,0,105475,0
119,Campanha dos Kyrianos,9.0 Shadowlands - Covenant Campaign - Bastion - GJC,Os nobres kyrianos do Bastião enfrentam circunstâncias difíceis com a proximidade das forças Perjuras que ameaçam devastar seu reino. Eles precisarão de ajuda para proteger o Bastião e salvar as Terras Sombrias.,5283,0,78609,70101,86729,0,17,0,0,105475,0
