ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,Upgrade para o Nível 100,Upgrade para o Nível 100 Grátis,"World of Warcraft: Legion inclui um Upgrade de Personagem para o Nível 100. Você pode escolher entre usar o upgrade em um personagem existente, testar uma nova classe antes de usar o upgrade ou fechar a janela e usar o upgrade mais tarde.",1,2,1033987,90,1,700,100,6,260,0
5,Upgrade de Battle for Azeroth,Upgrade para o Nível 110 Grátis,World of Warcraft: Battle for Azeroth inclui um Upgrade de Personagem para o Nível 110. Escolha uma das opções abaixo ou feche a janela para usar o upgrade mais tarde.,1,3,3573824,80,1,700,48,7,265,0
6,Upgrade para o Nível 90,Upgrade para o Nível 90 Grátis,O upgrade gratuito veio com a compra de Warlords of Draenor,1,1,614740,100,0,625,90,5,260,0
107,Teste Dragonflight de graça,Teste Dragonflight de graça,Jogue Dragonflight de graça por tempo limitado!|n|nCrie um Conjurante Dracthyr ou explore as Ilhas do Dragão com qualquer personagem de nível 60.,0,0,4723908,1100,0,0,0,7,265,0
118,Upgrade de Shadowlands,Upgrade para o Nível 120 Grátis,,1,4,3752121,50,1,0,50,7,265,0
120,Upgrade para o Nível 60,Upgrade para o Nível 60 Grátis,,1,6,4279397,60,1,0,60,8,265,5595
123,Transferência de Personagem,Transferência de Personagem,Transfira seu personagem para outro reino ou conta,2,1,1530081,40,0,0,0,0,5362,5590
125,Mudança de facção,Mudança de facção,Muda a facção do personagem (Horda para Aliança ou Aliança para Horda),2,2,1126583,35,0,0,0,0,5362,5587
139,Mudança de Raça,Mudança de Raça,Muda a raça do personagem (dentro da facção atual).,2,3,1126585,30,0,0,0,0,5362,5589
140,Mudança de Nome,Mudança de Nome,Muda o nome do personagem,2,4,1126584,25,0,0,0,0,5362,5588
143,Upgrade para o Nível 70,Upgrade para o Nível 70 Grátis,,1,8,4734167,70,0,0,70,9,5468,5594
179,Upgrade de Personagem para o Nível 80 Aprimorado,Upgrade de Personagem para o Nível 80 Aprimorado,,1,11,4279397,120,0,0,80,10,5586,0
