ID,Name_lang,Description_lang,OrderIndex,Flags,Field_12_0_5_66330_004
1,Missões,Buscar nomes de missões...,0,84,0
2,Masmorras,"Buscar números de chaves, masmorras...",2,288,0
3,Raides,"Buscar raides, chefes, modos...",4,289,0
4,Arenas,,0,288,0
5,Cenários,,3,256,0
6,Personalizado,,10,66,0
7,Escaramuças da Arena,,1,64,0
8,Campos de batalha,,2,66,0
9,CB Ranqueados,,3,290,0
111,Expedições Insulares,,1,320,5703
113,Thanator,"Buscar camadas, alas...",1,384,5703
121,Imersões,"Buscar imersões, graus...",1,384,0
