Name_lang,ID,Priority
Retorno,1,0
Novidades,2,1000
Celebração,3,1100
Plunderstorm,4,1100
Paladino,5,235
Ladino,6,225
Sacerdote,7,230
Bruxo,8,215
Guerreiro,9,210
Monge,10,240
Druida,11,260
Cavaleiro da Morte,12,270
Caçador de Demônios,13,265
Mago,14,245
Xamã,15,220
Caçador,16,250
Conjurante,17,255
Tecido,18,310
Couro,19,320
Placas,20,340
Malha,21,330
Mascotes,22,1100
Montarias,23,1200
Brinquedos,24,1000
Floral,25,1100
Diversão de verão,26,1100
Profundezas oceânicas,27,1100
Bruxas adoráveis,28,1100
Pilhagem em alto-mar,29,1100
Coleções de armas,30,900
Armas de combate corpo a corpo,31,800
Arma de mão secundária,32,800
Transmogrificação de armadura,33,1000
Armas de longo alcance,34,800
Coleções de armaduras,35,1100
Icônicos,36,1100
Quinquilharias,37,800
