ID,Body_lang
83,isto é um teste
84,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
85,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
86,"Esta pequena lembrança não oferece respostas, mas talvez você se divirta com ela."
87,"Oi de novo. Sou eu, Gubber Blump.

Espero que esteja tudo bem por aí. E que você continue pescando, também. Eu adoro pescar. A família Blump é conhecida pela pesca, sabe. Estou mandando esta isca brilhante para você pescar melhor, tá bom? Adoro usá-las quando pesco. Boa sorte e obrigado novamente por me ajudar a pegar aquelas garoupas.

Continue pescando!

Gubber Blump"
88,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
89,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
90,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
91,"Esta pequena lembrança não oferece respostas, mas talvez você se divirta com ela."
92,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
93,"$gEstimado:Estimada; $n,$B$BEu analisei a pilha de textos que você me trouxe e decifrei os artigos em anexo. Escolhi mandar apenas os itens que achei que lhe seriam úteis. Foi bastante difícil chegar até uma caixa de correio sem ser visto, mas meses me escondendo no deserto me deixaram mais sorrateiro do que nunca!$B$BEspero que você aproveite a encomenda.$B$B-Ortell."
94,"Saudações, $n!$B$BEstou ficando bom em me infiltrar no Forte Cenariano para usar a caixa de correio deles. Novamente, envio em anexo alguns itens que podem interessá-l$go:a;. Espero que algum deles lhe seja útil!$B$B-Ortell."
95,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
96,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
97,"Obrigado pela visita, $n. Fico feliz em ver que não fomos esquecidos."
98,"Levou bastante tempo para traduzir o texto do chefe supremo. Fiquei pasmo com o que descobri. O Chefe Supremo Invernoso estava sofrendo de paranoia aguda em seus últimos dias e viciado em uma substância que ele chamava de ""aguardente"". Ele via todas as criaturas como inimigas. Bem, vou deixar você $gmesmo:mesma; ler. Eu anexei a tradução do texto a essa carta. Se algum dia precisar de alguma coisa, pode vir me visitar."
99,Obrigado por renovar seu cadastro como membro dos Mecânicos-Engenheiros Gnomos Associados! Estamos muito felizes por tê-l$go:a; como membro ativo. Aceite este presente como prova de nossa gratidão por todas as maravilhosas contribuições que você fez e fará para o mundo da engenharia gnômica.
100,Obrigado por renovar seu cadastro como membro dos Mecânicos-Engenheiros Gnomos Associados! Estamos muito felizes por tê-l$go:a; como membro ativo. Aceite este presente como prova de nossa gratidão por todas as maravilhosas contribuições que você fez e fará para o mundo da engenharia gnômica.
101,"$GAmigo:Amiga;, embora meu braço esteja cansado da batalha que perdura nas Terras Pestilentas, ainda tenho forças para escrever esta missiva a $Gum herói:uma heroína; como você. Fico satisfeito em saber que a ajuda que você nos prestou há alguns dias continua a render frutos, os quais tentamos aproveitar a cada dia.

Caso você venha às Terras Pestilentas Ocidentais, passe no Baluarte. A sua experiência seria útil em uma incursão do caldeirão!

Seu amigo das Trevas,
Alto-executor Arcabuz"
102,"Ho ho alô, $n! Espero que você tenha uma fantástica Festa do Véu de Inverno!$B$BVocê foi tão $gbonzinho:boazinha; me ajudando com minha fissura por doces que decidi mandar um presentinho extra para você. É uma amostra das deliciosas gostosuras da Fazenda Bosque Defumado. Se você ainda não provou, corra, antes que a festa acabe!$B$BBoas festas...$BPapai Inverno"
103,Obrigado por renovar seu cadastro como membro dos Goblins Engenheiros Experimentais Korporativos! Estamos muito felizes por tê-l$go:a; como membro ativo. Aceite este presente como prova de nossa gratidão por todas as maravilhosas contribuições que você fez e fará para o mundo da engenharia goblínica.
104,Obrigado por renovar seu cadastro como membro dos Goblins Engenheiros Experimentais Korporativos! Estamos muito felizes por tê-l$go:a; como membro ativo. Aceite este presente como prova de nossa gratidão por todas as maravilhosas contribuições que você fez e fará para o mundo da engenharia goblínica.
105,<UNUSED>
106,"Os coelhos voltaram! NÃO! Ah, nem precisa voltar aqui..."
107,"Olá, $Gamigo:amiga;. Embora meu braço esteja cansado da batalha que perdura nas ruínas de Lordaeron, ainda tenho forças para escrever esta missiva a $Gum herói:uma heroína; como você. Fico feliz em saber que a ajuda que você nos prestou há alguns dias continua a render frutos, os quais tentamos aproveitar a cada dia.

Caso você venha às Terras Pestilentas Ocidentais, passe no acampamento. A sua experiência seria útil em uma incursão do caldeirão!

Por Ventobravo!
Comandante Ashlam Punhobom"
108,"Ho ho alô de novo, $n!$B$BEu e a boa gente da Fazenda Bosque Defumado andamos bem ocupados neste feriado, mas tirei um momento para mandar algo especial para você. Você vai gostar de saber que descongelamos Sake nas Montanhas de Alterac; ele manda lembranças.$B$BQuando descongelamos Sake, acabamos desenvolvendo um dispositivo que, eu acho, será bem do seu gosto. Você vai precisar de uma bola de neve para energizá-lo. Espero que você goste!$B$BPapai Inverno"
