Name_lang,ID,Field_10_0_5_47118_002
,1,0
Janeiro: Novo Começo,6,1
Fevereiro: Cuidando e Compartilhando,7,2
Março: Tá Promissor,8,3
Abril: Chega a Primavera,9,4
Maio: brincadeira de criança,10,5
Junho: Brincando com fogo,11,6
Julho: Celebração!,12,7
Agosto: Confronto!,13,8
Setembro: Hora da Festa,14,9
Outubro: Bizarro e Excêntrico,16,10
"Novembro: Quanto Mais, Melhor",18,11
Dezembro: Descanso,19,12
Janeiro: Novo Começo,20,13
Fevereiro: Amor Novo e Reacendido,21,14
Março: Na Beca,22,15
Abril,23,16
Maio: Poder Floral,24,17
